item,title,rating,body
'B006LXBSYM','Very watery not long lasting','1.0 out of 5 stars','Very watery. Felt it’s a fake Lakme product because I have used this exact Product and otherwise it’s so long lasting ok eyes. This one was not the same quality.'
'B006LXBSYM','Lovely','5.0 out of 5 stars','Awesome colour and finish'
'B006LXBSYM','Original Lakme','5.0 out of 5 stars','Nice quality'
'B006LXBSYM','Not happy with product','1.0 out of 5 stars','Brush is uneven, bitter experience'
'B006LXBSYM','Value for money','5.0 out of 5 stars','Good. Value for money'
'B006LXBSYM','Worst','1.0 out of 5 stars','Worst product, no waterproof'
'B006LXBSYM','Not smudge resistant','1.0 out of 5 stars',"It's not smudge resistant at all, like just by mistake I smudged it and my eyes area turned literally black. I am kindda disappointed. The color is good, matt finish is good but hope it was smudge proof too."
'B006LXBSYM','Damaged liners','1.0 out of 5 stars',''
'B006LXBSYM','Good Product','4.0 out of 5 stars','Liked the product and worth the money.'
'B006LXBSYM','Payal Priya','5.0 out of 5 stars','Good'
'B006LXBSYM','Awesome','5.0 out of 5 stars','I like it'
'B006LXBSYM','Brush quality','2.0 out of 5 stars','Brush quality is not good'
'B006LXBSYM','Perfect for beginners','5.0 out of 5 stars','Really smooth, the brush is really good, but it is not smudge proof'
'B006LXBSYM','Worst','1.0 out of 5 stars','Very poor quality. Eyeliner is not waterproof and it is also not a quick dry. It make eyes itchy. Waste of money..'
'B006LXBSYM','Excellent','5.0 out of 5 stars','For me it is excellent but some people feel eyes watering after applying this liner'
'B006LXBSYM','Good Product 👍','5.0 out of 5 stars','Must Buy 👍'
'B006LXBSYM','Easy to use','5.0 out of 5 stars','Affordable, and very easy to use'
'B006LXBSYM','Quality is not good','1.0 out of 5 stars',"I don't want to use."
'B006LXBSYM','Good product','5.0 out of 5 stars','Good product'
'B006LXBSYM','Nice product 👌','5.0 out of 5 stars','value for money'
'B006LXBSYM','LAKME the brand','5.0 out of 5 stars','its low priced, smudge proof for up to 12hrs, but not water resistant'
'B006LXBSYM','Bottle came broken','1.0 out of 5 stars','Bottle came broken.'
'B006LXBSYM','Quality','5.0 out of 5 stars','Good brand value.'
'B006LXBSYM','Nice','4.0 out of 5 stars','Good'
'B006LXBSYM','Average Product','3.0 out of 5 stars','Not so good'
'B006LXBSYM','Good','5.0 out of 5 stars','Nice brush, value for money.'
'B006LXBSYM','Not long lasting','3.0 out of 5 stars','Not long lasting...'
'B006LXBSYM','Nice','5.0 out of 5 stars','Nice, brush is a little thick, but good, long lasting'
'B006LXBSYM','Worth it','4.0 out of 5 stars','Well I think it was worth the money. Genuinely I prefer this lakme eyeliner more, also sometimes I use this as kajal. It goes both ways'
'B006LXBSYM','Amazing','5.0 out of 5 stars','Good product'
'B006LXBSYM',"It's okay",'3.0 out of 5 stars','It smudges easily'
'B006LXBSYM','bad','1.0 out of 5 stars','bad product'
'B006LXBSYM','Water proof','5.0 out of 5 stars',"It's smidge free and it os water proof... The brush is also so thin so that it is easy to flaunt"
'B006LXBSYM','Quality was not good','1.0 out of 5 stars','It seems like mixing of water or something else.'
'B006LXBSYM','Liner','3.0 out of 5 stars','Water proof nhi h'
'B006LXBSYM','bad quality','1.0 out of 5 stars','Received thicken liquid which can not be used'
'B006LXBSYM','Very cheap quality','1.0 out of 5 stars','Very bad quality'
'B006LXBSYM','Nice','4.0 out of 5 stars','Nice product'
'B006LXBSYM','Good product','4.0 out of 5 stars','Easy to use and reasonably priced'
'B006LXBSYM','Best Product','5.0 out of 5 stars','Same features same as described in online portal. Perfect at all.'
'B006LXBSYM','❤️','4.0 out of 5 stars','good'
'B006LXBSYM','Not good','1.0 out of 5 stars','Does not last'
'B006LXBSYM','This product become very cheap quality','1.0 out of 5 stars','Brush is very cheap quality'
'B006LXBSYM','Great product','5.0 out of 5 stars','The best eyeliner I ever had , stays long , very good tint'
'B006LXBSYM','Good buy','4.0 out of 5 stars','Lakme is always good ...'
'B006LXBSYM','Good product','5.0 out of 5 stars','Impressive'
'B006LXBSYM','Bad quality','2.0 out of 5 stars','Quality very bad. Damage received product. Quality and shining very bad. I am not recommended product.'
'B006LXBSYM','Good one','4.0 out of 5 stars','It takes some time to dry...but still good'
'B006LXBSYM','Its not that much good','2.0 out of 5 stars','The media could not be loaded.'
'B006LXBSYM','Not at all waterproof','3.0 out of 5 stars','No smudge proof'
