item,title,rating,body
'B007E9INFO','Very good','5.0 out of 5 stars','Very good'
'B007E9INFO','Deo seal was broken','1.0 out of 5 stars','Deo seal was broken and content is less.'
'B007E9INFO','Happy with the purchase','5.0 out of 5 stars','Value for money.'
'B007E9INFO','Nice fragrance','4.0 out of 5 stars','Lovely fragrance'
'B007E9INFO','Nice','5.0 out of 5 stars','Long lasting deo'
'B007E9INFO','Bad product','1.0 out of 5 stars','Bad product'
'B007E9INFO','Bad product','1.0 out of 5 stars','Dislike-Deo spray is not coming out after pressing the spray button but it seems that deo bottle is half filled. Total waste of money.'
'B007E9INFO','Duplicate,','1.0 out of 5 stars','Its fragrance is limited to 10 minutes only, there cannot be a worse perfume than this in the world. Please no one spend your money on this perfume.'
'B007E9INFO','Good product','5.0 out of 5 stars','Good product'
'B007E9INFO','V good 👍 thanks Amazon','5.0 out of 5 stars',''
'B007E9INFO','Amazing','5.0 out of 5 stars','Amazing product as expected, also good for budzet and best in price range, easy to use, catchy smell in short best thing'
'B007E9INFO',"It's only gas",'2.0 out of 5 stars',"Smells good but it didn't stay at all....it's only gas."
'B007E9INFO','Smell','3.0 out of 5 stars','Fragrance is good but not long lasting.'
'B007E9INFO','Good','3.0 out of 5 stars','Smells good and long lasting. You can smell it on your body even after whole day. But projection is bad.'
'B007E9INFO','Defect product','3.0 out of 5 stars','Package not good'
'B007E9INFO','Park Avenue Deo','5.0 out of 5 stars','Smells not good as expected'
'B007E9INFO','product is broken, the spraying system is broken.','1.0 out of 5 stars','When you spray the perfume liquid drips from the sides of the bottleneck. So the liquid spreads all over your hand when you spray'
'B007E9INFO','Not Good','1.0 out of 5 stars','Not value of money 👎👎👎'
'B007E9INFO','Very nice','5.0 out of 5 stars','Very good'
'B007E9INFO','Okay','5.0 out of 5 stars','Okay'
'B007E9INFO','Good fragrance','4.0 out of 5 stars',''
'B007E9INFO','Nice fragrance and longevity','5.0 out of 5 stars','Nice fragrance and longevity'
'B007E9INFO','Fake product','1.0 out of 5 stars','The deodorant smell last only for couple of minutes, looks to be a fake product.'
'B007E9INFO','The smell does not last long.','3.0 out of 5 stars','The smell does not last long.'
'B007E9INFO','Good','5.0 out of 5 stars','Good'
'B007E9INFO','Totally waist smell and longlasting','1.0 out of 5 stars','Waist of money.. Not long lasting only half and one hour...'
'B007E9INFO','Good Product','3.0 out of 5 stars','Good perfume'
'B007E9INFO','This is a DEO not a PERFUME','4.0 out of 5 stars','Stop calling this "perfume body spray" and call it what it is, A Deo so that people don\'t get fooled into buying it.'
'B007E9INFO','Great fragrance','5.0 out of 5 stars',"I like it's fragrance. Nice product it is working last long time."
'B007E9INFO','Value for money','5.0 out of 5 stars','The media could not be loaded.'
'B007E9INFO','Good','5.0 out of 5 stars','Good'
'B007E9INFO','Duplicate products','1.0 out of 5 stars','Was delivered me duplicate product.'
'B007E9INFO','Mild and not at all long lasting','1.0 out of 5 stars','It’s so mild that you will have to smell yourself to check if you have used a deodorant. Also, the fragrance just evaporates in a couple of hours maximum that too in a non humid environment.'
'B007E9INFO','very good','5.0 out of 5 stars',"Very good, but fragrance don't lasts long."
'B007E9INFO','Not long lasting','2.0 out of 5 stars','Gas seems more then deo.'
'B007E9INFO','Greatest deo in world right now','5.0 out of 5 stars','Best perfect thing ever. Just go for it. Its class not your regular sht'
'B007E9INFO','Gud product','5.0 out of 5 stars','Amazing'
'B007E9INFO','Too costly','1.0 out of 5 stars','Tax and transportation charge high .'
'B007E9INFO','Fragrances','3.0 out of 5 stars','Fragrances is not so good'
'B007E9INFO','Hai the sent is good long lost','5.0 out of 5 stars','Aasam val value for money'
'B007E9INFO','Excellent 👍🏻','5.0 out of 5 stars','I am surprised to see the quantity, as in market many people use it and then not buy so in market perfume are much empty in compare to this.. It was fulled up to the brim, you can feel it when shaking. Must but 😇😇😇'
'B007E9INFO','Below average.','2.0 out of 5 stars','Pretty average and not at all long lasting. Not worth it.'
'B007E9INFO','Dant and without cap','2.0 out of 5 stars','The media could not be loaded. Deo smell is good but bottle have dant and without cap'
'B007E9INFO','Fabulous','5.0 out of 5 stars','Nice smell I loved it.'
'B007E9INFO','Good','5.0 out of 5 stars','Good'
'B007E9INFO','Nice product','5.0 out of 5 stars','Very good product 👌'
'B007E9INFO','Nide fragrance','5.0 out of 5 stars','Good value excellent product'
'B007E9INFO','doesnot seems to be original','3.0 out of 5 stars','Im using this Park Avenue Voyage for years, but this one, smells good but doesnt stay as orginal used todo.'
'B007E9INFO','first use then few days spray damage','1.0 out of 5 stars','The media could not be loaded. spray damage so through it . i am not satis fied'
'B007E9INFO','Smell is Good but Crack in Spray Nozzle','4.0 out of 5 stars','Spray Nozzle has a crack, so while spraying Deo leaks and gets wasted. Product has "No Return" so can\'t return or get it replaced.'
