item,title,rating,body
'B00E3QVVQO','Quality is very poor','1.0 out of 5 stars','{"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"clientPrefix":"vse_reviews_desktop_r2tw69427982yi_1697125090728","closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"261-7743676-9058058","refMarkers":"vse_reviews_desktop_R2TW69427982YI_1697125090728_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"CHGRYQ9JBSQZJPF8767W","customerId":"0","sessionType":1},"mimeType":"application/x-mpegURL","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R2TW69427982YI","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R2TW69427982YI_1697125090728_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"videoHeight":0,"videoWidth":0,"initialClosedCaptions":"en,https://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/ef691a9a-dab8-4af2-a23b-e6c6224c63e4.vtt","videoUrl":"https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/548a0580-bf69-4bd4-9742-19a9039d0af5/default.vertical.jobtemplate.hls.m3u8","metricsEmissionMethod":"sushi","awaConfig":{"useUpNextComponent":false,"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"initialVideo":"R2TW69427982YI","shouldPreload":true,"enableClickBasedAttribution":false,"isChromelessPlayer":false,"closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"isVideoImmersivePlayer":false,"metricsEmissionMethod":"sushi","skipInitialFocus":false,"playerSkin":"none","disabledViewIds":["replayHint"],"customerId":"0","containerId":"vse_reviews_desktop_r2tw69427982yi_1697125090728-player-5b7d7ef9-37d9-49a4-a69a-fafd6c4efd64","requestMetadata":{"marketplaceId":"A21TJRUUN4KGV","clientId":"VSE-IN","method":"cr_inline_review","requestId":"CHGRYQ9JBSQZJPF8767W","pageAsin":"","sessionId":"261-7743676-9058058"},"shouldLoop":false,"shouldDisableControls":false,"alwaysSetInitialVideo":true,"showPlayerCloseButton":false,"clientPrefix":"","useAutoplayFallback":false,"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"261-7743676-9058058","refMarkers":"vse_reviews_desktop_R2TW69427982YI_1697125090728_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"CHGRYQ9JBSQZJPF8767W","customerId":"0","sessionType":1},"ospLinkCode":"","showPosterImage":true,"languageCode":"en","version":"","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R2TW69427982YI","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R2TW69427982YI_1697125090728_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"shouldStartMuted":false,"airyVersion":"VideoJS","languagePreferenceStrings":{},"enableInactiveFocus":true,"isReactFactory":false,"enableDelphiAttribution":false,"shouldAutoplay":false},"imageUrl":"https://m.media-amazon.com/images/I/51c3HETnS5L._SY256._SY256.jpg","needPlayerFactory":false,"isMobile":false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live, currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off, selected Captions Captions off, selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. Please don\'t buy this product, waste of money 😡'
'B00E3QVVQO','Small and poor quality','2.0 out of 5 stars','The tissue papers are small and of poor absornant quality'
'B00E3QVVQO','Superb packing and quality','4.0 out of 5 stars','Super quality and packing'
'B00E3QVVQO','Best products delivered','5.0 out of 5 stars','Best products delivered Thanks Amazon'
'B00E3QVVQO','Softness','5.0 out of 5 stars','Good but not great'
'B00E3QVVQO','Very thin','1.0 out of 5 stars','Very thin….. Have used the same brand earlier but these are now very thin…… Quality degraded'
'B00E3QVVQO','Tissue paper for kitchen etc','1.0 out of 5 stars','The paper size is too small and material is very rough not worth face tissue'
'B00E3QVVQO','Cheating Size not mentioned','1.0 out of 5 stars','Just to mislead size not mentioned it is too small and price is expensive for this size'
'B00E3QVVQO','size is very small and thin','1.0 out of 5 stars',"The media could not be loaded. I didn't like bcoz the size is small and the tissue is thin and a waste of money."
'B00E3QVVQO','3rd class','1.0 out of 5 stars','Total waste of money. Do not buy this.'
