item,title,rating,body
'B00LQIZUE6','You get what you ordered','4.0 out of 5 stars','Happy with the product.'
'B00LQIZUE6','Always good','4.0 out of 5 stars','Worthit'
'B00LQIZUE6','Worst product ever','1.0 out of 5 stars','Worst product, not even one pencil is used to write, all pencils went off only on sharpening.. the led is so soft that before getting sharpened it gets broken. really disappointed'
'B00LQIZUE6','Quality and performance','1.0 out of 5 stars','Each pencil inside the box is a waste...it breaks from the middle..the quality of wood is poor and so is the quality of lead inside..had to throw away'
'B00LQIZUE6','Very nice buy it','5.0 out of 5 stars','The media could not be loaded.'
'B00LQIZUE6','Good quality pencils','5.0 out of 5 stars','Satisfied with the product, good quality pencils...... Thank you seller.!'
'B00LQIZUE6','Nice','3.0 out of 5 stars','Favorite product but slightly overpriced'
'B00LQIZUE6','Different from website description','3.0 out of 5 stars','Un sharpened'
'B00LQIZUE6','Drawing Pencils','5.0 out of 5 stars','Drawing Pencils HB TO 6B'
'B00LQIZUE6','Good product.','3.0 out of 5 stars','Good product. But Packaging/Handling could have been better.'
'B00LQIZUE6','Pencils Good quality','4.0 out of 5 stars','All pencils quality good.But I felt it that the cost is little bit more.Quality OK.'
'B00LQIZUE6','Awesome','5.0 out of 5 stars','Bought for my sister, and she likes it very much. Price is less than buying from local shop.'
'B00LQIZUE6','Smooth','5.0 out of 5 stars','Awsm'
'B00LQIZUE6',"It's Amazing 😍 Everything was good 😊",'5.0 out of 5 stars','Everything is good 😊 but the problem is you should cut the 10b pencil with a blade or knife carefully. I used sharpener to cut that 10b pencil and I lost half of that pencil.☹️ You should take care of it 😉 otherwise everything is good'
'B00LQIZUE6','4B, 8B, 10B ARE worst quality','1.0 out of 5 stars','Anything above 2B NOT recommended to buy Apsara pencil very very worst quality'
'B00LQIZUE6','Esma sara size mila','5.0 out of 5 stars','Use fulll and good'
'B00LQIZUE6','Missing item','2.0 out of 5 stars','1HB pencil is missing in this kit only 5 received'
'B00LQIZUE6','Nice product','4.0 out of 5 stars','Nice as price point, my nephew happy for it'
'B00LQIZUE6','Good','5.0 out of 5 stars','Good as described'
'B00LQIZUE6',"Don't buy quality of this product is poor",'1.0 out of 5 stars','The media could not be loaded. Very poor Quality'
'B00LQIZUE6','Nice pencils','4.0 out of 5 stars','These pencils are beautiful. Does not break during sharpening and writing.'
'B00LQIZUE6','Best for beginners','4.0 out of 5 stars','If you want be a Artis and practice for drawing to begging than you should try this one just 27 ru'
'B00LQIZUE6','Serves the purpose','5.0 out of 5 stars','With different shades of thickness, it serves the purpose. Since, it is priced at Rs. 40 only, not much to comment on this issue.'
'B00LQIZUE6','Smoothness','5.0 out of 5 stars','Wow.. Just go for it..'
'B00LQIZUE6','Good','5.0 out of 5 stars','Good'
