item,title,rating,body
'B00M0KK44A','Delivery','5.0 out of 5 stars','Value for money'
'B00M0KK44A','Really doubtful if this really has 6.5 l storage capacity','4.0 out of 5 stars',"The lid is not strong and doesn't close the container too tight. i am not sure if this container really has 6.5 l storage capacity as i dont find much difference compared to the 5 l container i have."
'B00M0KK44A','Not value for money','1.0 out of 5 stars',"Lid is too thin. It's like the lid of use and throw container lid."
'B00M0KK44A','The dimensions do not match the website!','1.0 out of 5 stars','This plastic box I received is smaller in size than the one described in the website. Such practices are unacceptable. Prospective customers please be aware.'
'B00M0KK44A','Plastic item','5.0 out of 5 stars','It matches with with all parameters mentiond on the product.'
'B00M0KK44A','It is not air tight','1.0 out of 5 stars','Lid is not air tight. It is sturdy otherwise'
'B00M0KK44A','Product is too small','1.0 out of 5 stars','Not worth for money'
'B00M0KK44A','Nice quality','4.0 out of 5 stars','Good build'
'B00M0KK44A','Small Size','3.0 out of 5 stars',"It can probably hold around 4kg stuffs. While it says 6liter capacity so don't get missleaded. Quality wise it looks and feels good."
'B00M0KK44A','Good quality','5.0 out of 5 stars','Good quality.. the lid is also of adequate thickness and does not break easily'
