item,title,rating,body
'B00MTKWS0O','Great scissors','5.0 out of 5 stars','Very sharp. Non rusting. Great to use.'
'B00MTKWS0O','Not useful','1.0 out of 5 stars','Scissors are tooo small.'
'B00MTKWS0O','Cost is very hogh','3.0 out of 5 stars','Cutting leaf'
'B00MTKWS0O','Not so good.','1.0 out of 5 stars',"Not so good and usage friendly. Middle scissors blade is sharp but towards the tip doesn't cut properly."
'B00MTKWS0O','Good and sharp but slightly overpriced product.','5.0 out of 5 stars','Good and sharp but slightly overpriced product.'
'B00MTKWS0O','Quality wise ok','4.0 out of 5 stars','Quality is good also easy to use'
'B00MTKWS0O','Scissors','2.0 out of 5 stars','It is ok product'
'B00MTKWS0O','Ok Product','4.0 out of 5 stars','This one having small finger hole.Not comfortable for holding to cut easily.'
'B00MTKWS0O','A decent multi-purpose pair of scissors','5.0 out of 5 stars','We needed a general purpose scissors. This serves the purpose well.'
'B00MTKWS0O','This is ordinary stainless steel and not Mo-V stainless steel','3.0 out of 5 stars',"It cannot be used for cardboard ' thin leather etc without its resulting damage soon"
'B00MTKWS0O','Good purchase','4.0 out of 5 stars','Value for money'
'B00MTKWS0O','Too small','2.0 out of 5 stars','Too small.over priced.'
'B00MTKWS0O','Very good.','5.0 out of 5 stars','A good cutter!!'
'B00MTKWS0O','Broke within a month of purchase','1.0 out of 5 stars','Such poor quality product, broke within a few uses and within a month.'
'B00MTKWS0O','Too good.','5.0 out of 5 stars','Nothing to say really. Munix is Munix ..simply too good. Just wish they had better colours.'
'B00MTKWS0O','Good!','5.0 out of 5 stars','Does the job!'
'B00MTKWS0O','Size','4.0 out of 5 stars','Size of the scissor is smaller as shown in the pic'
'B00MTKWS0O','Nice','4.0 out of 5 stars','Good product'
'B00MTKWS0O','Good quality scissors','5.0 out of 5 stars','Good quality scissors, great price'
'B00MTKWS0O','I like it this product 👍','5.0 out of 5 stars','I like this product I happy 👍'
'B00MTKWS0O','Small in size','4.0 out of 5 stars','Very small in size and price is too high but the blades are very sharp'
'B00MTKWS0O','Cap not included as shown in the picture!','4.0 out of 5 stars','The Munix scissors is good, however they don’t provide the cap with it even though it is shown in the picture. Do keep this in mind before buying!!'
'B00MTKWS0O','Super','5.0 out of 5 stars','Super'
'B00MTKWS0O','Front cap will not be provided.','1.0 out of 5 stars','Image is misleading'
'B00MTKWS0O','Not seems to be original','1.0 out of 5 stars','The media could not be loaded. Munix letters in the original item are differently embossed'
'B00MTKWS0O','Munix SL-1150 scissor demanded by me was with cover. But the same delivered was without cover','1.0 out of 5 stars','Item ordered was Munix SL- 1150, scissor with cover, but delivered was without cover. Disappointed.'
'B00MTKWS0O','Sold for double the MRP','1.0 out of 5 stars','The media could not be loaded. It was sold for R99 when the MRP is R48. Small size scissors.'
'B00MTKWS0O','Excellent product','5.0 out of 5 stars','Excellent product'
'B00MTKWS0O','Cool','5.0 out of 5 stars','Sharp and steady. What else am I supposed to say?'
'B00MTKWS0O','Excellent experience','5.0 out of 5 stars','Best'
'B00MTKWS0O','Superb','5.0 out of 5 stars','Good product'
'B00MTKWS0O','Good','4.0 out of 5 stars','Good items. Good quality, but shipping charges is too high. Search in your local market'
'B00MTKWS0O','Not satisfied','1.0 out of 5 stars','I did not get the caps for scissors'
'B00MTKWS0O','Quality is not good','2.0 out of 5 stars','Quality is not good'
'B00MTKWS0O','Seller not reliable','4.0 out of 5 stars','Product is nice,but the seller send me an used one'
'B00MTKWS0O','Third class product','1.0 out of 5 stars','Third class'
'B00MTKWS0O','Good','5.0 out of 5 stars','Sharpest, rust resistant, it will be nice if company could provide a cover to keep it after opening the package.'
'B00MTKWS0O','Small beard scissors','2.0 out of 5 stars','Normal scissor of your palm size..good for cutting beard & other small workloads'
'B00MTKWS0O','Nice Product','5.0 out of 5 stars','nice one'
'B00MTKWS0O','Good','5.0 out of 5 stars','Good'
'B00MTKWS0O','Good','5.0 out of 5 stars','Good'
'B00MTKWS0O','Sharp','5.0 out of 5 stars','Very sharp'
'B00MTKWS0O','Not a great product','1.0 out of 5 stars',"Not great coz after couple of usage it's hard to use due to the strain on the handle... not at all good :( waste of money"
'B00MTKWS0O','Good','5.0 out of 5 stars','Vary good'
'B00MTKWS0O','Tiny','4.0 out of 5 stars',"Size is so small. Otherwise it's good"
'B00MTKWS0O','Very good quality','4.0 out of 5 stars','Great'
'B00MTKWS0O','Munix SL 1283.','5.0 out of 5 stars','Good scissors.'
'B00MTKWS0O','Buy in stock 😊','4.0 out of 5 stars','Very economical. Sharp and safe.'
'B00MTKWS0O','Good quality','5.0 out of 5 stars','Good quality product'
'B00MTKWS0O','Five Stars','5.0 out of 5 stars','Very good'
