item,title,rating,body
'B00O0TA0UW','Broken','1.0 out of 5 stars',''
'B00O0TA0UW','Missing part','1.0 out of 5 stars','Received broken hanging hook'
'B00O0TA0UW','Cheapy product produced for internet only','1.0 out of 5 stars',"Very disappointed of Gala, don't buy! The stick of the broom is way to short! You will not be able full clean under kingsize bed. Looks like produced only for internet selling. Very cheapy. Feel taken for a ride."
'B00O0TA0UW','Product came without handle','1.0 out of 5 stars','Product came without handle'
'B00O0TA0UW','Good mop','5.0 out of 5 stars','Really loved it'
'B00O0TA0UW','Return not picked up.','1.0 out of 5 stars','Handle is not there and due datewas 28 Sept, 2023. Today 4 Oct,2023.'
'B00O0TA0UW','bad quality','1.0 out of 5 stars','very bad'
'B00O0TA0UW','Damage','1.0 out of 5 stars','Received damaged piece'
'B00O0TA0UW','Good to use','5.0 out of 5 stars','Good to use'
'B00O0TA0UW','product damaged','1.0 out of 5 stars','for a first time the part is missing and when i exchange i received damaged product...,'
