item,title,rating,body
'B00P93X2H6','Okkk','3.0 out of 5 stars','Expensive 😞'
'B00P93X2H6','Go for it','5.0 out of 5 stars','Binding is good . Size was smaller. Color and Quality are good.'
'B00P93X2H6','Good','5.0 out of 5 stars','Very good'
'B00P93X2H6','Review','5.0 out of 5 stars','Good'
'B00P93X2H6','Books','1.0 out of 5 stars',"Worst I ever had really it's too bad 😞😔 books are so bad"
'B00P93X2H6','Its not an avengers version or double loop wire binding','1.0 out of 5 stars','Not what I was expecting its very flimsy and there are much better classmate products'
'B00P93X2H6','Gk','5.0 out of 5 stars','Greatttt'
'B00P93X2H6','Good','5.0 out of 5 stars','Nice copies'
'B00P93X2H6','Okay','4.0 out of 5 stars','Okay'
'B00P93X2H6','HONEST REVIEW','3.0 out of 5 stars','To be very honest, 75Rs for 200 page is not worth it, because size is too small.'
'B00P93X2H6','Not the best but very good','5.0 out of 5 stars','The quality of pages are too good and comfortable to write.'
'B00P93X2H6','Topcover','3.0 out of 5 stars',"I literally thought I would atleast get 2 Avengers top cover but didn't even get one out of three Rest the quality of books is fine"
'B00P93X2H6','Normal notebook','3.0 out of 5 stars','Its good'
'B00P93X2H6','Ok.... Too small','3.0 out of 5 stars','Not satisfied with expectation'
