item,title,rating,body
'B00W05JQ1C','Fabric Quality and comfort 👍🏻','5.0 out of 5 stars','The short pant is made up of high quality, breathable cotton fabric, ensuring a comfortable and soft feel. The fabric allows for good airflow, making it ideal for warm weather.'
'B00W05JQ1C','Jockey always Rocks','5.0 out of 5 stars','Jockey always gives most comfort with excellent quality material.  Design is also simple and super.  I like Jockey.'
'B00W05JQ1C','Very hot','2.0 out of 5 stars',"Not for night wear....maybe good for sports, I didn't use for sports though..."
'B00W05JQ1C','very good','5.0 out of 5 stars','excellent quality'
'B00W05JQ1C','Some what ok','1.0 out of 5 stars','Not that much quality but it’s ok'
'B00W05JQ1C','Duplicate poduct','1.0 out of 5 stars','Definetelty looks duplicate. Tried two. One of them logo peeled off and faded in couple of washes.'
'B00W05JQ1C','Best','4.0 out of 5 stars','Mast'
'B00W05JQ1C','May be original but with minor defects','3.0 out of 5 stars','After using few times only was able to note minor defects like small holes in packets and inside certain deep parts. Definitely not a first quality showroom piece. Pls beware'
'B00W05JQ1C','Delivery boy behaviour not good','1.0 out of 5 stars','The media could not be loaded.'
'B00W05JQ1C','Duplicate product','1.0 out of 5 stars',"This is a duplicate product, don't buy, the will refuse the return"
'B00W05JQ1C','Good','5.0 out of 5 stars','Very nice product and comphtebel and value for money'
'B00W05JQ1C','Awesome for summers','5.0 out of 5 stars','Nice fabric with very nice fitting 😊'
'B00W05JQ1C','Very comfortable pant','5.0 out of 5 stars','Sturdy pant'
'B00W05JQ1C','Quality','5.0 out of 5 stars','Good quality material. Perfect fit. Value for money.'
'B00W05JQ1C','Amazing Product','5.0 out of 5 stars','It is realy very good product. Very comfort. Fitting is excelent. Material also very good.'
'B00W05JQ1C','Perfect product for the summer','5.0 out of 5 stars','Feel good product and worth every penny'
'B00W05JQ1C','Good shorts','5.0 out of 5 stars','Had ordered size large fits well.'
'B00W05JQ1C','Good','5.0 out of 5 stars','Size exchange'
'B00W05JQ1C','Excellent','5.0 out of 5 stars','No more questions its jockey'
'B00W05JQ1C','Very nice','4.0 out of 5 stars','Very nice but slightly costly'
'B00W05JQ1C','Nice..','5.0 out of 5 stars','Very comfortable and good quality..'
'B00W05JQ1C','Comfortable for day','5.0 out of 5 stars','Very good fitting'
'B00W05JQ1C','Highly priced','3.0 out of 5 stars',"Product is worth price range 500 to 550 not more than that. It's combed cotton."
'B00W05JQ1C','Jockey name enough. Got 150 lesser than MRP 1199','4.0 out of 5 stars','Good quality i am buying early one short of jockey.'
'B00W05JQ1C','Very Good','5.0 out of 5 stars','Awesome product.I must order same product again and again.unexpected quality, comfort,texture,fabric overall everything is nice.'
'B00W05JQ1C','Good','5.0 out of 5 stars','Good'
'B00W05JQ1C','Better than expected,good product 👍🏿','4.0 out of 5 stars','Good quality,it fits perfectly.'
'B00W05JQ1C','Perfect fit and great quality fabric is been used..value for money','5.0 out of 5 stars','Everything was just perfect 👌'
'B00W05JQ1C','Quality and fabric of Jockey','2.0 out of 5 stars','Colour gets faded with first wash not the worth money999 we are paying its a joke with customer not jockey brand'
'B00W05JQ1C','Good stuff','4.0 out of 5 stars','Liked it'
'B00W05JQ1C','Fits well but color fades faster than expected','4.0 out of 5 stars','Fits well and is very comfortable for Delhi summer but color fades faster than expected, after 2-3 washes color fading noticed'
