item,title,rating,body
'B00ZYLMQH0','Good build quality','3.0 out of 5 stars','Typing experience is not that much pleasant but build quality is very good in this price range.'
'B00ZYLMQH0','best wired keyboard in its price range','5.0 out of 5 stars','i have used it for considerable time and have good experience with it'
'B00ZYLMQH0','Good','5.0 out of 5 stars','Good'
'B00ZYLMQH0','Keyboard review','5.0 out of 5 stars','Very nice product.'
'B00ZYLMQH0','Not working','1.0 out of 5 stars','Not working'
'B00ZYLMQH0','Faulty product','1.0 out of 5 stars','After receiving product within weak stop working... return period next day...no proper information to claim in warranty'
'B00ZYLMQH0','Cheap quality','1.0 out of 5 stars',"Not a good product as few keys doesn't work after few month.  Check other options"
'B00ZYLMQH0','Nice keyboard:','5.0 out of 5 stars','I always enjoy when I am working with this keyboard. It is easy to use and comfortable.'
'B00ZYLMQH0','पैसा वसूल प्रोडक्ट','5.0 out of 5 stars','Very responsive product'
'B00ZYLMQH0','good','4.0 out of 5 stars','Dell KB216/KB216d1 Multimedia USB Keyboard with Super Quite Plunger Keys with Spill good Dell KB216/KB216d1 Multimedia USB Keyboard with Super Quite Plunger Keys with Spill'
'B00ZYLMQH0','Not good','1.0 out of 5 stars','The keybord many keys stopped working even when it was properly stored .'
'B00ZYLMQH0','Keys getting stuck after 6 months of usage','1.0 out of 5 stars','Keys getting stuck after 6 months of usage'
'B00ZYLMQH0','Nice quality','5.0 out of 5 stars',"It doesn't makes much sound while typing."
'B00ZYLMQH0','Nice product','5.0 out of 5 stars','Nice product'
'B00ZYLMQH0','External keyboard','5.0 out of 5 stars','Wanted a simple wired keyboard. Got the right one just now. It arrived in good condition. Working well. Thank you.'
'B00ZYLMQH0','Value of money','4.0 out of 5 stars','Using almost 1 month above.. nd still working so smooth..'
'B00ZYLMQH0','Good Quality','4.0 out of 5 stars',''
'B00ZYLMQH0','Dell keyboard','5.0 out of 5 stars','Very nice keyboard, bought this second time. Much better than iball'
'B00ZYLMQH0','Fine','3.0 out of 5 stars','Okay'
'B00ZYLMQH0','Reliable and sturdy. Definitely worth it.','5.0 out of 5 stars',"The product is good and reliable no complaints so far. It's working excellent and exceeded my expectations. Definitely one can go for it."
'B00ZYLMQH0','Sleek and type friendly keyboard.','5.0 out of 5 stars','21-09-2023; Today i got new keyboard,which is a Dell chicklet keyboard model kb216. i am not putting any pictures, because there are lot of it. i had my eyes on this keyboard for a very long time. its the most running model keyboard from dell. i didnt buy it before because i already had TVS Mechanical keyboard and i dont know why it stopped working. I had a spare old chicklet keyboard which i was using till now. anyway i finally bought and it feels good. its good upgrade from previous chicklet keyboard. - keys are smooth and low profile and i dont have to deal with that key wobble. - connection is good. - i have a very laptop with windows 7. i am able to use the ruppee symbol. have to see some other ways to check the ruppee symbol. my initial experience is good. and i hope that it will get better with time. if you like my short review, do give a like.'
'B00ZYLMQH0','Wasted money please do not buy','1.0 out of 5 stars','Wast of money please do not buy'
'B00ZYLMQH0','Keys can get stuck in pressed state after a few months','1.0 out of 5 stars','Everything works as advertised but shift and alt key have started to get stuck in pressed state, have to press the other corner of the key to get it to release'
'B00ZYLMQH0','Good product','5.0 out of 5 stars','Nice product.'
'B00ZYLMQH0','Real & trustworthy product by Dell','5.0 out of 5 stars','Packaging to product everything is perfect. Must buy!!!!'
'B00ZYLMQH0','Good','4.0 out of 5 stars','Good'
'B00ZYLMQH0','Good','4.0 out of 5 stars','Good'
'B00ZYLMQH0','Good','5.0 out of 5 stars','Value for money product'
'B00ZYLMQH0','Normal','2.0 out of 5 stars','Functioning'
'B00ZYLMQH0','Keyboard Keys','1.0 out of 5 stars','Keys are not smooth and it takes time to press.'
'B00ZYLMQH0','Good product','4.0 out of 5 stars','Good product with excellent plastic quality and the noise while typing is very less compared to the other keyboards in this price range. I suggest you to buy this if you are looking for the office purpose'
'B00ZYLMQH0','Excellent keyboard','5.0 out of 5 stars','Keys are smooth, light weight & sleek design.'
'B00ZYLMQH0','wrost','1.0 out of 5 stars',"i replace 1st one b'coz it didn't work well most keys are not responding... but after replace same problem occurs with the 2nd one.. i am very disappointed"
'B00ZYLMQH0','Good product','5.0 out of 5 stars','aWESOME. Liked it'
'B00ZYLMQH0','Good Choice','5.0 out of 5 stars','Good Choice'
'B00ZYLMQH0','Good product','5.0 out of 5 stars','Comparable with all my gadjets (PC, Laptop, TV and Mobiles)'
