item,title,rating,body
'B01D5H8LDM','Quality','4.0 out of 5 stars','Quality not top of the line but Okay 👌'
'B01D5H8LDM','Best value for money cable!','5.0 out of 5 stars','Got them for 269 only for 15 feet cable which makes it extremely value for money. Sound quality improved a bit than the pre installed oem cable. So, overall very happy with it :)'
'B01D5H8LDM','Cable and audio quality is good.','4.0 out of 5 stars','Cable and audio quality is good for the price.'
'B01D5H8LDM','Amazon basics products are great','5.0 out of 5 stars','Thickness | Quality | Appearance | Value for money everything is very good best product for best price in similar range products'
'B01D5H8LDM','Best choice for home theatre','5.0 out of 5 stars','The media could not be loaded. Good sound quality thanks Amazon'
'B01D5H8LDM','One of the best quality connector','5.0 out of 5 stars','The media could not be loaded. The sound quality is extremely too good,no connectivity issue and really its value for money for listening songs on hd quality'
'B01D5H8LDM','best for 2.1 home theatre','5.0 out of 5 stars','using with obage speakers better than their cable'
'B01D5H8LDM','ok','4.0 out of 5 stars','super'
'B01D5H8LDM','Quality','5.0 out of 5 stars','Nice quality and sufficient length 👍'
'B01D5H8LDM','Full ohh','4.0 out of 5 stars','Tick'
'B01D5H8LDM','Awesome','5.0 out of 5 stars','Superb sound quality better than optical cable'
'B01D5H8LDM','Good quality product from Amazon','5.0 out of 5 stars','Length and finishing of the wire is quite good.'
'B01D5H8LDM','Good','4.0 out of 5 stars','Good'
'B01D5H8LDM','This is fine quality product very very nice & good','4.0 out of 5 stars','It is this is used to stereo receiver & stereo amplifier always perfectly match mobile to stereo receiver good quality good product gold plated pin awesome. Thank you for amazon.'
'B01D5H8LDM','high quality cable by amazon basics','5.0 out of 5 stars',"recently got a GB gaming monitor its speakers were the worst, and my F&D sound bar doesn't have a 3.5 mm port, my x box doesn't have a SPDIF port, my monitor doesnt have good speakers, so needed a 3.5 mm to RCA(RED WHITE) cable, got this for Rs. 299/- for 15 feet. works well and the quality is better than SPDIF connectivity."
'B01D5H8LDM','Quality','5.0 out of 5 stars','Wire quality is very good. Its also long'
'B01D5H8LDM','Works well','5.0 out of 5 stars','Bought it for TACTV setup box to connect with sony home theatre. Works great. Previously I was using digital to analog audio converter, After that changed to this cable.'
'B01D5H8LDM','Very good quality','5.0 out of 5 stars','Yes, i purchased this cable to install on my old f&d subwoofer, replaced the factory one which was fine but giving noise when it got touched by mistake. 300rs cable for 3000rs subwoofer is not a smart idea but the quality of this male cable is damn good. Specially the cable length is a big plus point for anyone who finds the 3.5mm jack quiet far away from where they want to insert it. I have freedom to move my subwoofer few meters to my desired place.'
'B01D5H8LDM','Perfect','5.0 out of 5 stars','Sound Quality clear.'
'B01D5H8LDM','Quality Product','5.0 out of 5 stars',"Since it's an RCA cable from AmazonBasics, you can trust it blindly."
'B01D5H8LDM','Trust blindly','5.0 out of 5 stars','Cable is fantastic in all aspects Design, Build Quality, performance, Sound Quality, length... Everything is superb... Go for it if you have RCA input in your sound system...  No humming noise without audio... Unlike many other branded cables... No external interference'
'B01D5H8LDM','Nice product','4.0 out of 5 stars',"It's good work"
