item,title,rating,body
'B01DLU1PIG','Good','5.0 out of 5 stars','Good'
'B01DLU1PIG','Good','4.0 out of 5 stars','Good'
'B01DLU1PIG','Nice 😊','5.0 out of 5 stars','Nice 😊'
'B01DLU1PIG','Tfm 75% grade 1 soap','5.0 out of 5 stars','Go for it, It will do it job excellently, no doubt.'
'B01DLU1PIG','Quality','4.0 out of 5 stars','Good to use and fresh and value for money..'
'B01DLU1PIG','Fresh','5.0 out of 5 stars','Very good product under the right value for money'
'B01DLU1PIG','Size may be increased','4.0 out of 5 stars','Perfume to be increased'
'B01DLU1PIG','good','2.0 out of 5 stars','good soap'
'B01DLU1PIG','Value for money','5.0 out of 5 stars','Smells good'
'B01DLU1PIG','Value for health','4.0 out of 5 stars','A good combination of value for money and quality. But company should keep cost under control.'
'B01DLU1PIG','Soaps','5.0 out of 5 stars','Good'
'B01DLU1PIG','Nice soap smel so nice','5.0 out of 5 stars','I like soap'
'B01DLU1PIG','Na','5.0 out of 5 stars','The product is high quality product. Very economical, the flavors are also not so strong. It is worth the buy.'
'B01DLU1PIG','Quality is excellent','5.0 out of 5 stars','The media could not be loaded. Godrej shop no 1 quality number 1 thanks Amazon 👍👍👍👍👍'
'B01DLU1PIG','Must buy product','4.0 out of 5 stars','Highly recommend'
'B01DLU1PIG','Out of 6 item i received only 5','1.0 out of 5 stars','One item missing'
'B01DLU1PIG','100 % SATISFACTION GUARANTEED 👍','5.0 out of 5 stars','⭐⭐⭐⭐⭐ FOR FRAGRANCE. 100% VALUE FOR MONEY. 100% SATISFACTION GUARANTEED.'
'B01DLU1PIG','Budget friendly','5.0 out of 5 stars','Nice fragrance also'
'B01DLU1PIG',"It's smell is good",'4.0 out of 5 stars','Product is good but package is not proper in my case'
'B01DLU1PIG','No 1','5.0 out of 5 stars','Verry 👍  Ok  Kkkkk  Best'
'B01DLU1PIG','Ok','3.0 out of 5 stars','Ok'
'B01DLU1PIG','SOAP','5.0 out of 5 stars','Is a good product'
'B01DLU1PIG','Just ok','3.0 out of 5 stars','But expensive'
'B01DLU1PIG','Nice fragrance','5.0 out of 5 stars','Nice fragrance'
'B01DLU1PIG','good','4.0 out of 5 stars','good quality, afterall soap is soap'
'B01DLU1PIG','Soap','4.0 out of 5 stars','Works ok'
'B01DLU1PIG','ठीक ठीक है','2.0 out of 5 stars','कोई खास नहीं है'
'B01DLU1PIG','Good','3.0 out of 5 stars','Good'
'B01DLU1PIG','Best','5.0 out of 5 stars','Value for money and cost saving'
'B01DLU1PIG','Good','5.0 out of 5 stars','Good'
'B01DLU1PIG','Nice product','4.0 out of 5 stars',',......'
'B01DLU1PIG','Value for money','5.0 out of 5 stars','Very good soap'
'B01DLU1PIG','Product achha hai','4.0 out of 5 stars','I like you'
'B01DLU1PIG','Awesome','4.0 out of 5 stars','Nice product at this range'
'B01DLU1PIG','Nice 👍','5.0 out of 5 stars','Awesome 😎'
'B01DLU1PIG','Good product','4.0 out of 5 stars','Very good quality product and good price'
'B01DLU1PIG','Nice','4.0 out of 5 stars','Satisfied'
'B01DLU1PIG','Waste of money','1.0 out of 5 stars','Not good soap,no much smell,feels like bar soap, difficult to lather also,packaging alos looks like it is duplicate product'
'B01DLU1PIG','Good product','4.0 out of 5 stars','Good product'
'B01DLU1PIG','1మంచి స్నానపు సబ్బు','5.0 out of 5 stars','అలోవెరా, నిమ్మ, తులసి లక్షణాలు కల ఒక మంచి స్నానపు సుబ్బు. స్నానం తర్వాత ఫ్రెష్ గా ఉంటుంది.'
'B01DLU1PIG','Good soap','4.0 out of 5 stars','Nice fragrance'
'B01DLU1PIG','Value for money','5.0 out of 5 stars',"I like smell of Godrej No1 ,it's long lasting and worth to buy in less price."
