item,title,rating,body
'B01DZLAKO6','The card quality is the best.','5.0 out of 5 stars','The cards are so smooth while handling the box is bigger than it shows in the picture 100 dollar note is designed at the back and the card quality is very nice . I really loved it. Must buy this product.'
'B01DZLAKO6','Missing items','4.0 out of 5 stars',"Product is good but the cards (when in cover) get stuck in the wooden box and it's not easy to get the whole packet out. And I wrote a message with the order which was not there when the parcel arrived."
'B01DZLAKO6','Elegant','5.0 out of 5 stars','Elegant . Can be given as gift . The wooden box it comes in is classy and the cards are of superior quality.'
'B01DZLAKO6','Good quality','4.0 out of 5 stars','Quality is good.'
'B01DZLAKO6','good for the money!!!','4.0 out of 5 stars','its good for what you pay for it but the quality could have been slightly better.'
'B01DZLAKO6','Bad visibility of cards','1.0 out of 5 stars','Good case but bad cards too unattractive to play'
'B01DZLAKO6','Very cheap quality','1.0 out of 5 stars','Waste of money.'
'B01DZLAKO6','Sad','1.0 out of 5 stars','Worst. Of 50 rs playing cards are much more better than these as within 10 days colour of cards becomes fade and I am feeling that my 500 rs are gone 💔😢😔 in dustbin🚮'
'B01DZLAKO6','Poor build','1.0 out of 5 stars','The coating comes off easy not recommended.'
'B01DZLAKO6','Very worse cards','1.0 out of 5 stars','The media could not be loaded. I want to return this item'
'B01DZLAKO6','Please do not buy','1.0 out of 5 stars','Tyhe golden color is fa de in to printed letters and poor quality so i returned./..'
'B01DZLAKO6','Numbers and symbols are erased','1.0 out of 5 stars','Numbers and symbols are erased after a month use'
'B01DZLAKO6','Not worth buying','4.0 out of 5 stars','After some use, the print fades away. It can only be kept for show but not used. But when it is new, it looks beautiful and stylish.'
'B01DZLAKO6','Very good👍','5.0 out of 5 stars','It is very good 😊😊😊👏 Good Good good Oh nice My god Good👍😊 Oh God 🙏🙏🙏 😊😊 👍👍 Good God'
'B01DZLAKO6','Dnt go for it ...','1.0 out of 5 stars','Waste of money , very bad product , dnt go for it ... Its better to buy from any local shop ...'
'B01DZLAKO6',"Don't buy",'1.0 out of 5 stars','The cards are good for cardspring Fan not possible as it becomes very sticky after 7 or 8 days, the card packet wears away after 1 week'
'B01DZLAKO6','good quality','5.0 out of 5 stars','good quality . i like the cards'
'B01DZLAKO6','Superb Quality','5.0 out of 5 stars','Must Buy...One of the best packs I have ever purchased. Superb Quality, looks amazingly Elite and worth every penny! Simply Loved it.'
'B01DZLAKO6','nicely packed','5.0 out of 5 stars','satisfied with the product'
'B01DZLAKO6',"It's box is very good",'5.0 out of 5 stars','Like'
'B01DZLAKO6','Awesome','5.0 out of 5 stars','Awesome cards...'
'B01DZLAKO6','Classic wood work','5.0 out of 5 stars','Finish on this product is excellent. The case and cards fits perfectly together. It works as a showpiece as well.'
'B01DZLAKO6',"Don't buy",'1.0 out of 5 stars',"Don't buy this one. It hurts the eyes while playing. Glaring. Quality also not good. Not worth for this much money"
'B01DZLAKO6','Good Quality','5.0 out of 5 stars','Liked it'
'B01DZLAKO6','😊','5.0 out of 5 stars','Same as shown, good quality & box finishing'
'B01DZLAKO6','Exlent','5.0 out of 5 stars','The media could not be loaded. Super'
'B01DZLAKO6','Amazing Product','5.0 out of 5 stars','Loved it'
'B01DZLAKO6',"Don't buy these cards, can buy cover",'1.0 out of 5 stars','print got fade within 15 days'
'B01DZLAKO6','Own it!','4.0 out of 5 stars',"Looks good, feels good but are equally slippery. Hold it well or you might just lose the same. Go for it, it's a good possession."
'B01DZLAKO6','Good','5.0 out of 5 stars','Gave it as a gift to someone and they love it.'
'B01DZLAKO6','Awesome stuff , makes for a perfect gift','5.0 out of 5 stars','The packaging is good & quality too is nice.'
'B01DZLAKO6','Not a good buy','2.0 out of 5 stars','Not such a good one, numbers are not easily visible in dim light and quality is average it was like handling cheap plastic cards.'
'B01DZLAKO6','First look Impression','5.0 out of 5 stars','Exactly same as shown in the picture, very impressive in the first look, the deck comfortably fits with the wooden box with space. The wooden box'
'B01DZLAKO6','Must','5.0 out of 5 stars','Good sine.'
'B01DZLAKO6','Nice product.. Worth buying 👍👍','5.0 out of 5 stars','Nice cards and box quality is also very good.. Value for money..'
'B01DZLAKO6','Dont buy this','1.0 out of 5 stars','Waste of money...it should not cost more than 200/-'
'B01DZLAKO6','Excellent','5.0 out of 5 stars','Excellent product'
'B01DZLAKO6','Amazing...so happy to got it.. ❤️','5.0 out of 5 stars',"Beautiful cards... cute box...just like shown in the image... It's the best card to use if you are interested in cartomancy or any fancy poker games party... worth the price... Totally recommend this..."
'B01DZLAKO6','Quality wise value for money','5.0 out of 5 stars','Product quality is really worth for money . But when I recieved the parcel 3 cards are slightly bended due to the packing, actually the cards with the cover is not fitting properly inside the wooden box .'
'B01DZLAKO6','Loving it','4.0 out of 5 stars','In lockdown period it is my best friend and time pass game.'
'B01DZLAKO6','Too shiny','3.0 out of 5 stars','Too shiny.'
'B01DZLAKO6','Good card-box','5.0 out of 5 stars','Good gifting option, especially for men...'
'B01DZLAKO6','Sexy Cards','5.0 out of 5 stars','Sexy cards just loved it and purchased twice. Only constraint was wooden box would have been bit more spacious'
'B01DZLAKO6','Gr','5.0 out of 5 stars','Wonderful to have a set at home'
'B01DZLAKO6','Best','5.0 out of 5 stars','Best'
'B01DZLAKO6','Good','4.0 out of 5 stars','Good'
'B01DZLAKO6','Fancy to be showcased','2.0 out of 5 stars','Everything was appealing, especially the wooden box. However, the cards worn out quickly than expected'
'B01DZLAKO6','Superb','5.0 out of 5 stars','Superb'
'B01DZLAKO6','Poor quality','1.0 out of 5 stars','It looked good when bought...but the print faded in 6 months....not satisfied'
'B01DZLAKO6','Great for a table','5.0 out of 5 stars','Coool case'
