item,title,rating,body
'B01INWEX9U','Ball point pen','5.0 out of 5 stars','It has a nice gripping pen which can help you write smoothly.. .a nostalgic one !'
'B01INWEX9U','It is a simple pen having dark blue ink & good grip.','5.0 out of 5 stars','It is a simple pen having dark blue ink & good grip.'
'B01INWEX9U','Good','5.0 out of 5 stars','Smoothness'
'B01INWEX9U','Smooth flow','5.0 out of 5 stars','When writing smooth flow is very an essential aspect and one can find in these pens. Besides quality value for money is important and it has been taken care.'
'B01INWEX9U','Very Good','5.0 out of 5 stars','Excellent Service'
'B01INWEX9U','Old is Gold','5.0 out of 5 stars','One of the best and finest pen in comparison to others'
'B01INWEX9U','Smooth','4.0 out of 5 stars','Nothing to dislike'
'B01INWEX9U','Broken item','1.0 out of 5 stars','Broken item'
'B01INWEX9U','It says 25 nos. But only 20 are available..','2.0 out of 5 stars','Box says 20 blue and 5 black pens ... but only 15 blur and 5 black pens are there in the package...'
'B01INWEX9U','Excellent','4.0 out of 5 stars','It is so good to use but I got only 5 black pens and 20 blue pens'
'B01INWEX9U','Not that bad....','3.0 out of 5 stars',"Go for linc glycer , it is not that smooth and not that perfect pen, as I shown in pic the new pen doesn't work properly for some days, after more than half of ink completed, then it works somewhat better. I have used more than 15 pens and writing this review and I quit and cometion of these pens and bought linc glycer 😌 . Heaven for writing...."
'B01INWEX9U','Excellent one','5.0 out of 5 stars','Good product and was in good quality'
'B01INWEX9U','Good product','5.0 out of 5 stars','Very smooth'
'B01INWEX9U','Great for writing fast especially Mathematics','5.0 out of 5 stars','There are 20 blue pens and 5 black pens. One can see the date of mfg on the refill inside the pen, mine was about a month before the date of purchase. Works really great till ink lasts. No pressure on fingers due to the grip. Somedays I write with it for 8-10 hours, no hassle.'
'B01INWEX9U','Recommendation','5.0 out of 5 stars','Very good product'
'B01INWEX9U','good','3.0 out of 5 stars','Goood but not smoothly'
'B01INWEX9U','Good Quality Pen','5.0 out of 5 stars','Good Quality - my children likes to use it for regular writing and exams. It would also be helpful if we get all 25 in Blue color.'
