item,title,rating,body
'B01K8914A2','Value for money','5.0 out of 5 stars',"It's very good.Paper quality also very excellent."
'B01K8914A2','One note ook missing','1.0 out of 5 stars','Dislike'
'B01K8914A2','Great quality','5.0 out of 5 stars','Good quality hard cover. Neat. Solid.'
'B01K8914A2','Totally worth it.','5.0 out of 5 stars','Sturdy cover good quality pages. Loved it'
'B01K8914A2','Great build quality','5.0 out of 5 stars','Build quality is great beeter then classmate notebooks, hard bound material is stredy.'
'B01K8914A2','Very very nice','5.0 out of 5 stars',"Good morning ma'am I am very yyyyyyyy hai hap"
'B01K8914A2','Waste of money','1.0 out of 5 stars','Worst paper quality'
'B01K8914A2','Original price 155','4.0 out of 5 stars','OK book.'
'B01K8914A2','Its good','4.0 out of 5 stars','Only issue is that it was a pack of 5 but I received only 1 which is very disappointing'
'B01K8914A2','False Information showing and cant even return','1.0 out of 5 stars','False Information showing and cant even return. Seller says 1 item but in site it has been mentioned 5 items which is correct. Already one customer received 1 item only. Please dont make confuse and fool. Give correct information on site'
'B01K8914A2','wrong information','1.0 out of 5 stars','overall quality of product is good but they have given us wrong information that it is pack of 5 but they just sent me 1 notebook only'
'B01K8914A2','Excellent quality','5.0 out of 5 stars','Exactly what I wanted!'
'B01K8914A2','Nice product arrived in neat condition and pricing is good','5.0 out of 5 stars','Great'
'B01K8914A2','Good quality product','4.0 out of 5 stars','Books are good. Quality is good and I am satisfied. Thank you.'
'B01K8914A2','Excellent quality','5.0 out of 5 stars','Excellent quality'
'B01K8914A2','Quality at topmost','5.0 out of 5 stars','Good quality'
'B01K8914A2','Value for money','5.0 out of 5 stars','Good product.'
'B01K8914A2','Quality product','5.0 out of 5 stars','Its a great long book for the price'
'B01K8914A2','Great','5.0 out of 5 stars','Great'
'B01K8914A2','Very good product','5.0 out of 5 stars','Book with a hardcover is good and pages quality is also good.'
