item,title,rating,body
'B01LTI1KJ6','Nice','5.0 out of 5 stars','Good and durable'
'B01LTI1KJ6','Bas sahi h','4.0 out of 5 stars','50-50'
'B01LTI1KJ6','Worth the money','5.0 out of 5 stars','Wanted a soft and cozy comforter.'
'B01LTI1KJ6','Easy to wash','4.0 out of 5 stars',''
'B01LTI1KJ6','Little bit disappointed ,but product is really good sufficient for the beginning of winters','4.0 out of 5 stars','The media could not be loaded.'
'B01LTI1KJ6','Comfort, quality, GSM, strength','5.0 out of 5 stars','Overall built is nice, can be fit into small bags, Its nice if you leave AC on for whole night. Overall nice product.'
'B01LTI1KJ6','Loving it','5.0 out of 5 stars',"It's so cozy , light weighted and beautiful colours"
'B01LTI1KJ6','Very bad quality','1.0 out of 5 stars','Worst site to buy comforters Selling all stupid non quality products'
'B01LTI1KJ6','Fine threaded quality blanket','5.0 out of 5 stars','All season ( especially on cold weather ) soft blanket to get awesome high quality sleep !'
'B01LTI1KJ6','Excellent product','5.0 out of 5 stars','I ordered for my self only and the product is very nice and the quality is very excellent ✅'
'B01LTI1KJ6','Soft and comfortable','5.0 out of 5 stars','Comfortable and feels very soft, good product'
'B01LTI1KJ6','Ok','4.0 out of 5 stars','Ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok'
'B01LTI1KJ6','Good','4.0 out of 5 stars','Very nice product'
'B01LTI1KJ6','You can buy it for monsoon and winter superb quality I love it 💕😍','5.0 out of 5 stars','You can buy it for monsoon and winter superb quality I love it 💕😍'
'B01LTI1KJ6','Product is good','4.0 out of 5 stars','Product is very good, only thing I didn’t like is thickness of product'
'B01LTI1KJ6','Average','3.0 out of 5 stars','Average . Should be of cotton'
'B01LTI1KJ6','Super','5.0 out of 5 stars','Super quality It was so soft it is easy to lift weight less It is value for money it cheap'
'B01LTI1KJ6','Very comfortable and value for money.','5.0 out of 5 stars','This is a great product and very comfortable for little cold weather or bangalore like weather where most of the time little code in night. This is a great product and value for money. I bought in prime day sale so got in good price.'
'B01LTI1KJ6','Good Comforter','5.0 out of 5 stars','Comfortable comforter'
'B01LTI1KJ6','Excellent Product','5.0 out of 5 stars','Very good Blanket for winter & AC'
'B01LTI1KJ6','Good premium product','5.0 out of 5 stars','Looks wise it is good, may buy for light winter uses or AC comforter'
'B01LTI1KJ6','Great Product! The size is huge perfect for 2 people!','5.0 out of 5 stars','1. Great size, big enough for 2 people comfortably. 2. Great colours, reversible. 3. Provides good heat. Okay for AC and mild winters.'
'B01LTI1KJ6','Packaging','4.0 out of 5 stars','Good ...product'
'B01LTI1KJ6','Must buy for winter','5.0 out of 5 stars','Nice ,warm and soft'
'B01LTI1KJ6','USED DIRTY WITH STAINS','1.0 out of 5 stars','I was not hoping to get a used blanket with lots of stains and hairs on it. Pathetic Highly Disappointed Would never recommend.'
'B01LTI1KJ6','Good item','4.0 out of 5 stars','Best parformance'
'B01LTI1KJ6','Super','5.0 out of 5 stars','Very nice'
'B01LTI1KJ6','Very good','5.0 out of 5 stars','Good'
'B01LTI1KJ6','Very nice Blanket','5.0 out of 5 stars','Using this since 2 years. Very warm and the quality is good. So ordering again.. Cheers'
'B01LTI1KJ6','Go for it if ur in a cold place','4.0 out of 5 stars',"I liked it the quality is amazing but I live in a warm place and it's very thick and kinda heavy so I had to return it ."
