item,title,rating,body
'B06XC1WGQR','Working with PS5','4.0 out of 5 stars','This pendrive (256 GB) working fine with PS5. I am able to move PS4 games to pendrive and play directly through it on PS5. Only cons found are delicate sliding button, heating and Price.'
'B06XC1WGQR','Worth','5.0 out of 5 stars',"Product was awesome ..it's really helpful"
'B06XC1WGQR','Storage','5.0 out of 5 stars','Top quality usb'
'B06XC1WGQR','Very useful and worth it','4.0 out of 5 stars','Works very smoothly and totally worth the money but gets hot when connected'
'B06XC1WGQR','Nice compact to use directly on mobile phone','5.0 out of 5 stars','Good to use for phone and laptops'
'B06XC1WGQR','Good product','5.0 out of 5 stars','Good product'
'B06XC1WGQR','Good','4.0 out of 5 stars','Good worthy buying'
'B06XC1WGQR','Decent speed , good for storage','4.0 out of 5 stars','I am happy with pd which satisfy my need to store data but heating is little bit issue .i am getting 20 mb/s of writting .I am purchased 256gb pd. 😊'
'B06XC1WGQR','Perfect','5.0 out of 5 stars','Heating issues but compatible'
'B06XC1WGQR','Very nice','4.0 out of 5 stars','Very amazing and nice design i order second time'
'B06XC1WGQR','☺️','5.0 out of 5 stars','Nice 👍'
'B06XC1WGQR','Powerful!','5.0 out of 5 stars','Top built quality, high speed at a faster speed, durable, easy to carry.'
'B06XC1WGQR','256gb is this price range is good product','4.0 out of 5 stars','Good product 👌 bud some time heating issue.'
'B06XC1WGQR','Good data transfer speed','4.0 out of 5 stars','Transfers data very fast and that is its attribute'
'B06XC1WGQR','Died in less than 6 months','1.0 out of 5 stars','Ordered the pen drive on 1st April 2023 and it died today no longer reads in windows and when i go to RMA it on the sandisk website it says its not eligible for RMA. Sandisk quality has gone done very badly I dont think I will buy another one. Have an old kingston drive which is over 5 years old and still works very well.'
'B06XC1WGQR','Type C feature','4.0 out of 5 stars','Multi functional Type c mobile and laptop. Unique design.'
'B06XC1WGQR','Very HIGH SPEED DATA TRANSFER SPEED THANK YOU AMAZONE & FLIPKART','5.0 out of 5 stars',''
'B06XC1WGQR','Value for money','5.0 out of 5 stars','Use for personal work, best in this price range'
'B06XC1WGQR','Wrong description','1.0 out of 5 stars','Wrong GB description is mentioned. Actually Size of Gb is les than the mentioned size'
'B06XC1WGQR','Bad experience SanDisk','1.0 out of 5 stars','Very bad experience pen drive Ek Hafte ke bad hi kharab ho gai'
'B06XC1WGQR','Not Good for long time','1.0 out of 5 stars','Worst design, stopped working after sometime, lock on flip broken quickly, now mins not in useable condition, freely moving unable to insert'
'B06XC1WGQR',"Worst product, Pls don't buy",'1.0 out of 5 stars','Very complex process for replacement they do not provide you replacement at your home So please do not buy it stop working with mobile...sandisk customers care number are all does not work or invalid.. You have mail them.'
'B06XC1WGQR','Best pd','5.0 out of 5 stars',"It's so useful"
'B06XC1WGQR','Pendrive 128','2.0 out of 5 stars','Heating issue, transfer file is very slow..... But good working on both mobile and laptop....'
'B06XC1WGQR','Good','5.0 out of 5 stars','Product'
'B06XC1WGQR','Compact design','5.0 out of 5 stars','Authentic and good on price. Compact design and easy to work with.'
'B06XC1WGQR','storage','5.0 out of 5 stars','perfect 100% genuine'
'B06XC1WGQR','Good','5.0 out of 5 stars','Good'
'B06XC1WGQR','Value for money','4.0 out of 5 stars','Good transfer rate'
'B06XC1WGQR','Overall good performance','5.0 out of 5 stars','Its been two weeks now. Apart from heating issues no other problems.'
'B06XC1WGQR','Good product','4.0 out of 5 stars','Value for the money product but it gets too much heat when we connected it to TV. But for laptop and mobile it is working without getting heat'
'B06XC1WGQR','Pen drive','5.0 out of 5 stars','Good product.'
'B06XC1WGQR','Good','3.0 out of 5 stars','Product is good but not received cash back amount'
'B06XC1WGQR','Pen drive not supporting One plus 7 pro','1.0 out of 5 stars',"I had placed my order for One plus 7 pro mobile usage.but it's not working on my mobile.same problem with my replaced item too. Don't buy not at all good for mobile 📱"
'B06XC1WGQR','It can be easily used in both mobile and PC','5.0 out of 5 stars','The plastic on its outer casing is very hard and durable so it is less likely to get damaged and since it has Type C, we can even open files with our mobile.👍🏻👍🏻'
'B06XC1WGQR','good pendrive','5.0 out of 5 stars','very useful with its type c connection'
'B06XC1WGQR','Good','4.0 out of 5 stars','Sandisk 128gb Type C Pendrive Good Warranty Service Good'
'B06XC1WGQR','Nice product','5.0 out of 5 stars','Satisfied with this purchase'
'B06XC1WGQR','Vry good product 👌','5.0 out of 5 stars','The media could not be loaded.'
'B06XC1WGQR','Pen drive','5.0 out of 5 stars','Mobile Data transfer'
'B06XC1WGQR','Very slow data transfer speed','2.0 out of 5 stars','The data read write speed is very slow.'
'B06XC1WGQR','Flip for both usb and usb-c.. Nice','5.0 out of 5 stars','Nice and just right .. and a nice lock to keep the usb in place'
'B06XC1WGQR','Quality','5.0 out of 5 stars','Good'
'B06XC1WGQR','पावर फुल प्रोडक्ट','5.0 out of 5 stars','लय भारी घेऊनटाका 👍🫡❤️❤️❤️'
'B06XC1WGQR','256 GB','5.0 out of 5 stars','Very good high speed'
'B06XC1WGQR','Good product','4.0 out of 5 stars','Very fastest copying and moving'
'B06XC1WGQR','Excellent','5.0 out of 5 stars','Very good product'
'B06XC1WGQR','Good','4.0 out of 5 stars','Good quality'
'B06XC1WGQR','Nice Product','5.0 out of 5 stars','Good product'
'B06XC1WGQR','Malfunctioning of Pendrive','1.0 out of 5 stars','It is not working properly. Malfunctioning while playing videos. While playing videos( connected in TV), another video is streaming in between, Eventhough it is not in the storage.  Tried many times by formatting and also checked with another pendrive. It is working properly.'
