item,title,rating,body
'B06XHGHKQ7','Fitting of belt','5.0 out of 5 stars','Very nice product. ...........worth for money Good fitting'
'B06XHGHKQ7','Good Quality Product','5.0 out of 5 stars','Liked the belt. The quality is really good. Go for it.'
'B06XHGHKQ7','Value for money 💰','5.0 out of 5 stars','Appearance is good.'
'B06XHGHKQ7','Excellent quality','4.0 out of 5 stars','The appearance is good and correct fitting . Colour is appealing'
'B06XHGHKQ7','Good quality','5.0 out of 5 stars','Worth the money'
'B06XHGHKQ7','Good one','5.0 out of 5 stars','Very nice and comfort'
'B06XHGHKQ7','Good product','5.0 out of 5 stars','The media could not be loaded. Good product'
'B06XHGHKQ7','Belt','4.0 out of 5 stars','Very nice product... Value for money..'
'B06XHGHKQ7','Quality and durability','5.0 out of 5 stars','Very satisfied with this company product I have used this company belt before highly recommend to buy'
'B06XHGHKQ7','Worst Product..','1.0 out of 5 stars','FAKE MRP SHOWING... when I received that product after once look I immediately returned that product.'
'B06XHGHKQ7','Chandan pulkit','5.0 out of 5 stars',"Quality of the product is very good . It's pure letther. And strong enough to use."
'B06XHGHKQ7','Very good belt','5.0 out of 5 stars','Belt and buckle quality is good.'
'B06XHGHKQ7','Excellent product','5.0 out of 5 stars','Very good quality. Packaging is also good.'
'B06XHGHKQ7','Very good','5.0 out of 5 stars','Good quality product'
'B06XHGHKQ7','Excellent Product','5.0 out of 5 stars','Great product at affordable price'
'B06XHGHKQ7','Best product','5.0 out of 5 stars','Best, comfortable nice looking'
'B06XHGHKQ7','Very good','5.0 out of 5 stars','Easy to use. price also good'
'B06XHGHKQ7','Amol','5.0 out of 5 stars','I like this product'
'B06XHGHKQ7','Good for money','4.0 out of 5 stars',"It's a good one but little bit stiff. The leather is not soft."
'B06XHGHKQ7','Very bad product','1.0 out of 5 stars','Had purchased as gift got feedback that they were pieces joined together. Very embarrassing'
'B06XHGHKQ7','Belt','4.0 out of 5 stars','Good product.'
'B06XHGHKQ7','Good quality','5.0 out of 5 stars','{"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"clientPrefix":"vse_reviews_desktop_r6we0xsc6sv34_1697116195944","closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"260-6983589-1283129","refMarkers":"vse_reviews_desktop_R6WE0XSC6SV34_1697116195944_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"XS0XBVJ22QM64QKBGW19","customerId":"0","sessionType":1},"mimeType":"application/x-mpegURL","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R6WE0XSC6SV34","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R6WE0XSC6SV34_1697116195944_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"videoHeight":0,"videoWidth":0,"initialClosedCaptions":"en,https://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/872f25f5-357c-43c5-930f-707a3c706a0b.vtt","videoUrl":"https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/86c49049-fa4b-4524-847a-c288824d9b24/default.jobtemplate.hls.m3u8","metricsEmissionMethod":"sushi","awaConfig":{"useUpNextComponent":false,"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"initialVideo":"R6WE0XSC6SV34","shouldPreload":true,"enableClickBasedAttribution":false,"isChromelessPlayer":false,"closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"isVideoImmersivePlayer":false,"metricsEmissionMethod":"sushi","skipInitialFocus":false,"playerSkin":"none","disabledViewIds":["replayHint"],"customerId":"0","containerId":"vse_reviews_desktop_r6we0xsc6sv34_1697116195944-player-63b3b6ae-143b-4365-b868-adbf261edee4","requestMetadata":{"marketplaceId":"A21TJRUUN4KGV","clientId":"VSE-IN","method":"cr_inline_review","requestId":"XS0XBVJ22QM64QKBGW19","pageAsin":"","sessionId":"260-6983589-1283129"},"shouldLoop":false,"shouldDisableControls":false,"alwaysSetInitialVideo":true,"showPlayerCloseButton":false,"clientPrefix":"","useAutoplayFallback":false,"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"260-6983589-1283129","refMarkers":"vse_reviews_desktop_R6WE0XSC6SV34_1697116195944_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"XS0XBVJ22QM64QKBGW19","customerId":"0","sessionType":1},"ospLinkCode":"","showPosterImage":true,"languageCode":"en","version":"","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R6WE0XSC6SV34","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R6WE0XSC6SV34_1697116195944_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"shouldStartMuted":false,"airyVersion":"VideoJS","languagePreferenceStrings":{},"enableInactiveFocus":true,"isReactFactory":false,"enableDelphiAttribution":false,"shouldAutoplay":false},"imageUrl":"https://m.media-amazon.com/images/I/51q4YKvWGtL._SY256._SY256.jpg","needPlayerFactory":false,"isMobile":false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live, currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off, selected Captions Captions off, selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. Worth for money'
'B06XHGHKQ7','Very helpful','5.0 out of 5 stars','Nic product'
'B06XHGHKQ7','Nice product','5.0 out of 5 stars','The media could not be loaded. Nice product really amazing  Good'
'B06XHGHKQ7','Good product','5.0 out of 5 stars','Good product'
'B06XHGHKQ7','This belt is long.this belt you will feel very comfortable. I like this belt very much','5.0 out of 5 stars','This belt is very long and strong and if you use this belt you will feel very comfortable. I like this product very much I am so happy'
'B06XHGHKQ7','Material is good in price.','4.0 out of 5 stars','The media could not be loaded. Good I budget.'
'B06XHGHKQ7','Very nice product','5.0 out of 5 stars','Nice quality'
'B06XHGHKQ7','Nice','4.0 out of 5 stars','Nice belt'
'B06XHGHKQ7','Nice belt','5.0 out of 5 stars','Good material'
'B06XHGHKQ7','Bad quality','3.0 out of 5 stars','Actually product is not good as per price'
'B06XHGHKQ7','Good product','4.0 out of 5 stars','Good product'
'B06XHGHKQ7','Product recieved was entirely different than photos','1.0 out of 5 stars',"Cheap quality buckle and belt. They clearly tried to copy labnoft, they even used labnoft's photos. But it looks completely different and worst."
'B06XHGHKQ7','It is good','5.0 out of 5 stars','Value of money, I like it more'
'B06XHGHKQ7','Very good item','5.0 out of 5 stars','Super duper'
'B06XHGHKQ7','Money weast','1.0 out of 5 stars','Money weast . Cheap quality'
'B06XHGHKQ7','Do not buy','1.0 out of 5 stars',"Do not buy.. Bed quality according to Amazon. Always misleading customers showing different item and sending cheaper things.. Plz don't buy product from amazon"
'B06XHGHKQ7','Not good item it is very low','1.0 out of 5 stars','Not good items'
'B06XHGHKQ7','Good product','5.0 out of 5 stars','Good'
'B06XHGHKQ7','Same material that you get near railway station @100Rs.','1.0 out of 5 stars','Same material that you get near railway station @100Rs.'
'B06XHGHKQ7','Excellent','4.0 out of 5 stars','Good one.. thanks'
'B06XHGHKQ7','Good','3.0 out of 5 stars','Belt is average'
