item,title,rating,body
'B0728HGM3F','Super','5.0 out of 5 stars','Super'
'B0728HGM3F','Excellent Quality','5.0 out of 5 stars',"They're well-made, good design and materials, comfortable to use, and very sharp.  Highly recommended"
'B0728HGM3F','Thick, good sharp edges','5.0 out of 5 stars',''
'B0728HGM3F','Value for money','5.0 out of 5 stars','Excellent scissor!'
'B0728HGM3F','It is quite good quality and "THICK" steel scissors','5.0 out of 5 stars','Amazing value for money spent. This pair of scissors are quite sturdy and surprising build quality for the price'
'B0728HGM3F','Good','5.0 out of 5 stars','Good pair of scissors for cutting meat.'
'B0728HGM3F','Not Detachable','1.0 out of 5 stars','Item is not as described. Product description says the blades are detachable.. But the blades are not detachable.'
'B0728HGM3F','It is easy to clean.','5.0 out of 5 stars','It is easy to clean and use'
'B0728HGM3F','EXCELLENT PRODUCT','5.0 out of 5 stars','VERY SHARP AND STURDY'
'B0728HGM3F','good and sturdy','4.0 out of 5 stars','A sturdy product'
'B0728HGM3F','Good','5.0 out of 5 stars','High quality and its very good, easy to clean.'
'B0728HGM3F','Nice product','4.0 out of 5 stars','Quality is very good'
'B0728HGM3F','Big scissors','5.0 out of 5 stars','I expected small size but big size good scissors received. Happy to get good quality product.'
'B0728HGM3F','Bad','1.0 out of 5 stars',"Bad product ..don't buy"
'B0728HGM3F','Good but hand hold is too small','4.0 out of 5 stars','The handle was too small for a comfortable grip for me. And I am a petite girl. The scissors is also more of a shears than a scissors. Meat shears. I was looking for something lighter, hence returning'
'B0728HGM3F','Worth the price','5.0 out of 5 stars',"One of the best pairs of scissors I've bought in a long time. Comparable to miniso's kitchen shears."
'B0728HGM3F','Amazing','5.0 out of 5 stars',"Using it for more than 2 years. It still sturdy and do it's job"
'B0728HGM3F','Two pieces detached','1.0 out of 5 stars','The screw is not durable'
'B0728HGM3F','It cuts well.','5.0 out of 5 stars','As a kitchen scissors.'
'B0728HGM3F','Not very sharp','3.0 out of 5 stars','Wish it was more sharp.'
