item,title,rating,body
'B072X3K8G1','Good quality','4.0 out of 5 stars','Nice... Worth it'
'B072X3K8G1','Best price and very comfortable for Jacking and running and very light weight','5.0 out of 5 stars','Superb quality and best price and very very light , can use any body , so happy with shoes and colour'
'B072X3K8G1','Nice product','5.0 out of 5 stars','Awesome 👍🏻'
'B072X3K8G1','Effective cost with good quality','5.0 out of 5 stars',"Nice shoe got in offer price 699 R's Effective price and good comfort nice shoe"
'B072X3K8G1','Nice','5.0 out of 5 stars','Awesome'
'B072X3K8G1','Good products','5.0 out of 5 stars','Very good'
'B072X3K8G1','Good','5.0 out of 5 stars','Good product with reasonable amount'
'B072X3K8G1','Nice product','5.0 out of 5 stars',"It is worthy product. It's performance is good.light weight.perfect stitching"
'B072X3K8G1','Very cheap','1.0 out of 5 stars','Cheap meterials use in this product 😀'
'B072X3K8G1','Seems to be a good shoe','3.0 out of 5 stars','Returned by the delivery person and hence, cannot review and comment'
'B072X3K8G1','Very good','5.0 out of 5 stars',"These sports shoes are a must-have for all those men out there who are fitness freaks. Lotto's high performance running shoes feature technology and trend for maximum comfort and style while jogging, running or gymming. The mesh fabric with a sturdy outsole come together for an amazing footwear experience."
'B072X3K8G1','PERFECT SHOES FOR WORKOUT','5.0 out of 5 stars','Whatever is mentioned has been delivered, very nice fitting and comfortable for workout. Will strongly suggest for the gym rats 😄😄'
'B072X3K8G1','Excellent','5.0 out of 5 stars','I like the quality and comfort of the shoe as well super light'
'B072X3K8G1','best under 600rs','4.0 out of 5 stars','I bought it for 600rs. Totally worthy it. very comfortable and light weight.'
'B072X3K8G1','Quality is Commendable!','5.0 out of 5 stars','Very good'
'B072X3K8G1','BEST','5.0 out of 5 stars','Very good value for money'
'B072X3K8G1','Comfort product','5.0 out of 5 stars','Item is very good as compare to money value.'
'B072X3K8G1','Feedback','4.0 out of 5 stars','Excellent and high comfort with low price deal'
'B072X3K8G1','Shoes','5.0 out of 5 stars','Very nice and light weight shoes'
'B072X3K8G1','Price','5.0 out of 5 stars','I really like the deal'
'B072X3K8G1','Excellent sports shoes','5.0 out of 5 stars','Budgeted sports shoes, nice grip and fitting'
'B072X3K8G1','Got used shoes','1.0 out of 5 stars','I received used and damaged shoes. Purchased because Lotto was on Rs600 offer. Better steer clear of cheap priced branded items.'
'B072X3K8G1','Okay','2.0 out of 5 stars','Okay'
'B072X3K8G1','Perfect shoes for giveaway price','5.0 out of 5 stars',"Lotto never disappoints, perfect size comfortable, style and quality, delivered next day. Can't get enough for Rs. 650.  Close your eyes and order your size."
'B072X3K8G1','Poor quality','2.0 out of 5 stars','Very bad'
'B072X3K8G1','Looks good but duarability has a doubt','3.0 out of 5 stars','Durability is bit a concern'
'B072X3K8G1','Good quality shoes.','4.0 out of 5 stars','The inner padding is not done properly.Apart from this I have zero concerns and would have rated 5.'
'B072X3K8G1','Defect shoe','1.0 out of 5 stars','Defect shoe for men'
'B072X3K8G1','Bad','1.0 out of 5 stars','Very bad product'
'B072X3K8G1','Not good','1.0 out of 5 stars','Very bad quality'
'B072X3K8G1','Good shoes','4.0 out of 5 stars','{"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"clientPrefix":"vse_reviews_desktop_r21tcs1ebuubec_1697116226885","closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"260-8587614-1909228","refMarkers":"vse_reviews_desktop_R21TCS1EBUUBEC_1697116226885_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"JQZFJG89MZH7S0SF79HP","customerId":"0","sessionType":1},"mimeType":"application/x-mpegURL","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R21TCS1EBUUBEC","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R21TCS1EBUUBEC_1697116226885_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"videoHeight":0,"videoWidth":0,"initialClosedCaptions":"en,https://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/6168295e-2460-43f1-88a6-ab9a05d546aa.vtt","videoUrl":"https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/ac5f5ee5-56f7-4771-b6b8-41c89bbeb52d/default.vertical.jobtemplate.hls.m3u8","metricsEmissionMethod":"sushi","awaConfig":{"useUpNextComponent":false,"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"initialVideo":"R21TCS1EBUUBEC","shouldPreload":true,"enableClickBasedAttribution":false,"isChromelessPlayer":false,"closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"isVideoImmersivePlayer":false,"metricsEmissionMethod":"sushi","skipInitialFocus":false,"playerSkin":"none","disabledViewIds":["replayHint"],"customerId":"0","containerId":"vse_reviews_desktop_r21tcs1ebuubec_1697116226885-player-8c441398-99e1-4c02-a336-985af1027e0f","requestMetadata":{"marketplaceId":"A21TJRUUN4KGV","clientId":"VSE-IN","method":"cr_inline_review","requestId":"JQZFJG89MZH7S0SF79HP","pageAsin":"","sessionId":"260-8587614-1909228"},"shouldLoop":false,"shouldDisableControls":false,"alwaysSetInitialVideo":true,"showPlayerCloseButton":false,"clientPrefix":"","useAutoplayFallback":false,"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"260-8587614-1909228","refMarkers":"vse_reviews_desktop_R21TCS1EBUUBEC_1697116226885_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"JQZFJG89MZH7S0SF79HP","customerId":"0","sessionType":1},"ospLinkCode":"","showPosterImage":true,"languageCode":"en","version":"","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R21TCS1EBUUBEC","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R21TCS1EBUUBEC_1697116226885_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"shouldStartMuted":false,"airyVersion":"VideoJS","languagePreferenceStrings":{},"enableInactiveFocus":true,"isReactFactory":false,"enableDelphiAttribution":false,"shouldAutoplay":false},"imageUrl":"https://m.media-amazon.com/images/I/51xBNYTpuYL._SY256._SY256.jpg","needPlayerFactory":false,"isMobile":false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live, currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off, selected Captions Captions off, selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. Shoes are lighter. Holds a good grip. Used it for first time & found good. The smell of freshness is there. The style is sober. Loved the way it is .'
'B072X3K8G1','Good','5.0 out of 5 stars','Fit'
'B072X3K8G1','Nice grip','4.0 out of 5 stars','Good product value of money'
'B072X3K8G1','🤮','1.0 out of 5 stars','The worst shoe you will ever buy and your fingers might hurt and blisters may form'
'B072X3K8G1','Product true to description','5.0 out of 5 stars','Good fit, light weight, value for money'
'B072X3K8G1','Worst shoes ever','1.0 out of 5 stars','One of the worst shoes ever. This shoes size also very different from other companies shoes.'
'B072X3K8G1','Good one','5.0 out of 5 stars','Lightweight and too comfy just loved it total black colour looking awesome best for running quality also appears to be good'
'B072X3K8G1','Comfortable','5.0 out of 5 stars','I like this shoe and it is very comfortable to wear.'
'B072X3K8G1','Can be better','4.0 out of 5 stars','Grip'
'B072X3K8G1','Bad','1.0 out of 5 stars','Not that confertable. While wearing it hurt. My nail look as they are stuck in shoe.'
'B072X3K8G1','Value for money','5.0 out of 5 stars','Good value for money. Shoes are really good for the money I paid.'
'B072X3K8G1','Nice Shoes','5.0 out of 5 stars','Shoes is very light weight and quality is very very good .'
'B072X3K8G1','Comfortable','4.0 out of 5 stars',"Light weight you can feel very comfortable but don't buy above 600 price. Because quality is sufficient for under 600"
'B072X3K8G1','Comfortable shoes','4.0 out of 5 stars','Light weight, comfortable.'
'B072X3K8G1','Good product','5.0 out of 5 stars','Very good quality'
'B072X3K8G1','Bought it 5 years ago','5.0 out of 5 stars','Bought this shoes 5 years ago, wanted something branded but cheap so got it around 650. Best purchase till this date, not a single sign of wear and tear but became a little tighter obviously as it was such old shoe. go for it blindly if you want something cheap , branded and reliable.'
'B072X3K8G1','Reasonable at this price Good Design','4.0 out of 5 stars',"The media could not be loaded. Good 👍 at this price, Quality is a bit low as didnt expected from lotto brands 👟 sole should have been more cushionable, but Grip is fine, Can run, walk long didn't feel pain in ankle. durable also and odor of sweats not smells after removing shoes....over all dont think you get a 🚶walking and 🏃 running shoes at this rate..so thums up....."
'B072X3K8G1','think before purchase','2.0 out of 5 stars','product is ok but not original piece may be 1st copy of original branded shoes'
