item,title,rating,body
'B073GR4ZH1','Coat','4.0 out of 5 stars','Smooth and light weight..'
'B073GR4ZH1','The quality of the cloth is not good ☹️','1.0 out of 5 stars','The quality of the cloth is not good, it did not arrive'
'B073GR4ZH1','Cloth','4.0 out of 5 stars','Good product'
'B073GR4ZH1','Supar and good','5.0 out of 5 stars','Supar'
'B073GR4ZH1','Good','5.0 out of 5 stars','Good'
'B073GR4ZH1','So so','3.0 out of 5 stars','Quality is just ok. Not as same as in pic.'
'B073GR4ZH1','Pacaging rapper was in dirty condition. Cloth sinning is not good.','2.0 out of 5 stars','Jacket waist sinning is very dull.'
'B073GR4ZH1','Perfect fit !','5.0 out of 5 stars','Bought sage green. size 38, fits perfectly. Go according to your actuall size. Good for casual wear and formal wear both.'
'B073GR4ZH1','Size','4.0 out of 5 stars','Product is good but short on shoulder'
'B073GR4ZH1','Great looks in these','3.0 out of 5 stars','Simply amazing as i can sayy, you should go forward to purchase that fabric.'
'B073GR4ZH1','Perfect...','5.0 out of 5 stars','Go for it... Just superb at this price...'
'B073GR4ZH1','Awesome Product in best price','5.0 out of 5 stars','Bought it for Christmas, excellent and perfect fit..'
'B073GR4ZH1','Finishing not good','3.0 out of 5 stars','Finishing not properly'
'B073GR4ZH1','कपड़े में गुणवत्ता नहीं है, विज्ञापन अनुसार कलर भी नहीं है','1.0 out of 5 stars','इस जैकेट का नाप बहुत सही था साइज एकदम फिट है'
'B073GR4ZH1','Fantastic','5.0 out of 5 stars',''
'B073GR4ZH1','Perfect piece to buy.','5.0 out of 5 stars','Good fit Gd fabric. Quality is also gd.'
'B073GR4ZH1','Awsome Quality','5.0 out of 5 stars','Liked It very much'
'B073GR4ZH1','Good and nice fabric','4.0 out of 5 stars','Good and nice'
'B073GR4ZH1','Good quality, value for money','4.0 out of 5 stars','Look good and perfect'
'B073GR4ZH1','Cloth quality can be improved little bit','4.0 out of 5 stars','Fitting is good'
'B073GR4ZH1',"Couldn't use",'1.0 out of 5 stars','Bad'
'B073GR4ZH1','Bad baf','3.0 out of 5 stars','Bad quality'
'B073GR4ZH1','Color or fitting','5.0 out of 5 stars','Very nice in this price'
'B073GR4ZH1','Worth for mony','4.0 out of 5 stars','Super'
'B073GR4ZH1','Quality is good but size issue','3.0 out of 5 stars','Fit issue with size'
'B073GR4ZH1','Nice','5.0 out of 5 stars','Ok'
'B073GR4ZH1','Half sleeve jacket fr corporate wear','5.0 out of 5 stars','Good product fr formal meetings'
'B073GR4ZH1','Perfect','5.0 out of 5 stars','Good'
'B073GR4ZH1','Different colour','3.0 out of 5 stars','Colour is not as shown in the picture , it is different.'
'B073GR4ZH1','Bad','2.0 out of 5 stars','Bad'
'B073GR4ZH1','It is perfect without any doubt','4.0 out of 5 stars','Waist coat is perfect and the pant is loose so we need to go for alterations definitely.'
'B073GR4ZH1','Best','4.0 out of 5 stars','Best products'
'B073GR4ZH1','Good','3.0 out of 5 stars','Good'
'B073GR4ZH1','Nice','5.0 out of 5 stars','I LIKE JACKET'
'B073GR4ZH1','Wast money','1.0 out of 5 stars','Not good. Wast money'
'B073GR4ZH1','Bad item','1.0 out of 5 stars','Bad product'
'B073GR4ZH1','Ist time I received item good product on amazon','5.0 out of 5 stars','Good product'
'B073GR4ZH1','Cool..','5.0 out of 5 stars','Cool...'
'B073GR4ZH1','Nice','5.0 out of 5 stars','Goooooooood'
'B073GR4ZH1','Excellent','5.0 out of 5 stars','Nice product'
'B073GR4ZH1','Good quality','4.0 out of 5 stars','Make sure shoulders are fit. Everything else can be customized. But short guys need to keep in mind the proportion before buying a long size. Tailoring is must it can really make you look more musculine and high status. Cost is approx 200rs.'
'B073GR4ZH1','Size Issue','3.0 out of 5 stars','Waist is small in size.'
'B073GR4ZH1','Good','5.0 out of 5 stars','Vety good product'
'B073GR4ZH1','good product','4.0 out of 5 stars','nice product'
'B073GR4ZH1','Good','5.0 out of 5 stars','Fabric is good at this price, waistcoat is a bit below waist.'
'B073GR4ZH1','Excellent','4.0 out of 5 stars','Excellent'
'B073GR4ZH1','Perfect as expected','4.0 out of 5 stars','Perfect fit n clothe is also good'
'B073GR4ZH1','Awesome product','5.0 out of 5 stars','Osm product'
'B073GR4ZH1','Nice..','4.0 out of 5 stars','Good but price high'
'B073GR4ZH1','Value for money','4.0 out of 5 stars','Good product'
