item,title,rating,body
'B074V6YWP8','Very bad in quality, not recommendable..','1.0 out of 5 stars',"Very bad in quality, don't buy it..."
'B074V6YWP8','Few blank pencils without the black thing','3.0 out of 5 stars','Few blank pencils without its black thing , which is required to write . It should not happen. Very bad.'
'B074V6YWP8','Recommended for purchase','4.0 out of 5 stars','Nice with valuable'
'B074V6YWP8','Excellent !','5.0 out of 5 stars','Superb !'
'B074V6YWP8','Ok','3.0 out of 5 stars','Ok'
'B074V6YWP8','Bekar','1.0 out of 5 stars','Aacha Sai nahi likhta hai'
'B074V6YWP8','Good quality','5.0 out of 5 stars',"Good quality. My children's all time favorite"
'B074V6YWP8','Not good for you','3.0 out of 5 stars','1 pencil kam ayi hai'
'B074V6YWP8','Worse product','2.0 out of 5 stars',"I regret buying these pencils coz after every single use it needs sharpening and while sharpening also it breaks n can't even sharpen without cursing🤬"
'B074V6YWP8','Good','5.0 out of 5 stars','Good'
'B074V6YWP8','👍👍','5.0 out of 5 stars','👍'
'B074V6YWP8','Duplicate products','1.0 out of 5 stars',"Poor product don't buy"
'B074V6YWP8','Poor','1.0 out of 5 stars',"Very poor pencils, don't purchase."
'B074V6YWP8','Pencils','2.0 out of 5 stars','Not bad not good . As its lead easily broke and need again n again to sharpen it'
'B074V6YWP8','Nice','4.0 out of 5 stars','Good product'
'B074V6YWP8','Just ok','1.0 out of 5 stars','Ok'
'B074V6YWP8','Worst','1.0 out of 5 stars',"Dislike the product, quality is worst ,it's break again and again ,not suggested to buy at all ..... ... ."
'B074V6YWP8','Good but less quantity received','4.0 out of 5 stars','Pencils are good quality price also good.but instead of 50, received only 48. though I reduced one star.'
'B074V6YWP8','Good for 100 rupees','4.0 out of 5 stars','If you got it uner 100 then go for it, otherwise go with else'
'B074V6YWP8','Value for money','5.0 out of 5 stars','Received on time. Had the same product and exact in numbers as mentioned.'
'B074V6YWP8','Value for Money','5.0 out of 5 stars','Good'
'B074V6YWP8','Very bad product.. The lead is broken in most of the pencils..','1.0 out of 5 stars','The worst part is that the return window is closed now... Most of the pencils had no lead.'
'B074V6YWP8','Value for money','5.0 out of 5 stars','Value for money'
'B074V6YWP8','Nice product','5.0 out of 5 stars','Thank you'
'B074V6YWP8','After opening found there are 46 no pencils available not 50.','4.0 out of 5 stars','After opening found there are 46 no pencils available not 50.'
'B074V6YWP8','Nice','5.0 out of 5 stars','Nice pencil'
'B074V6YWP8','Very very bed product bahout hi bekar👎','1.0 out of 5 stars','Very very bed product bahout hi bekar👎'
'B074V6YWP8','Very nice','5.0 out of 5 stars','Very good quality'
'B074V6YWP8','Excellent product','5.0 out of 5 stars','Good purchase'
'B074V6YWP8','Bad product..waste of money','1.0 out of 5 stars','Bad product..'
'B074V6YWP8','Nice','5.0 out of 5 stars','Nice'
'B074V6YWP8','Not worth buying','2.0 out of 5 stars','Most pencils nib keeps breaking while sharpening.The quality has deteriorated big time.'
'B074V6YWP8','The quality of the pencil sticks is a little bad, everything else is fine.','1.0 out of 5 stars','Poor quality'
'B074V6YWP8','Good','5.0 out of 5 stars','Good'
'B074V6YWP8','बढ़िया है टिकाऊ है','5.0 out of 5 stars','ठीक है'
'B074V6YWP8','Good','4.0 out of 5 stars',"OK it's good"
'B074V6YWP8','बहुत बड़िया','5.0 out of 5 stars','Kids happy😊'
'B074V6YWP8','Nyc','5.0 out of 5 stars','Good'
'B074V6YWP8','Pencil','4.0 out of 5 stars','Natraj Pe cil'
'B074V6YWP8','Good Product','5.0 out of 5 stars','works well'
'B074V6YWP8','Best products available for kidds','5.0 out of 5 stars','Valuyfor money and best for kids, natraj is sadabahar'
'B074V6YWP8','Nice..','5.0 out of 5 stars','Nice..'
'B074V6YWP8','Package opened pieces removed','1.0 out of 5 stars','Bought a jar of 50 pencils but delivered the jar with only 40 pencils'
'B074V6YWP8','Lost of 15 pencil','1.0 out of 5 stars','Lost 15 pencil ✏️ return krna h muje ye'
'B074V6YWP8','Super','5.0 out of 5 stars','I like it very much'
'B074V6YWP8','Jldi tut jati h','4.0 out of 5 stars','Pencil jldi tut jati h. Bar bar chhilne se khtm ho jati h.'
'B074V6YWP8','Great buy','5.0 out of 5 stars','Very affordable pricing'
'B074V6YWP8','Very worst quality leads','1.0 out of 5 stars','Very worst quality leads, when you sharpen the pencil, the lead usually breaks and you have to sharpen it again and again..... One of the worst quality of pencils I have received.'
'B074V6YWP8','Got at good price','5.0 out of 5 stars','Good'
'B074V6YWP8','50 pcs Pencil','3.0 out of 5 stars','If you have to save money and time then you have to buy 50 pencil together.'
