item,title,rating,body
'B076BML12K','Super super super quality worth to buy love it','5.0 out of 5 stars','{"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"clientPrefix":"vse_reviews_desktop_r3o111gsfqexa1_1697139669837","closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"261-4712405-5193332","refMarkers":"vse_reviews_desktop_R3O111GSFQEXA1_1697139669837_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"S8VXGPDJS585E4GMGJM3","customerId":"0","sessionType":1},"mimeType":"application/x-mpegURL","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R3O111GSFQEXA1","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R3O111GSFQEXA1_1697139669837_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"videoHeight":0,"videoWidth":0,"videoUrl":"https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/00d086bf-0349-4229-9d7c-13289b539850/default.vertical.jobtemplate.hls.m3u8","metricsEmissionMethod":"sushi","awaConfig":{"useUpNextComponent":false,"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"initialVideo":"R3O111GSFQEXA1","shouldPreload":true,"enableClickBasedAttribution":false,"isChromelessPlayer":false,"closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"isVideoImmersivePlayer":false,"metricsEmissionMethod":"sushi","skipInitialFocus":false,"playerSkin":"none","disabledViewIds":["replayHint"],"customerId":"0","containerId":"vse_reviews_desktop_r3o111gsfqexa1_1697139669837-player-06068185-0f9c-4abb-871a-06dcdf025a6b","requestMetadata":{"marketplaceId":"A21TJRUUN4KGV","clientId":"VSE-IN","method":"cr_inline_review","requestId":"S8VXGPDJS585E4GMGJM3","pageAsin":"","sessionId":"261-4712405-5193332"},"shouldLoop":false,"shouldDisableControls":false,"alwaysSetInitialVideo":true,"showPlayerCloseButton":false,"clientPrefix":"","useAutoplayFallback":false,"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"261-4712405-5193332","refMarkers":"vse_reviews_desktop_R3O111GSFQEXA1_1697139669837_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"S8VXGPDJS585E4GMGJM3","customerId":"0","sessionType":1},"ospLinkCode":"","showPosterImage":true,"languageCode":"en","version":"","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R3O111GSFQEXA1","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R3O111GSFQEXA1_1697139669837_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"shouldStartMuted":false,"airyVersion":"VideoJS","languagePreferenceStrings":{},"enableInactiveFocus":true,"isReactFactory":false,"enableDelphiAttribution":false,"shouldAutoplay":false},"imageUrl":"https://m.media-amazon.com/images/I/51JZDvbKiML._SY256._SY256.jpg","needPlayerFactory":false,"isMobile":false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live, currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off, selected Captions Captions off, selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media.'
'B076BML12K','Not good','1.0 out of 5 stars','Silai ht gyi'
'B076BML12K','Good but no quality','3.0 out of 5 stars','Good but not quality'
'B076BML12K','Nice product','4.0 out of 5 stars','Nice one. Worthful for money'
'B076BML12K','Product was too bad','1.0 out of 5 stars','The size and quality is not good'
'B076BML12K','Beautiful','5.0 out of 5 stars',"Beautiful quilt with beautiful design same as shown in picture. Bought for a kid's birthday gift and he loved it. Very soft material and bright colour"
'B076BML12K','One more purchase','5.0 out of 5 stars',"This is my second blanket from solimo. We loved it's material and softness. One more thing I want to share is I can wash it in washing machine. There was no colour fed or shrinkage. Thank you Amazon"
'B076BML12K','Comfortable','5.0 out of 5 stars','Very nice..'
'B076BML12K','Super','5.0 out of 5 stars','Definite try'
'B076BML12K','Value for money.','5.0 out of 5 stars','Best Buy'
'B076BML12K','Amazing product!!','5.0 out of 5 stars','Beautiful product👌Totally worth the price.'
'B076BML12K','I like it','5.0 out of 5 stars','Very beautiful go for it..'
'B076BML12K','Most amazing comforter','5.0 out of 5 stars','I love this comforter which is very big for a king size bed. it is soft and comfortable.'
'B076BML12K','Very cozy and serves the purpose','4.0 out of 5 stars',"Been using it for over a year now. I feel it's worth at it's price"
'B076BML12K','Waste','2.0 out of 5 stars','The comforter is only soft on the outside where the print is, the inside lining is completely made of polyester, not suitable for babies or kids'
'B076BML12K','Highly recommended','5.0 out of 5 stars','Too good. Value for money. Soft and so comfortable. Go for it.'
'B076BML12K','Nice product my kids loved it','4.0 out of 5 stars',"The media could not be loaded. Very nice for the price and it's big enough 🙂"
'B076BML12K','Superb quality','5.0 out of 5 stars','Very soft and comfortable.'
'B076BML12K','Very good and cute, overall good.','4.0 out of 5 stars','PROS: Lightweight, easily adjustable in anywhere, easy to wash, dries very quickly after wash, Soft and comfortable, two adult persons can easily use this together, print is nice, overall value for money.  CONS: Fabric quality is not upto the mark it can be better, it get little ripped up after washing.'
'B076BML12K','quilt','5.0 out of 5 stars','best product super soft, superb fabric and quality .'
'B076BML12K','Good comforter','5.0 out of 5 stars','Solimo provides good product.like the product, useful'
'B076BML12K','Nice','5.0 out of 5 stars','This product is very good also purchased 1more again'
'B076BML12K','Excellent blanket in price range!','5.0 out of 5 stars','The blanket is really good in that price range. It has perfect size and is really soft. Best for normal use.  Note that this blanket is not ideal for cold temperatures'
