item,title,rating,body
'B07DMY724M','Value for money','4.0 out of 5 stars',"Only problem for me is that it doesn't have a pocket"
'B07DMY724M','Hated it.','1.0 out of 5 stars','Too bad color is different. Cloth is also not satisfactory . Overall i disliked it.'
'B07DMY724M','Good buy','5.0 out of 5 stars','Decent buy.'
'B07DMY724M','excellent','5.0 out of 5 stars',"it's nice"
'B07DMY724M','Very nice','4.0 out of 5 stars','Good productd'
'B07DMY724M','Fabric','5.0 out of 5 stars','Excellent'
'B07DMY724M','Cloth quality is good','4.0 out of 5 stars','Nice shirt'
'B07DMY724M','Sharts','4.0 out of 5 stars','Good quality'
'B07DMY724M','Good hai shirt OR fabric','5.0 out of 5 stars','Fabric good'
'B07DMY724M','Not comfort','3.0 out of 5 stars',"i've returned this shirt because of quality and not comfortable while wearing, while buying the shirt iam so excited because a brand like allen solly is a dream like for any men. But i didn't like at all the shirt because the colour was so dull that no one will accept to take it out in any party."
'B07DMY724M','Worst','1.0 out of 5 stars','One of the duplicate product'
'B07DMY724M','Not to good as aspected','2.0 out of 5 stars','Proudct in not good fade colour after one wash quality is too poor as like local brand You buy own risk'
'B07DMY724M','Cloth very good but colour doull','3.0 out of 5 stars','Very good product I Am happy to Allen Solly brand cloth very good quality nice but colour doull this product'
'B07DMY724M','Disappointed 😞','1.0 out of 5 stars','Bought this shirt specially for wearing in an interview. But when it was delivered it has a yellow mark on it. I thought, after washing this mark will go, but even after multiple washing the mark is still their. It is really embarrassing to wear this in public 😭'
'B07DMY724M','J','4.0 out of 5 stars','U'
'B07DMY724M','Worst','1.0 out of 5 stars','Colour was faded'
'B07DMY724M','Very Poor Quality','1.0 out of 5 stars','The item is received in damage condition due to improper packaging and the quality is very poor. When I have received received Allen solly shirts from their store the quality was best but when I received from Amazon the quality is poor'
'B07DMY724M','Pathetic in quality','1.0 out of 5 stars',"Please don't buy this it is not good in quality"
'B07DMY724M','Quality of cloth','5.0 out of 5 stars','Overall the product is good.'
'B07DMY724M','Perfect','5.0 out of 5 stars','Perfect size & awesome 👌'
'B07DMY724M','Nice product.','5.0 out of 5 stars','Good material. After wash, no color change. Ordered XL, Size is perfectly fitting.'
'B07DMY724M','Good its worth buy','4.0 out of 5 stars','Nice product and febric also good'
'B07DMY724M','Good 👕shirt','4.0 out of 5 stars','Very good'
'B07DMY724M','Nice shirt','4.0 out of 5 stars','Cloth is fine.'
'B07DMY724M',"Don't skip this shirt.",'5.0 out of 5 stars','Febric, fitting, shape, quality, all in all it is a great product'
'B07DMY724M','Product is good but the packaging is worst','4.0 out of 5 stars',"The shirt is of great quality whereas the packaging of it is so worst that one feels that it's worn out. I wanted to gift it to someone but now worried."
'B07DMY724M','👍🏻','5.0 out of 5 stars','Good! Fits well'
'B07DMY724M','Not Original','1.0 out of 5 stars','The product that i received is not original'
'B07DMY724M','Awesome ❤️\u200d🩹😻','5.0 out of 5 stars','Wow 🤩 nice product'
'B07DMY724M','Damaged oil stained','1.0 out of 5 stars',"I received this package today Not happy with that as it has oil stains /damaged one . Requested for replacement but don't know will they give me new one or not. Overall experience very bad"
'B07DMY724M','Good','3.0 out of 5 stars','Good product value for money 🤑'
'B07DMY724M','super shirt','5.0 out of 5 stars','super quality'
'B07DMY724M','Shirt','5.0 out of 5 stars','Good'
'B07DMY724M','size 39','5.0 out of 5 stars','I ordered this for my brother for his birthday gift and he really liked it quality is very good fabric is cotton as mentioned comfortable to wear also very classy'
'B07DMY724M','Too transparent','3.0 out of 5 stars','Should have a thicker material'
'B07DMY724M','Awesome','5.0 out of 5 stars','Fantastic product'
'B07DMY724M','Cheap quality','1.0 out of 5 stars',"Cheap quality poor product don't buy Amazon product shirt value 200rs only waste product s in Amazon online shopping all"
'B07DMY724M','Comfortable','5.0 out of 5 stars','Dad liked it'
'B07DMY724M','Bad Product. Seller did not pick up the return.','1.0 out of 5 stars','Bad Product. The seller did not pick up the return.'
'B07DMY724M','Not as shown in the pictures','1.0 out of 5 stars','Size and product quality and material is not as shown in the pic'
'B07DMY724M','Best quality products','5.0 out of 5 stars','Today I have received 2ndproducts of Parx. I have used 1 shirts from last 1 months before and after washing the products is same quality as same as first time. I have two colours like black and maroon. Best product with best quality and price. Thank you so much 🙏 😊 Amazon. Thank you so much 😊🙏 Parx  Thanks Manoj Kumar Kolkata'
'B07DMY724M','Actual size is small','1.0 out of 5 stars','Actual size is small'
'B07DMY724M','Very thin fabric','2.0 out of 5 stars',"It's not cotton but linen, very light fabric. Gets wrinkles very easily, and also seems partially transparent. Comfortable in summer. You can buy if you want to go with the brand tag."
'B07DMY724M','For single usage only!','1.0 out of 5 stars','Worst quality'
'B07DMY724M','Best brand','4.0 out of 5 stars','I like colour it just using for haldi function'
'B07DMY724M','Colour difference','3.0 out of 5 stars','In display shows light colour but recvd shirt Dark colour. Quality ok…'
'B07DMY724M','GOOD','5.0 out of 5 stars','Good'
'B07DMY724M','Perfect fitting 😄👌','5.0 out of 5 stars','Nice shirt and perfect fitting 😀 very nice i ordered and 😊 happy to buy this, thanks allen solly and Amazon'
'B07DMY724M','shirt','5.0 out of 5 stars','good'
'B07DMY724M','So 👍 nice','5.0 out of 5 stars',"It's very nice and comfortable, perfectly alright."
