item,title,rating,body
'B07FWC1NF1','The rod is not good','1.0 out of 5 stars',"The rod is not good , it doesn't rotate on spining side. The lock button is broken in few days ...not good"
'B07FWC1NF1','Value of money','5.0 out of 5 stars','Good product'
'B07FWC1NF1','Bad worst quality','1.0 out of 5 stars','Quality'
'B07FWC1NF1','Poor quality','1.0 out of 5 stars','Handle broken in just 3days. Do not buy this product. Not worth for money. Product quality is very very low.'
'B07FWC1NF1','Refill missing','3.0 out of 5 stars',''
'B07FWC1NF1','Average quality','3.0 out of 5 stars','Quality of this mop is average, within few days of use it stopped working properly, better to buy some other quality product'
'B07FWC1NF1','Handle was broken within one week','1.0 out of 5 stars','Worst product'
'B07FWC1NF1','Worth the money !','4.0 out of 5 stars','It was a new brand (apart from gala) so we were sceptic initially but when it arrived and we used it for the first time, it was amazing, long handle is the only advantage maybe, because you have to put the same amount of pressure as cleaning with hand, and the handle lock feature is also not very useful since you have to constantly unlock the handle in order to spin the mop, they should really include another set of microfiber head, overall good quality and highly recommended 👍'
'B07FWC1NF1','Bad','1.0 out of 5 stars','Bad'
'B07FWC1NF1','Bad quality','2.0 out of 5 stars','The product arrived damaged. Waste of money.'
'B07FWC1NF1','Convenient','5.0 out of 5 stars','Works well. Very convenient to use.'
'B07FWC1NF1','Poor handle quality','3.0 out of 5 stars','The product is good, but the handle is of very poor quality. Within use of one week, it got damaged now I have to purchase a new one'
'B07FWC1NF1',"It's not worth",'1.0 out of 5 stars','Pls refund'
'B07FWC1NF1','Bad product','1.0 out of 5 stars','Money and time waste product'
'B07FWC1NF1','Use full very nice','5.0 out of 5 stars','I like very much this product...'
'B07FWC1NF1','gnikrow ton si kcoL','1.0 out of 5 stars','Product is defective and the lock is not working and the replacemet requested, when the product reaches chandigarh, the delivery not initiated and false note mention that "the receipient refused to take the delivery," this is very horrible erxperience. Neither customer care number working I dont know howvi contact and make complaint to erring persons.'
'B07FWC1NF1','Item is defective hence not required','3.0 out of 5 stars','Since the item was not up to mark hence not used. And not required anu more'
'B07FWC1NF1','Mop','4.0 out of 5 stars','Good quality'
'B07FWC1NF1','The most easy to use mop in the world at this cost','5.0 out of 5 stars','The internet viral product is here . The most easy to use mop in the world with a spinner and a water bucket . The mops quality is very good and everyone should have it at their homes . This can reduce back pain and neck pains womens are suffering from .'
'B07FWC1NF1','Very good','5.0 out of 5 stars','Value of money'
'B07FWC1NF1','Broken','1.0 out of 5 stars','Broken handel & worst quality of mop.. not value for money'
'B07FWC1NF1','Poor quality','1.0 out of 5 stars','Quality not good'
'B07FWC1NF1','Ok product','3.0 out of 5 stars','Looks very fragile and gives the feeling it may not last for long..spinning wheels are made of thin plastic and overall product is very light'
'B07FWC1NF1','Good mopper','5.0 out of 5 stars','Good mopper'
'B07FWC1NF1','Easy to use & clean- Good product','4.0 out of 5 stars','Easy to use & clean- Good product'
'B07FWC1NF1','Perfect','5.0 out of 5 stars','The media could not be loaded. Quality is amazing and price is affordable just go for it. plastic quality is good it is super easy to use.'
'B07FWC1NF1','Most defective product','1.0 out of 5 stars','I get a damage product'
'B07FWC1NF1','Buscet quality is very poor','3.0 out of 5 stars','There is no wheel on buckets'
'B07FWC1NF1','Value for money','5.0 out of 5 stars','I think this is value for money but cheap quality plastic is not good but good product as compared to price.'
'B07FWC1NF1','Purchass','4.0 out of 5 stars','Good'
'B07FWC1NF1','Total waste of money','2.0 out of 5 stars',"Firstly, the product looked very sturdy but then i realised that the mop does not function properly. It's not even 180 degrees rotating and it is broken"
'B07FWC1NF1','Nice','5.0 out of 5 stars','Good'
'B07FWC1NF1','Purpose severed','4.0 out of 5 stars','The product is good to use. The bucket is very fragile. Quality can be improved for the cost that we are paying.'
'B07FWC1NF1','Good','5.0 out of 5 stars','Worth to buy at this price'
'B07FWC1NF1','Not durable','1.0 out of 5 stars','Within a month rod broken'
'B07FWC1NF1','Worst product','1.0 out of 5 stars',"Very worst product don't buy"
'B07FWC1NF1','Quality is Very Very Good.','5.0 out of 5 stars','Very intelligent choice for mopping your floor quickly. Everybody must try this for the sake of convenience.'
'B07FWC1NF1','Product','5.0 out of 5 stars','Good Product, value for Money'
'B07FWC1NF1','NEED ASSEBLE INSTRUCTION','5.0 out of 5 stars','LIKE'
'B07FWC1NF1','Nice looking product','4.0 out of 5 stars','It is good product to have in home. However, quality and durability of the product can not judge now.'
'B07FWC1NF1','Not Bad','3.0 out of 5 stars','Quality could have been better.'
'B07FWC1NF1','Worst product','1.0 out of 5 stars','Not as per description totally made of weak fiber'
'B07FWC1NF1','Very bad','1.0 out of 5 stars','Low quality and not useful'
'B07FWC1NF1','Nothing','5.0 out of 5 stars','Good'
'B07FWC1NF1','Poor performance','1.0 out of 5 stars','Poor quality..'
'B07FWC1NF1','Not durable at all','1.0 out of 5 stars','It not durable, I bought it before 1month and bucket handle is broken while picking up the bucket. I suggest not to go with this product.'
'B07FWC1NF1','Nice','5.0 out of 5 stars','Good'
'B07FWC1NF1','Good quality product','5.0 out of 5 stars','Worthy product at this price. Mopping is excellent cleans well and dries well.'
'B07FWC1NF1','Bad spin mechanism','1.0 out of 5 stars','Very bad design. Not only this company but others also. I have tried 6 or 7 products so far. The spinning mechanism fails in a short period.'
'B07FWC1NF1','Not as expected','1.0 out of 5 stars',"Not that great product waste of money ..please don't buy"
