item,title,rating,body
'B07FZFY8C6','Very flimsy lock','1.0 out of 5 stars','Lock broken after one travel. Very flimsy ..'
'B07FZFY8C6','brand','5.0 out of 5 stars','Color is attractive'
'B07FZFY8C6','Help','1.0 out of 5 stars','Good quality'
'B07FZFY8C6','Recieved used product','3.0 out of 5 stars','There were marks and signs and few chains were broken too'
'B07FZFY8C6','Excellent Bag','5.0 out of 5 stars','Safari is good brand and this is very good quality product with 4 wheels and proper chains , cover'
'B07FZFY8C6','Super purchase','5.0 out of 5 stars','Good design, strong and easy to travel with.'
'B07FZFY8C6','Trolley bag','4.0 out of 5 stars','Good product'
'B07FZFY8C6','Quality and finishing','5.0 out of 5 stars','This is amazing bag really good quality'
'B07FZFY8C6','Very Nice Product','5.0 out of 5 stars','Very super quality I am very happy'
'B07FZFY8C6','Nicelooking','3.0 out of 5 stars','अच्छा सिखाता है. है मज़बूत है लेकिन या भी मज़बूत हो सकता है अगर हैंडल प्रति रिबिट लग दी जाए तो। इसके अलावा मुझे जो कमी दिखी वो हिया इसका तिरछापन। खड़ा करने पर पीछे की ओर झुका जाता है इसली रिटर्न मार। दिया है बाकी प्योर 100% ओरिजिनल है .ओरिजनल की पहचान यहीं है इसके हैंडल पर, बैग पर अंदर बाहर सफारी लिखा होता है क्लियर .अंदर कपड़े पर टैग स्टिच होता है अंदर ट्रॉली या फिनिश जरूर चेक करें'
'B07FZFY8C6','Handle not working. Low quality trolly used.','1.0 out of 5 stars','Bag colour and design good. Handle not working. Low quality trolly used. Being a reputed company this kind of quality not ACCEPTABLE.'
'B07FZFY8C6','Good','4.0 out of 5 stars','Good'
'B07FZFY8C6',"Minimum for 2 to 3 people's cloth",'5.0 out of 5 stars',"It is big enough for 2 or 3 people's cloth. But if you travel alone mostly then bring the smaller size of this."
'B07FZFY8C6','Very good quality','5.0 out of 5 stars','Very good quality and design'
'B07FZFY8C6','Good product','5.0 out of 5 stars','Good product'
'B07FZFY8C6','Nice Product','5.0 out of 5 stars','Value for money'
'B07FZFY8C6','Nice bag','5.0 out of 5 stars','Awesome product'
'B07FZFY8C6','Good Quality product','5.0 out of 5 stars','Nice one'
'B07FZFY8C6','Good Product!!','4.0 out of 5 stars','One can go for this item without a second thought.  Good in workmanship Good in finish Good in durability.'
'B07FZFY8C6','Quality','4.0 out of 5 stars','Quality is good.'
'B07FZFY8C6','Average','1.0 out of 5 stars','Good'
'B07FZFY8C6','Very very worst quality..','1.0 out of 5 stars','Very very worst quality....pls do not buy..this not happy with Amazon that that are keeping name of Safari but this not look like safari..I am not able use as trolly as handle not going in...'
'B07FZFY8C6','Nice','4.0 out of 5 stars','Nice'
'B07FZFY8C6','very good','5.0 out of 5 stars','comfortable bag'
'B07FZFY8C6','Best quality','5.0 out of 5 stars','Quality and looking is good'
'B07FZFY8C6','Perfect size','5.0 out of 5 stars','Goog bag, sturdy. Perfect medium size- not too big not too small. Chains are very smooth.'
'B07FZFY8C6','👍','5.0 out of 5 stars','Good product'
'B07FZFY8C6','Super','5.0 out of 5 stars','It is good quality'
'B07FZFY8C6','Fine','5.0 out of 5 stars','Everything'
'B07FZFY8C6','Bag is very good and light wate','5.0 out of 5 stars','Good'
'B07FZFY8C6','Good','5.0 out of 5 stars','Very nice product'
'B07FZFY8C6','Not good quality','2.0 out of 5 stars','Avoid if you are looking for a long lasting and sturdy product. You get what you pay for. Overall a bad buy. Within first few uses can see seam ripping apart. Will suggest you to spend bit more or buy offline'
'B07FZFY8C6','Best quality','5.0 out of 5 stars','Only one thing I want to say. Perfect size, best quality. I love Safari...'
'B07FZFY8C6','Quality','5.0 out of 5 stars','Product quality is good but only one thing is that size is small compair to prize. Overall is very good..'
'B07FZFY8C6','Purchase power','1.0 out of 5 stars','Old is gold. Not equal to old this down quality.'
'B07FZFY8C6','So good','4.0 out of 5 stars','Good fabric, comfortable, good product'
'B07FZFY8C6','Genuine Product','5.0 out of 5 stars','Received exact what I ordered and expected! Great quality, genuine product, true colour. Justice to it’s description.'
'B07FZFY8C6','Quality not as expected ,wrong size','2.0 out of 5 stars','Size is wrong , high price for smaller size , not worth , you will get better product for similar price'
'B07FZFY8C6','Price','3.0 out of 5 stars','Good product as in this price range. (₹2900)'
'B07FZFY8C6','Value for money... Good storage space...','4.0 out of 5 stars','Bag is good.... Although I found its two chain nob broken.... But it can repair by myself so I decided to keep this bag instead of return.....i love the colour most..... Overall value for money.....'
'B07FZFY8C6','Small size. Average product','3.0 out of 5 stars','Small size. Quality not so good. Average product.'
'B07FZFY8C6','satisfied product with low budget','4.0 out of 5 stars','Light weight, good quality'
'B07FZFY8C6','After attending 1 flight the trolly has damaged','1.0 out of 5 stars','Weight is light but strength is very poor.'
'B07FZFY8C6','Please improve built quality','4.0 out of 5 stars','Try to take different materials'
'B07FZFY8C6','Very useful to travel','5.0 out of 5 stars','Very much useful.'
'B07FZFY8C6','Overall Good','4.0 out of 5 stars','Good'
'B07FZFY8C6','Product is good 👍','5.0 out of 5 stars','Trolley bag is light weight and easy for traveling'
'B07FZFY8C6','Very nice good product value for money','5.0 out of 5 stars','Very comfortable and moving very smooth'
'B07FZFY8C6','Misleading information showing about size','1.0 out of 5 stars','Misleading information showing about size while ordering and on delivery got smaller size'
'B07FZFY8C6','Value For Miny','4.0 out of 5 stars','Thin product'
