item,title,rating,body
'B07GRKC5SS','Broken','1.0 out of 5 stars','I received this broken POOR QUALITY Never buying again'
'B07GRKC5SS','Sturdy and Durable.','5.0 out of 5 stars','Using it for our bathroom. Nice, sturdy and durable. Been using it for a while now. No cracks have formed on the bucket.'
'B07GRKC5SS','worth for money','5.0 out of 5 stars','super product. worth for money.'
'B07GRKC5SS','Best for students','4.0 out of 5 stars','Good quality'
'B07GRKC5SS','Not worth for this price range. Easy to be cheated online with fancy images.','1.0 out of 5 stars',"At one place it is mentioned as 16L whereas in the detailed description it is mentioned as 20L. I didn't see the 16L before buying. The plastic is too thin and hence cannot be sturdy or durable. The tax is 60 rupees for the price of 300 rupees (I bought two pieces of this item). Better spend some time and buy locally. Don't be fooled."
'B07GRKC5SS','Best product under 199','5.0 out of 5 stars','Build Quality is average. Doing his work perfectly,avoid hot water.'
'B07GRKC5SS','donot buy..defective product with no replacement','1.0 out of 5 stars',''
'B07GRKC5SS','Value for money','5.0 out of 5 stars','Product is very useful , light weight , value for money.  I bought this bucket at 192 rupees.  And I am very happy from my purchase.'
'B07GRKC5SS','Good.','4.0 out of 5 stars','Good product'
'B07GRKC5SS','Product is deliver very well but very sad to say that it has broken handle.','3.0 out of 5 stars',''
'B07GRKC5SS','A bucket is a bucket','5.0 out of 5 stars',"Can't complain. It does the job and I like the colour."
'B07GRKC5SS','Product was broken and they are not taking it back','1.0 out of 5 stars','Product was broken and they are not taking it back.'
'B07GRKC5SS','strong','5.0 out of 5 stars','Strong bucket'
'B07GRKC5SS','Quality is 100%ok but colour is different','5.0 out of 5 stars',"The bucket didn't come in same colour it's dark green"
'B07GRKC5SS',"It's worth for money",'5.0 out of 5 stars','Good product, size is exactly the same as mentioned above, fulfilled our needs.'
'B07GRKC5SS','OK ish product.','4.0 out of 5 stars','Received a damage product hence returned it.'
'B07GRKC5SS','Very good product','4.0 out of 5 stars','Nice colour. Good product'
'B07GRKC5SS','Product Not Like the Image','3.0 out of 5 stars',"Product delivered is a plain single colour bucket and not as per image. Doesn't feel sturdy at all."
'B07GRKC5SS','Best','4.0 out of 5 stars','Good quality, long lasting'
'B07GRKC5SS','Quality','5.0 out of 5 stars','Good'
'B07GRKC5SS','Worst product ever.','1.0 out of 5 stars',"Worst product ever. Please don't buy it. Product delivered in broken condition and the vendor refused to even replace it. Stay away from this vendor and product"
'B07GRKC5SS','Amazing','5.0 out of 5 stars','very nice'
'B07GRKC5SS','Not the expected color','3.0 out of 5 stars',''
'B07GRKC5SS','Dirty, old and broken bucket sent','1.0 out of 5 stars',"Dirty, old and broken bucket sent. It was like a joke. Check the pic's"
'B07GRKC5SS','Colour came different','1.0 out of 5 stars',"Not such a great product. I got it only for the colour which I didn't get. Plus it's a little overpriced"
'B07GRKC5SS','Broke in less than 2 months','2.0 out of 5 stars','Not long lasting'
'B07GRKC5SS','Pathetic QUALITY','1.0 out of 5 stars','Really pathetic quality of bucket'
'B07GRKC5SS','Color issue','3.0 out of 5 stars','Different colour delivered'
'B07GRKC5SS','Got the different product','1.0 out of 5 stars','Was supposed to get multi colour,but it was not as shown in picture'
'B07GRKC5SS','Decent product','4.0 out of 5 stars','The bucket is standard enough for daily usage happy with the purchase. Its built quality seems alright whereas no embossed of company, quality, grade found in bucket.'
'B07GRKC5SS',"Don't waste your money.",'1.0 out of 5 stars','Worst quality product'
'B07GRKC5SS','Can Buy without doubts.','5.0 out of 5 stars','The bucket is good and can be brought'
'B07GRKC5SS',"It's very good product.",'5.0 out of 5 stars','The quantity and product is good.'
'B07GRKC5SS','Quality can be improvised','1.0 out of 5 stars','Quality not satisfied'
'B07GRKC5SS','Best bucket','5.0 out of 5 stars','Best bucket ever'
'B07GRKC5SS','Good','5.0 out of 5 stars','Good'
'B07GRKC5SS','Check with the perfect size','1.0 out of 5 stars','Expected to be big in size but it was very small to use for bath'
'B07GRKC5SS','Cheap quality','2.0 out of 5 stars',"The whole bucket was covered with a layer of dust. It Didn't look like a new one. A bit smaller than what i expected. Quality was not upto the mark. Had to return it"
'B07GRKC5SS','Amazon discription shows flourescent green colour, got a pale green. Colour not as per Amazon pic','3.0 out of 5 stars',''
'B07GRKC5SS','Good','5.0 out of 5 stars','Good item'
'B07GRKC5SS','Cheap plastic','1.0 out of 5 stars','Cheap plastic Will break soon after buying'
'B07GRKC5SS','Disguusing','3.0 out of 5 stars','Color is completely different, seller should not disguise Quality seems ok'
'B07GRKC5SS','Little costly compared to other product.','5.0 out of 5 stars','Good product'
'B07GRKC5SS','Not satisfied','1.0 out of 5 stars','Not the same as shown in the picture, not worth it , the colour is not the one I ordered'
'B07GRKC5SS','Cheap product quality','2.0 out of 5 stars','Not good quality'
'B07GRKC5SS','Good product . Wrong capacity mentioned in description','4.0 out of 5 stars','The product delivered was 16L . But other than that there is no issue with the product.  Product looks good and it is sturdy'
'B07GRKC5SS',"It's not 20L, it's 13L",'2.0 out of 5 stars','Size is not shown as in the picture'
'B07GRKC5SS','Go for it','5.0 out of 5 stars','Too good and nice quality'
'B07GRKC5SS','Good and sturdy','5.0 out of 5 stars','Very good quality. Value for money. Sturdy.'
'B07GRKC5SS','Product','4.0 out of 5 stars','Good product'
