item,title,rating,body
'B07H61MZTC','Santoor shop','1.0 out of 5 stars','Very bad product dont buy'
'B07H61MZTC','Good','4.0 out of 5 stars','Good'
'B07H61MZTC','It sllipary when contact water If soaps are squre shape easy to hold','4.0 out of 5 stars','Moisture refreshing quality best'
'B07H61MZTC','Not good','2.0 out of 5 stars','Not good product'
'B07H61MZTC','This is not original 🚫 product','1.0 out of 5 stars',"Fake product don't use and buy"
'B07H61MZTC','GOOD AND GENUINE','5.0 out of 5 stars','GOOD PRODUCT'
'B07H61MZTC','Santoor glycerin soap','1.0 out of 5 stars',"It's not a good product at all..The soap Haa typical smell. It also melts and starts breaking off very soon."
'B07H61MZTC','Good shope with nice Frangnace','5.0 out of 5 stars','Thanks santoor for provided good product of this sope and thanks Amazon for providing best offer .'
'B07H61MZTC','Good','5.0 out of 5 stars','Good'
'B07H61MZTC','Costly high price','1.0 out of 5 stars','Itna me dusra brand ham purchase kar lenge high price'
'B07H61MZTC','Good soap','5.0 out of 5 stars','Offer price is too good'
'B07H61MZTC','Good quality','5.0 out of 5 stars','Good quality'
'B07H61MZTC','super nice quality','5.0 out of 5 stars','very nice product i suggest to all to use this also in this price its good.. . . . .'
'B07H61MZTC','Good','4.0 out of 5 stars',"After pears it's the best product.......also in offers it becomes very cheap @ 30/- 125 gm"
'B07H61MZTC','Good','4.0 out of 5 stars','Using from long time as it is cheap . But dove is far more better but costly too'
'B07H61MZTC','Very Nice Soaps.','5.0 out of 5 stars','Really Very Nice Soaps.'
'B07H61MZTC','Quality','5.0 out of 5 stars','Top quality product.'
'B07H61MZTC','Good soap','5.0 out of 5 stars','Best one.ok'
'B07H61MZTC','अंसपेटिक','2.0 out of 5 stars','अजीब खट्टी अल्कोहलिक बदबू आती है'
'B07H61MZTC','Good','5.0 out of 5 stars','Good one'
'B07H61MZTC','Fragrance is not good','1.0 out of 5 stars','Fragrance is not good. It feels like we eat gutka (Rajdarbar)'
'B07H61MZTC','So -so','2.0 out of 5 stars','Not much good'
'B07H61MZTC','Soap','5.0 out of 5 stars','Nice soap'
'B07H61MZTC','Nice','4.0 out of 5 stars',"Very nice fragrance and quality it's helpful in control of oil and dirt"
'B07H61MZTC','Nice soap.','5.0 out of 5 stars','Fragrance and soap quality is good.'
