item,title,rating,body
'B07K1K7JQ4','Good quality','5.0 out of 5 stars','Good quality meterial'
'B07K1K7JQ4',"It's texture",'5.0 out of 5 stars','See..this product is a befitting one for a slim body get up .... The fabric , and colour are appealing .. Just go for it ...'
'B07K1K7JQ4','Good','4.0 out of 5 stars','Perfectly fits'
'B07K1K7JQ4','Good Quality','5.0 out of 5 stars','Best product'
'B07K1K7JQ4','Good','4.0 out of 5 stars','Vallue for money'
'B07K1K7JQ4',"Wow.. that's what i need ♥️",'5.0 out of 5 stars',"I was searching for best quality lower in reasonable price. I got this i am happy to get it . Don't need to think wether it's summer or winter just buy it. U won't regret. . I got this in just 499/- ."
'B07K1K7JQ4','Good material','5.0 out of 5 stars','Worth. Well Fitting.'
'B07K1K7JQ4','Nice Product Must Go For It','3.0 out of 5 stars','NICE LOWER FOR YOUNGSTERS'
'B07K1K7JQ4','Good Quality, but Pricey','3.0 out of 5 stars',"Dear Amazon shoppers,  My name is Tejaswa Dogney, and I purchased the Fitinc Men's Slim Fit Track Pants in 2021. I wanted to share my thoughts on this product after using it for a couple of years. I would appreciate it if you find this review helpful to mark it as such.  Firstly, let's talk about the positives. The quality of these track pants is undeniably impressive. The fabric is durable, and the stitching has held up exceptionally well over time. Even after numerous washes, they still maintain their shape and color, which is a testament to their excellent craftsmanship. The pants are comfortable to wear, providing a good fit without feeling too restrictive. Additionally, the design is stylish, and they look great when paired with various casual outfits.  On the downside, the price of these track pants is quite high. When considering the options available in the market, it's hard to ignore the fact that there are branded alternatives within the same price range. While the quality is commendable, it does make me question whether it justifies the premium price tag. It would have been more enticing if the price was more competitive or offered additional features to set it apart from the competition.  In summary, the Fitinc Men's Slim Fit Track Pants have served me well over the past two years in terms of quality and style. However, the price point is a significant factor to consider, especially when comparing them to other branded options available. If you prioritize quality and are willing to pay a premium, these track pants could be a suitable choice for you.  Thank you for taking the time to read my review. I hope it helps you in making an informed decision about this product."
'B07K1K7JQ4','Nice . I have already used this product in grey colour.😊','4.0 out of 5 stars','Good fitting. Size as expected... Same shown in figure.... Go for it... Man...👍😎'
'B07K1K7JQ4','Points to be noted','4.0 out of 5 stars','Product is very good, but same colour you had sent'
'B07K1K7JQ4','Like it','5.0 out of 5 stars','Fabric is good and the price is also fair enough..'
'B07K1K7JQ4','Go with it','5.0 out of 5 stars','Nice fabric'
'B07K1K7JQ4','Value for money','4.0 out of 5 stars','Product is heavy. But good quality fit and finish'
'B07K1K7JQ4','Very good product','4.0 out of 5 stars','Very good product and comfortable all sides'
'B07K1K7JQ4','Good fabric','5.0 out of 5 stars','Loved this product. Fabric is good and it’s comfy'
'B07K1K7JQ4','Quality material but not the pocket zips','5.0 out of 5 stars','I have used this for 3 years, and it is still in good condition. only the side pocket zip is not working after 2 years of abusive use.'
'B07K1K7JQ4','Good product','5.0 out of 5 stars','Comfortable and light. Fitting is good and stretches well.'
'B07K1K7JQ4','Great Purchase','5.0 out of 5 stars','Good choice'
'B07K1K7JQ4','Value for money','4.0 out of 5 stars','Value for money'
'B07K1K7JQ4','Good quality','5.0 out of 5 stars','Quality is really good! My usual size is L but I got it exchanged for M which fits fine for me now. Happy with the product.'
'B07K1K7JQ4','Size issue','1.0 out of 5 stars','Refund issue for this product'
'B07K1K7JQ4','Worst product','1.0 out of 5 stars',"Quality is very bad. Don't go for it"
'B07K1K7JQ4','Great buy','5.0 out of 5 stars','Nice product, fitting and fabric. Cost effective product. Could not have asked more in this range.'
'B07K1K7JQ4','Poor quality being passed off as a virtue','1.0 out of 5 stars','Product looks previously worn with stains, fitting is unathletic, and not importantly- that the colours are not fast is a concern. Instructions say: “Wash separately till colour stabilises”. Stay in fear forever that it may ruin other clothes? Fading cloth is not quality- stop trying to represent it as one.'
'B07K1K7JQ4','Good quality and comfortable','5.0 out of 5 stars','Looks good, flexible, comfortable to wear normally and during work out, yoga. Took XL and fitting is good. Would recommend.'
'B07K1K7JQ4','Good','4.0 out of 5 stars','Good one'
'B07K1K7JQ4','Good','4.0 out of 5 stars','Not fit as expected'
'B07K1K7JQ4','Simply super','5.0 out of 5 stars',''
'B07K1K7JQ4','Old model','1.0 out of 5 stars','This is not fit & comfortable.. Very big size 👎'
'B07K1K7JQ4','Very durable and comfortable','5.0 out of 5 stars','The material is good and does not stay wet for long. Comfort is also fine but really depends on your body type and the size you have ordered. The zippers work fine too. Wore it throughout a 10 day trek and it worked just as good as the much more expensive Trekking pants.'
'B07K1K7JQ4','Best lower','5.0 out of 5 stars',"Just loved this product. It's very comfortable and can be used in various physical activities. It also looks very good."
'B07K1K7JQ4','very good','4.0 out of 5 stars','good for gym goers'
'B07K1K7JQ4','Just Wow for fitness.','5.0 out of 5 stars','I loved the product in this price very premium quality.'
'B07K1K7JQ4','Worth to buy','5.0 out of 5 stars','The media could not be loaded. The best fitting and comfort It is worth to buy in 650 rupees'
'B07K1K7JQ4','Good Product & Service !','5.0 out of 5 stars','Good Product & Service !'
'B07K1K7JQ4','Good product just 1-2 size bigger','2.0 out of 5 stars','Good product just 1-2 size bigger, I ordered M but should have ordered L or XL. Cloth and stitching is good.'
'B07K1K7JQ4','pathetic fabric did fraud with me','1.0 out of 5 stars','Worse product ever you can get it from road side , ,pathetic fabric did fraud with me ,trying contact with customer care to get my refund but no luck, froud keep now Amazon doing froud with old customers ...keep away'
'B07K1K7JQ4',"Don't waste your money",'1.0 out of 5 stars','This is my 6 th purchase from this seller since 2018. But this time I am very disappointed with the quality of the fabric and the fitting.'
'B07K1K7JQ4','Superb quality nice product purchase it','5.0 out of 5 stars','I like the product it was very nice product purchase it'
'B07K1K7JQ4','Product not upto the mark','2.0 out of 5 stars','Cloth creates discomfort while exercise and does not give smooth experience.'
'B07K1K7JQ4','Nice','2.0 out of 5 stars','Good'
'B07K1K7JQ4','Size issues.','1.0 out of 5 stars','There was a misunderstanding, actually from outside of the package, it was looking like a adidas brand pant but when i open a packet I received fitnic track pant , but the issues is again the size of the product is too small for me .....'
'B07K1K7JQ4','Just perfect! nothing less nothing more!','5.0 out of 5 stars','Pretty good pant!'
'B07K1K7JQ4','Good','4.0 out of 5 stars','Product was good'
'B07K1K7JQ4','Nice buy','4.0 out of 5 stars',"It's a nice product. Quality is good and it's durable"
'B07K1K7JQ4','Amazing product','5.0 out of 5 stars','The quality of the product is very good. Fits well, stretchable and looks premium. Just go for it.'
'B07K1K7JQ4','Gym wear Trackpant','4.0 out of 5 stars','Material is good, fit was little smaller than as expected.'
'B07K1K7JQ4','Great','5.0 out of 5 stars','Excellent'
'B07K1K7JQ4','Very good','5.0 out of 5 stars','Daily use'
