item,title,rating,body
'B07KT56WHT','Handy','5.0 out of 5 stars','Very handy'
'B07KT56WHT','Good','4.0 out of 5 stars','The bags come with a white string to tie the bags before disposing the trash. The bags are thin & can be used only for dry waste.'
'B07KT56WHT','Great product','5.0 out of 5 stars','Very good quality.'
'B07KT56WHT','Good product','3.0 out of 5 stars','Good one'
'B07KT56WHT','Easy to handle','5.0 out of 5 stars','Easy to use'
'B07KT56WHT','Strudy garbage bags','5.0 out of 5 stars','I had used garbage bags from over 4 brands until i settled on this. Now this is my regular product of choice. Its sturdy, leakproof and you have a variety of sizes to choose from; every bag also has an attached string that can be used to tie up the bag securely. All in all a very good product.'
'B07KT56WHT','Highly useful for disposal','4.0 out of 5 stars','Met my expectations'
'B07KT56WHT','Awesome','5.0 out of 5 stars','Quality product ..just go for it'
'B07KT56WHT','Good material','4.0 out of 5 stars','Good materual'
'B07KT56WHT','Very very poor quality','1.0 out of 5 stars',"Very very poor quality and that's why it's non returnable. Its not even able to carry 1/2 kg garbage also."
'B07KT56WHT','Shalimar Premium OXO - Biodegradable Garbage Bags 17 X 19 Inches','4.0 out of 5 stars','Good quality product. If the liquid content of the garbage is more then it starts leaking. Otherwise it is good. It serves my purpose as I usually use this bags for Dry waste. But in unfortunate situation, if I use it for my Kitchen waste then it will hold wet garbage to certain extent only.'
'B07KT56WHT','Average quality','5.0 out of 5 stars',"They are of average quality.Can't expect to hold heavy objects."
'B07KT56WHT','Value for money','4.0 out of 5 stars','Good quality ... Sturdy'
'B07KT56WHT','Ok ok','3.0 out of 5 stars','Price wise expensive but good'
'B07KT56WHT','Nice','5.0 out of 5 stars','Thakur u'
'B07KT56WHT','This is small size','4.0 out of 5 stars','I want big size.'
'B07KT56WHT','Best so Far','5.0 out of 5 stars','These bags exhibit good quality; however, they have a tendency to allow kitchen wet waste to leak out easily.'
'B07KT56WHT','No threads','1.0 out of 5 stars','There is no threads for 3 packets'
'B07KT56WHT','Sturdy material','5.0 out of 5 stars','Sturdy material and perfect size'
'B07KT56WHT','Loved them','5.0 out of 5 stars','I just loved these bags rather than buying the cheap quality dustbin bags this becomes better option for wet garbage collection in the dustbins. It material is very nice. It is leak proof. It has a thread as well to tie the bag at the time of disposing it. Must buy from my side.'
'B07KT56WHT','Good','5.0 out of 5 stars','Good'
'B07KT56WHT','Virgin plastic','4.0 out of 5 stars','Leak proof and handy size'
'B07KT56WHT','Good quality','5.0 out of 5 stars','The quality of the product is very good'
'B07KT56WHT','Excellent 👌','5.0 out of 5 stars','Nice 👌'
'B07KT56WHT','My go to since last 2 years','5.0 out of 5 stars','Simple and easy to use, durable, available in different sizes .. does the job unless you pour liquids in it. Don’t pour liquids into the garbage bag..'
'B07KT56WHT','Ok','1.0 out of 5 stars','Gd'
'B07KT56WHT','Leakage Free & Affordable','5.0 out of 5 stars',"Unlike the ones I've purchased from the market before, these bags have no leakage issues. The sturdiness of these bags is equivalent to regular poly bags."
'B07KT56WHT','About 2 ft in length','5.0 out of 5 stars','Strong and easy to use.'
'B07KT56WHT','Satisfied','4.0 out of 5 stars','The media could not be loaded. Very handy and useful. Quality of plastic also good.'
'B07KT56WHT','Satisfactory','4.0 out of 5 stars','Satisfactory product.'
'B07KT56WHT','Good product','4.0 out of 5 stars','The bag seems durable also worth the money'
'B07KT56WHT','Good deal','5.0 out of 5 stars',"Will buy this again, if it's still at the same price"
'B07KT56WHT','Waste disposal bags','4.0 out of 5 stars','Easy to handle for disposing house hold waste'
'B07KT56WHT','Size decreased','2.0 out of 5 stars','Price increased , Size is decreased 2×2" . Previously it was 19×21" quality Lso lowered. Before it was coming good.'
'B07KT56WHT','Worth buying','5.0 out of 5 stars','I am constantly using only these garbage bags as they durable.and good quality .'
'B07KT56WHT','Excellent','5.0 out of 5 stars','Very good product'
'B07KT56WHT','too good','5.0 out of 5 stars','too good.'
'B07KT56WHT','Worth to buy','5.0 out of 5 stars','I am using these dustbin bags from last 2 yrs.. Worth to buy..'
'B07KT56WHT','Good','5.0 out of 5 stars','Good'
'B07KT56WHT','Very Good Purchase','5.0 out of 5 stars','Good Product'
'B07KT56WHT','Strong value for money and recommended','5.0 out of 5 stars','I have been using same trash bag for 2 years. Just imagine the standard, none of the pieces were faulty. Satisfied with the product and re-order again today.'
'B07KT56WHT','Bag is ok','3.0 out of 5 stars','The bag is ok but if we put wet waste it will leak from the plastic bag and will come out'
'B07KT56WHT','Good product','5.0 out of 5 stars','Good'
'B07KT56WHT','Good quality','5.0 out of 5 stars','The bags are very nice.'
'B07KT56WHT','1very good product','5.0 out of 5 stars','The media could not be loaded. I am buying this second time. All bags are good. I am happy and satisfied'
'B07KT56WHT','Good','5.0 out of 5 stars','Good product'
'B07KT56WHT','Useful','4.0 out of 5 stars','Nice product. I am using since last 8 months or so. No leaks, very sturdy.'
'B07KT56WHT','Good quality bags','5.0 out of 5 stars','Very good quality product. Strings are also strong'
'B07KT56WHT','Bad quality','1.0 out of 5 stars',"Don't buy this"
'B07KT56WHT','Very good','5.0 out of 5 stars','Value for money...great product'
