item,title,rating,body
'B07L4QX5PN','Shirt acha hai,,, but colour same nehi hai','3.0 out of 5 stars','Colours thik nehi hai,,, kapra soft hai'
'B07L4QX5PN','Average product.','2.0 out of 5 stars','Colour is not bright as shown in the image. Fitting is just a regular fit with apple cut, But not slim fit as mentioned in the discription. SO ITS JUST A OK PRODUCT. But good as per the pricing'
'B07L4QX5PN','Quality and Value for money','4.0 out of 5 stars','All is good as compare to price.'
'B07L4QX5PN','Read my review first','3.0 out of 5 stars','The fit is a little loose. And color differentiation is not that great either. I will suggest to buy a smaller size than regular. And not to expect much. And if wanna ask if it justifies the money then I will say surely not. If u can find same shirt somewhere else give it a try then.'
'B07L4QX5PN','Loved it.. ❣️','5.0 out of 5 stars','Fabric is sooo soft.. 100% cotton.. very much comfortable.. Size is exactly same as the brand providing.. Very good quality...'
'B07L4QX5PN','Colors are not bright as per pics','3.0 out of 5 stars','Color are not bright as per pics and fabric not good...'
'B07L4QX5PN','Worthy purchase','5.0 out of 5 stars','Very nice looking shirt with good quality of cotton cloth. Value for money.'
'B07L4QX5PN','Colour fade','1.0 out of 5 stars','So bad, looks like very old after first wash'
'B07L4QX5PN','Sub standard quality','1.0 out of 5 stars','Single wash, cloth became looks color faded'
'B07L4QX5PN','Not Satisfied','2.0 out of 5 stars',"In photo it looks like a faded shirt but in reality there's no fade"
