item,title,rating,body
'B07L8FTF56','Stability is an question','3.0 out of 5 stars',"Very light in weight. Plastic quantity can be improved. When the bottle is empty, then the stability is an issue. Due to light weight. Apperance wise it's good"
'B07L8FTF56','Shape of bottle','4.0 out of 5 stars','Nice grip'
'B07L8FTF56','Excellent','5.0 out of 5 stars','Water bottles are very good & excellent'
'B07L8FTF56','Value for money','5.0 out of 5 stars','Nice item , value for money , good durability..Very nice product from milton'
'B07L8FTF56','Good','5.0 out of 5 stars','As aspected'
'B07L8FTF56','Good quality','5.0 out of 5 stars','Good quality bottles'
'B07L8FTF56','Bottle quality is good','5.0 out of 5 stars','Using it for atleast 3 months still the look and feel are same nice product'
'B07L8FTF56','Value for money','5.0 out of 5 stars','This is very much value for money. The bottles looked fragile when I got it but it turned out to be very durable. Been using it for months.'
'B07L8FTF56','Worth buying','4.0 out of 5 stars','The bottle are of obviously good quality. The only thing is that they come with different colour not with the one u will order. Overall nice purchase'
'B07L8FTF56','Long lasting','5.0 out of 5 stars','Good product'
'B07L8FTF56','Nice product','4.0 out of 5 stars','{"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"clientPrefix":"vse_reviews_desktop_r3f3d6ogu9lnzq_1697142061668","closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"261-2176580-3679859","refMarkers":"vse_reviews_desktop_R3F3D6OGU9LNZQ_1697142061668_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"H1JGN33E2EMDTJ80M0YD","customerId":"0","sessionType":1},"mimeType":"application/x-mpegURL","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R3F3D6OGU9LNZQ","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R3F3D6OGU9LNZQ_1697142061668_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"videoHeight":0,"videoWidth":0,"videoUrl":"https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/0c95512b-2c0e-4cbc-900b-e5560c062ff5/default.jobtemplate.hls.m3u8","metricsEmissionMethod":"sushi","awaConfig":{"useUpNextComponent":false,"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"initialVideo":"R3F3D6OGU9LNZQ","shouldPreload":true,"enableClickBasedAttribution":false,"isChromelessPlayer":false,"closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"isVideoImmersivePlayer":false,"metricsEmissionMethod":"sushi","skipInitialFocus":false,"playerSkin":"none","disabledViewIds":["replayHint"],"customerId":"0","containerId":"vse_reviews_desktop_r3f3d6ogu9lnzq_1697142061668-player-2168f213-36df-49b0-b907-64ec15b8afda","requestMetadata":{"marketplaceId":"A21TJRUUN4KGV","clientId":"VSE-IN","method":"cr_inline_review","requestId":"H1JGN33E2EMDTJ80M0YD","pageAsin":"","sessionId":"261-2176580-3679859"},"shouldLoop":false,"shouldDisableControls":false,"alwaysSetInitialVideo":true,"showPlayerCloseButton":false,"clientPrefix":"","useAutoplayFallback":false,"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"261-2176580-3679859","refMarkers":"vse_reviews_desktop_R3F3D6OGU9LNZQ_1697142061668_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"H1JGN33E2EMDTJ80M0YD","customerId":"0","sessionType":1},"ospLinkCode":"","showPosterImage":true,"languageCode":"en","version":"","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R3F3D6OGU9LNZQ","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R3F3D6OGU9LNZQ_1697142061668_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"shouldStartMuted":false,"airyVersion":"VideoJS","languagePreferenceStrings":{},"enableInactiveFocus":true,"isReactFactory":false,"enableDelphiAttribution":false,"shouldAutoplay":false},"imageUrl":"https://m.media-amazon.com/images/I/51uQI8l8f9L._SY256._SY256.jpg","needPlayerFactory":false,"isMobile":false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live, currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off, selected Captions Captions off, selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. Bottles are satisfactory according to their price,,,only thing is grey color does not match with the picture'
'B07L8FTF56','Nice','5.0 out of 5 stars','Good'
'B07L8FTF56','Good product','4.0 out of 5 stars','The product is good but I am giving 4 stars for sending me black bottles instead of grey ones.... 😕'
'B07L8FTF56','Water bottle','5.0 out of 5 stars','Nice look. Fitted easily in car and refrigerator'
'B07L8FTF56','Quality','5.0 out of 5 stars','Good quality product 👌👍'
'B07L8FTF56','botills good quality','5.0 out of 5 stars','super'
'B07L8FTF56','Completely satisfied','5.0 out of 5 stars','I loved the bottles. The bottle cap is so designed that there is no leakage or spilling of water. Worth the price.'
'B07L8FTF56','Not good','2.0 out of 5 stars','Thin plastic bottles, very cheap quality'
