item,title,rating,body
'B07LFWP97N','Great product. I didn’t expect for this much low price.','5.0 out of 5 stars','I like this product'
'B07LFWP97N','Good','5.0 out of 5 stars','Durable, good quality, easy to carry, provide good protection to laptop. Soft.'
'B07LFWP97N','Size','3.0 out of 5 stars','Size was little bit lesss'
'B07LFWP97N','Best quality','5.0 out of 5 stars','Quality is good as per price'
'B07LFWP97N','Ohk ohk','1.0 out of 5 stars','It’s nice but not good quality not strong'
'B07LFWP97N','value for money.','4.0 out of 5 stars','good product.'
'B07LFWP97N','Good product','5.0 out of 5 stars','Good product'
'B07LFWP97N','Good bag','5.0 out of 5 stars','Good bag'
'B07LFWP97N','Good one','4.0 out of 5 stars','For lesser weight items it is good'
'B07LFWP97N','Worth purchasing- nice and affordable','5.0 out of 5 stars','Totally worth purchasing, value for money. Quality is nice and would recommend 10/10. Perfect fit for my laptop- dell inspiron 13inch, fits charger and mobile as well.'
'B07LFWP97N','Worth the price','5.0 out of 5 stars','Nice and compact.'
'B07LFWP97N','Good','3.0 out of 5 stars','Good'
'B07LFWP97N','Good','3.0 out of 5 stars','Comfortable and good.'
'B07LFWP97N','Fits well','4.0 out of 5 stars','Fits well with my dell 14 inch laptop..Vry comfortable.'
'B07LFWP97N','Good product','4.0 out of 5 stars','Good proy.value for money. As per money quality is equivalent.'
'B07LFWP97N','Awsm quality in low prize','5.0 out of 5 stars','Awsm'
'B07LFWP97N','Good one','5.0 out of 5 stars',"That's how my 14 inch laptop fits. It's safe and also takes very less space."
'B07LFWP97N','Very good','5.0 out of 5 stars','Descent quality at the price and looks nice'
'B07LFWP97N','PP','5.0 out of 5 stars','Nice bag'
'B07LFWP97N','Laptop bag','4.0 out of 5 stars','The media could not be loaded. Not so bad we can go for it.'
'B07LFWP97N','Genuine','4.0 out of 5 stars','The product is as it seems in the photos. Satisfactory.'
'B07LFWP97N','best product','5.0 out of 5 stars','as per my requirement'
'B07LFWP97N','Perfect for the Price','5.0 out of 5 stars','Quite good for the price'
'B07LFWP97N','Outstanding fitting','5.0 out of 5 stars','Same as shown, fabric is so nice really happy for my laptop🥰 No doubt, go for it'
'B07LFWP97N','Good bag','5.0 out of 5 stars','The media could not be loaded.'
'B07LFWP97N','Low quality','2.0 out of 5 stars','Low quality product for 230 ...'
'B07LFWP97N','Not bad','3.0 out of 5 stars',"It's ok"
'B07LFWP97N','Good product','4.0 out of 5 stars','Good product.'
'B07LFWP97N','Weak handle','4.0 out of 5 stars','Over all good fit'
'B07LFWP97N','Worth it','5.0 out of 5 stars','Worth for money'
'B07LFWP97N','great purchase','5.0 out of 5 stars','this bag fits well and its looks stylish and sturdy. Zipper the fabric and the stich quality upto the mark. Just go for it.'
'B07LFWP97N','Useful and sleek','5.0 out of 5 stars','Sleek, waterpeoof, zips are of good quality, handy. Overall, excellent.'
'B07LFWP97N','Amazing product easy to carry','5.0 out of 5 stars','It is simple and awesome'
'B07LFWP97N','Ok','5.0 out of 5 stars','But rate more'
'B07LFWP97N','Amazing product.','4.0 out of 5 stars','Money worth.'
'B07LFWP97N','Laptop bag','3.0 out of 5 stars','Good quality bag'
'B07LFWP97N','The zipper is reliable as compared to others','5.0 out of 5 stars','Can trust'
'B07LFWP97N','Thick layer good for protection of laptop','5.0 out of 5 stars','Good to have'
'B07LFWP97N','Fabric not water repellent','1.0 out of 5 stars',"Design wise it's good but this is not water repellent fabrics because my laptop got wet"
'B07LFWP97N','Good one','4.0 out of 5 stars','Useful....'
'B07LFWP97N','The problem is with the stitching','4.0 out of 5 stars','The problem is with the stitching. otherwise the bag is very good'
'B07LFWP97N','Securely holds the notebook and makes it more handy to carry.','4.0 out of 5 stars','The zips are smooth, the bag is neatly stitched with appropriate grip to hold and carry around with ease.'
'B07LFWP97N','Good One','5.0 out of 5 stars','Product Is Good For Office Use. Fabric Is Good'
'B07LFWP97N','over fit','1.0 out of 5 stars','To less space'
'B07LFWP97N','Good Quality and durable product!','5.0 out of 5 stars','The media could not be loaded. The bag can fir a 14 inch laptop very easily.The quality and design is very good.Waterproof outer covering and it also has a thick layer of foam to protect your laptop.Many people here reported that there was no foam in their bag,so I was a bit hesitant but recieved it today and I would say,must go for it.Value for money in this price range!'
'B07LFWP97N','Worth the price','4.0 out of 5 stars','Its a good bag to protect your 14 inch laptop. Pretty good quality at this price...'
'B07LFWP97N','Slim bag good for the laptop.','4.0 out of 5 stars',"I was frustrated of being carry a laptop bag everytime so I thought to purchase a slim bag. It is good. Down side is it can only accommodate charger it doesn't have much spaces"
'B07LFWP97N','should be large enough for holding mouse and charger','4.0 out of 5 stars','good looks and quality'
'B07LFWP97N','WORTH THE PRICE','5.0 out of 5 stars','WORTH THE PRICE'
'B07LFWP97N','no water proof','1.0 out of 5 stars','it has been written in description that its water resistant but its NOT .. all.my documents were wet when i opened it'
