item,title,rating,body
'B07LH2KW67','Defective pens received','1.0 out of 5 stars','Refill missing in the pen and body received.'
'B07LH2KW67','It has inconsistent ink flow','1.0 out of 5 stars','Bad grip. bad ink flow. doesn’t look great either. it is cheap, but i wouldn’t suggest it because of bad overall quality'
'B07LH2KW67','One of the best','5.0 out of 5 stars','Smooth like butter!!'
'B07LH2KW67','Highly Recommended and Seller is appreciated for perfect description and supply','5.0 out of 5 stars','Highly Recommended and Seller is appreciated for perfect description and supply'
'B07LH2KW67','Good','5.0 out of 5 stars','Good quality'
'B07LH2KW67','Best for pen sketching','5.0 out of 5 stars','I am using this for pen sketching,pen is smonth, less leaking, best for both writing and pen sketching. Worth the money, I would recommend it.'
'B07LH2KW67','Smooth no doubt better than previous version','5.0 out of 5 stars','Buy it without any doubt'
'B07LH2KW67','Decent','3.0 out of 5 stars','Only down downside is that it smudges alot.'
'B07LH2KW67','I suggest everyone to buy','4.0 out of 5 stars','Good product, it is very useful, I suggest everyone to buy'
'B07LH2KW67','Best for exam use','4.0 out of 5 stars','Pens are very smooth'
'B07LH2KW67','One of the best pens in the market','5.0 out of 5 stars','Very smooth pen 🖊️ Received in intact packaging no damage in transit 👏 Thanks amazon and the seller for providing the pen set of 10 at no extra delivery charge + no boundations to buy 2 or 3 items to proceed Affordable and pocket friendly 💰'
'B07LH2KW67','Super one','5.0 out of 5 stars','Good product'
'B07LH2KW67','Good!!','3.0 out of 5 stars','Good for taking notes but they smudge a lot'
'B07LH2KW67','Smooth writing and long-lasting','5.0 out of 5 stars','After first purchase never go for new always purchase refils'
'B07LH2KW67','Do not buy','3.0 out of 5 stars','Has half the ink. Finished 3 pens in 5 days. Writes well in the first 2-3 pages but then ink starts to fade. Do not recommend it'
'B07LH2KW67','Good','5.0 out of 5 stars','Good'
'B07LH2KW67','Worst pen','1.0 out of 5 stars','No comfort'
'B07LH2KW67','Value for 💸💰 money','5.0 out of 5 stars','Product is nice .. I brought this product for 100 rupee.. very useful.. nice product'
'B07LH2KW67','It was nicely delivered','5.0 out of 5 stars','I liked the product'
