item,title,rating,body
'B07MJF5THB','Nice Product','4.0 out of 5 stars','Worth for the money..'
'B07MJF5THB','Good 👍','5.0 out of 5 stars','It is very soft .very easy to use .value of money.'
'B07MJF5THB','Good','4.0 out of 5 stars','Nice'
'B07MJF5THB','Good product !!','5.0 out of 5 stars','Very happy with this product..'
'B07MJF5THB','लूज पैकेजिंग','2.0 out of 5 stars','लूज पैकेजिंग होने से रोल काफी दबे हुए प्राप्त हुए हैं। पेपर जिस गत्ते के टुकड़े पर लपेटा गया है, वह भी गुणावत्ताहीन (अत्यंत कमजोर) है। प्रोडक्ट पर विश्वास था कि बॉक्स पेकिंग में भेजा जाएगा, लेकिन ऐसा नहीं पाया गया।'
'B07MJF5THB','Product had a very bad smell to it. Smelt like it was puke.','1.0 out of 5 stars','We use a lot of paper napkin in the kitchen and when we ordered the we were expecting it to be similar to the products we use, however as soon as we opened the plastic packet it came in it had a bad smell to it and thought maybe its just the packing and who we smelt the actual paper napkin we were disgusted with it. Very bad quality and very bad packing of the product and also the place where this was stored was unhealthy area for sure which is why it has such a bad smell'
'B07MJF5THB','Tissues','5.0 out of 5 stars','Good quality'
'B07MJF5THB','Soiled and torn pack','1.0 out of 5 stars','The media could not be loaded. The package it torn. Roll is stuck to the package. The paper is soiled.'
'B07MJF5THB','Regular purchase','5.0 out of 5 stars','Use regularly. Good product'
'B07MJF5THB','Papper Towel','4.0 out of 5 stars','Value for money'
'B07MJF5THB','Dirty rolls received','1.0 out of 5 stars','Dirty rolls , product quality and hygiene of the tissues is questionable .'
'B07MJF5THB','Good','5.0 out of 5 stars','Good quality tissues with competitive pricing. 5 stars for me.'
'B07MJF5THB','Product not suitable for Kitchen','1.0 out of 5 stars','Product smells worst and u can not iluse it for kitchen'
'B07MJF5THB','Ok','3.0 out of 5 stars','Not wrapped properly.'
'B07MJF5THB','Non reuseable','3.0 out of 5 stars','Normal but value for money'
'B07MJF5THB','Very Good','5.0 out of 5 stars','Very Good'
'B07MJF5THB','Paper napkins','5.0 out of 5 stars','Good product'
'B07MJF5THB','Not good','2.0 out of 5 stars','Tissue has less absorbency ...not as expected'
'B07MJF5THB','Excellent kitchen tissue roll set','5.0 out of 5 stars',"The kitchen tissue rolls are excellent with great absorbing power.The tissues are very easy to use & due to it's great absorptive power it makes it's way as a very useful item."
'B07MJF5THB','Nice product','5.0 out of 5 stars','Good product'
'B07MJF5THB','Nice','4.0 out of 5 stars','Nice'
'B07MJF5THB','Exceeded my expectations.','5.0 out of 5 stars','highly recommended'
'B07MJF5THB','Ok','5.0 out of 5 stars','Fine quality'
'B07MJF5THB','Useful for kitchen','5.0 out of 5 stars','Useful for kitchen as wipe to clean gas stove, dining table, fridge etc'
'B07MJF5THB','Not good','1.0 out of 5 stars',"Product seems pileup/stocked/old one. Tissue rolls are loosened and paper isn't good at all"
'B07MJF5THB','Thickness is good','5.0 out of 5 stars',"Liked this product...it's thick and easy to use"
'B07MJF5THB','Great tissues','4.0 out of 5 stars','Very use-full for kitchen purposes.'
'B07MJF5THB','Obnoxious smell','1.0 out of 5 stars','I was surprised to see a Solimo product of poor quality. The smell of the paper is so obnoxious that we surety won’t be using it in the kitchen.'
'B07MJF5THB','Ok Ok product, not too satisfied','1.0 out of 5 stars','Have a foul smell'
'B07MJF5THB','Value for money','4.0 out of 5 stars','Very good for use in kitchen Value for money'
'B07MJF5THB','the product is good . purposeful. not bad','4.0 out of 5 stars','The product is good and one can opt for this. No problem'
'B07MJF5THB','Size is smaller than expected','3.0 out of 5 stars','The size of the roll is smaller than what we were expecting. Paper quality is good though.'
'B07MJF5THB','Awesome product','5.0 out of 5 stars',"I liked it's absorbency"
'B07MJF5THB','Excellent Product','5.0 out of 5 stars','Very good product. Regular use in our kitchen. Ordered it many times before too.'
'B07MJF5THB','Nice','3.0 out of 5 stars','Quality is okay'
'B07MJF5THB','Stinking','1.0 out of 5 stars','This was stinking. Very bad smell'
'B07MJF5THB','Poor quality','1.0 out of 5 stars','The quality is bad. The rolls have a pungent smell.'
'B07MJF5THB','Very very low quality… size is the tissue is not worth the price','1.0 out of 5 stars','Not a good product overall'
'B07MJF5THB','Want keep your table clean','5.0 out of 5 stars','Very useful for our family'
'B07MJF5THB','👍','4.0 out of 5 stars','Good quality. Nice to use.'
'B07MJF5THB','Not able to use','3.0 out of 5 stars','Not able to use'
'B07MJF5THB','Solimo kitchen tissues','1.0 out of 5 stars','The product is smelling like poop , bad odor from the paper towels…'
'B07MJF5THB','Very poor quality','1.0 out of 5 stars','Very thin and not useful for kitchen'
'B07MJF5THB','Bad smell','1.0 out of 5 stars',"Bad smell. Can't use."
'B07MJF5THB','deliver is very fast tq. happy.','3.0 out of 5 stars','product nice tq.'
'B07MJF5THB','Damage product','1.0 out of 5 stars','Tecd in damaged condition'
'B07MJF5THB',"Doesn't absorb the liquids easily",'3.0 out of 5 stars','Absorbs liquids more like a note book paper than a quick absorb paper towel. Slightly disappointed.'
'B07MJF5THB','Disgusting - smells like poop','1.0 out of 5 stars',"How on earth could anyone use this at all, let alone in the kitchen? Unless this is made if elephant dung, it has no business smelling this vile. Makes you gag. I will never buy an Amazon own brand again. Don't touch this product even if they send you a year's supply for free. Shocking that this is allowed to exist in the world."
'B07MJF5THB','Well done','5.0 out of 5 stars','Good product'
'B07MJF5THB','Poor quality, excessive glue used','1.0 out of 5 stars','They use excessive poorly applied glue to stick the roll. Impossible to take out first few pulls without tearing/damaging 2/3 layers. Resulted in a lot of wastage just to open the roll.'
