item,title,rating,body
'B07PB4G6RG',"Didn't suit my thick hair",'2.0 out of 5 stars','My thick hairs have become too frizzy after using this shampoo, they should provide a trial small pack, money got wasted :('
'B07PB4G6RG','Very good product','5.0 out of 5 stars','This shampoo is really good for dry and frizzy hair. It smells amazing after the wash. Highly recommended for dry scalp.'
'B07PB4G6RG','Contains Sodium laurel sulphate','1.0 out of 5 stars','Its dangerous for hairs'
'B07PB4G6RG','Good','4.0 out of 5 stars',"Randomly selected this one it's wash in my hair thoroughly OK ok product"
'B07PB4G6RG','Good shampoo','4.0 out of 5 stars',"I tried this shampoo as an experiment because I read good reviews about it. After using it for over a month, This time I bought the bigger bottle. Must say the shampoo does it's job well. It makes the hair soft and shiny after use and leaves a really nice smell. It has also helped to control my hair fall. I have tried many professional shampoos but this is good. It's not natural though but doesn't harm the hair either. So go for it..but test if it suits your hair"
'B07PB4G6RG','Best of the best','5.0 out of 5 stars','Herbal essence shampoos are one of the good shampoos I have come accross. Hair feels soft and smooth after wash. Dont feel the need tk condition hair after using this shampoo'
'B07PB4G6RG','Works for great for thickening hair','5.0 out of 5 stars',"Nothing worked for my hair, this help me with splitends and volume and I can noticeable see hair growth. I'm never going back to other products."
'B07PB4G6RG','Not good for curly hair','2.0 out of 5 stars','It makes your hair more dry. My hair type is curly, I thought it will provide some moisture but it made my hair more frizzy.'
'B07PB4G6RG','Perfect','5.0 out of 5 stars','Nice!!'
'B07PB4G6RG','Smooth and silky texture','4.0 out of 5 stars','Good product, good silky hair look'
'B07PB4G6RG','Soft and lustrous hair after first wash','5.0 out of 5 stars','Good shampoo for fizy hair in budget'
'B07PB4G6RG','Too Bad for curly and frizzy hair','2.0 out of 5 stars',"I usually don't write reviews but this seems important to my other curly haired fellows. I was suggested the shampoo by a friend whi has straight hair and I have curly/wavy hair and it is frizzy a lot of times. And this shampoo and conditioner made my hair worst with additional frizzyness and my curls got Lost in the frizzyness. Not sure How it works with straight hair though."
'B07PB4G6RG','Awesome','5.0 out of 5 stars','Great shampoo'
'B07PB4G6RG','Very good product','5.0 out of 5 stars',"I am giving review after using it for almost a month. It's an amazing product. Go for it"
'B07PB4G6RG','Good shampoo','4.0 out of 5 stars',"Have been using it for a while,it's a good shampoo"
'B07PB4G6RG','It’s a good shampoo with amazing fragrance','4.0 out of 5 stars','Smells good performance is above average wish the seller can provide a small conditioner as a sample so that we can use and try'
'B07PB4G6RG','Good','4.0 out of 5 stars','Very nice'
'B07PB4G6RG','Very good product','5.0 out of 5 stars','Previously my hair is falling after using this it reduced'
'B07PB4G6RG','My hair strted falling after using this shampoo','3.0 out of 5 stars','I thought why not give a try but my hair strted falling after using this Moroccan shampoo if you have thin hair dont use'
'B07PB4G6RG','My go to shampoo','4.0 out of 5 stars','Best shampoo..it hydrates it makes my hair smooth and beautiful.'
'B07PB4G6RG','Foreign shampoo','2.0 out of 5 stars',"It's poor. Indian ordinary shampoo is better"
'B07PB4G6RG','Hair fall','1.0 out of 5 stars','It smoothen the hair but slowly hair fall increased. I stopped using it and purchased other brand'
'B07PB4G6RG','Very good','4.0 out of 5 stars','This one from this brand suited me a good shampoo, never makes hair dry'
'B07PB4G6RG','Waste products','1.0 out of 5 stars','Not frizz free, not getting moisturizer'
