item,title,rating,body
'B07Q3QFYF8','Nice Product and fit','5.0 out of 5 stars','Nice stuff ☺️'
'B07Q3QFYF8','Awesome product','5.0 out of 5 stars','Wool sky blue blazer,good fabric quality for winter season. Medium-sized is perfectly fit. No complaints.'
'B07Q3QFYF8','Very Nice and price effective','4.0 out of 5 stars','Nice and fits well and with in the budget'
'B07Q3QFYF8','Not bad','5.0 out of 5 stars','Not bad'
'B07Q3QFYF8','Ok','3.0 out of 5 stars','Ok'
'B07Q3QFYF8','Super quality with perfect fit','5.0 out of 5 stars','I ordered this Blazer for birthday party.'
'B07Q3QFYF8','Nice blazer suit me.','4.0 out of 5 stars','Nice one, looking good. One must buy.'
'B07Q3QFYF8','Packaging is pathetic','3.0 out of 5 stars','Though the product was good however due to its poor packaging, the coat was all wrinkled up, it looks like used coat. Very dissaponted by the way Amazon deliver its product'
'B07Q3QFYF8','Good product...','5.0 out of 5 stars','Fabric is good , perfect fitting , liked it.....'
'B07Q3QFYF8','Good quality','5.0 out of 5 stars','Good quality'
'B07Q3QFYF8','It’s best','4.0 out of 5 stars','Products were really good , as per expectations , it fits perfect All the best for more new range 👍🏻'
'B07Q3QFYF8','Value of money.','5.0 out of 5 stars','Fabric is too good.'
'B07Q3QFYF8','Blazer is good....','4.0 out of 5 stars','Good'
'B07Q3QFYF8','Fabric is Godd','5.0 out of 5 stars','Good fabric, quality also good, awsome!!!'
'B07Q3QFYF8','Nice product. Best fitting. Value for money','5.0 out of 5 stars','Nice product. Best fitting. Value for money'
'B07Q3QFYF8','Good','5.0 out of 5 stars','Best fabric,good fitting'
'B07Q3QFYF8','Nice Clothing','5.0 out of 5 stars','Blazer is having good cloth and very well stitched. Overall good Product to buy,'
'B07Q3QFYF8','Warm and glossy','4.0 out of 5 stars','Good'
'B07Q3QFYF8','Good prodct','5.0 out of 5 stars','The product is good.'
'B07Q3QFYF8','As per expectation','4.0 out of 5 stars','Comes with fine fabric.'
'B07Q3QFYF8','Very good prouct','5.0 out of 5 stars','Very good product'
'B07Q3QFYF8','Good','5.0 out of 5 stars','Good'
'B07Q3QFYF8','Exact fit','5.0 out of 5 stars','Nice product'
'B07Q3QFYF8','Excellent','5.0 out of 5 stars','Excellent'
'B07Q3QFYF8','Great product','5.0 out of 5 stars','The quality was excellent and warm for Delhi weather at excellent price point. However, I had to alter it a bit as it was bit loose (and I am not small). After alteration, I am used the product the entire winter. Will buy another one next season.'
'B07Q3QFYF8','Nice one','5.0 out of 5 stars','Quality of cloth is very good.'
'B07Q3QFYF8','good color and fabric','5.0 out of 5 stars','good jacket loved the color and fabric'
'B07Q3QFYF8','Quiet good.','4.0 out of 5 stars','It’s value for money'
'B07Q3QFYF8','Good product','5.0 out of 5 stars','Liked the product. Good fabric & fitting'
'B07Q3QFYF8','GREAT suit','5.0 out of 5 stars','The suit fit perfectly as requires'
'B07Q3QFYF8','Nice','5.0 out of 5 stars','Nice one for this proce range. Will recommend.'
'B07Q3QFYF8','Awesome product','5.0 out of 5 stars',"It's very nice I feel more confident after wear the vintage blazer."
'B07Q3QFYF8','Nice product','5.0 out of 5 stars','Perfect fit and good quality'
'B07Q3QFYF8','Quality of this blazer was good and fitting also good 👍🏻','5.0 out of 5 stars','product was good !!!'
'B07Q3QFYF8','Nice','5.0 out of 5 stars','Good product'
'B07Q3QFYF8','Runs bigger in size.','4.0 out of 5 stars',"Good product, tho I thought the fabric could be little more thicker, since it's wool, but good value of money, but if you have a good physic ans like like to showing it off like me:-) go for a size smaller than usual as sizes runs a little bigger, if wintage can come up with a slim fit line for these blazers, that would be awesome."
'B07Q3QFYF8','Great product','5.0 out of 5 stars','Perfect fit'
'B07Q3QFYF8','Good for office','5.0 out of 5 stars','Excellent product.'
'B07Q3QFYF8','Very Good product','5.0 out of 5 stars','Product fitting is good and fabric also very good'
'B07Q3QFYF8','Good product','5.0 out of 5 stars','Good quality. Comfort... In this price'
'B07Q3QFYF8','Very nice','5.0 out of 5 stars','Fit, fine, good looking and comfortable'
'B07Q3QFYF8','Good material- perfect fitting','5.0 out of 5 stars','Perfect fitting'
'B07Q3QFYF8','Perfect.','5.0 out of 5 stars','Perfect. Go for it, I recommend.'
'B07Q3QFYF8','Good jacket - value for money','5.0 out of 5 stars','A decent jacket for regular office wear and value for money. The lining is especially good and overall tailoring too, decent.'
'B07Q3QFYF8','Wow','5.0 out of 5 stars','It’s awesome it’s fit perfectly , done a perfect job bravo bravo bravo , I will be in touch with u'
'B07Q3QFYF8','Excellent','5.0 out of 5 stars','Good product Delivered ahead of time ,backed by Customer Service and the efforts made to develop customer loyalty impressed me'
'B07Q3QFYF8','Worth buy','5.0 out of 5 stars','Fabric and fitting are excellent.'
'B07Q3QFYF8','N/A','N/A','product does not fit to True size it says it is'
'B07Q3QFYF8','N/A','N/A',"My son normally wears a 3XL but he couldn't even get all the way into it. I returned and ordered a 5XL and the fit is perfect. This is a very sharp jacket that screams quality. I highly recommend."
'B07Q3QFYF8','N/A','N/A','Purchased this for a Halloween costume and it’s perfect. Better quality and fit than even expected.'
