item,title,rating,body
'B07RF6YM9H','Quality is too bad and they don’t give the option to return for this product','1.0 out of 5 stars','{"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"clientPrefix":"vse_reviews_desktop_rl5c3v27nyvmf_1697146956878","closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"257-8604766-1498911","refMarkers":"vse_reviews_desktop_RL5C3V27NYVMF_1697146956878_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"JN3TVDV9WZ7RNQG3F1NS","customerId":"0","sessionType":1},"mimeType":"application/x-mpegURL","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"RL5C3V27NYVMF","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_RL5C3V27NYVMF_1697146956878_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"videoHeight":0,"videoWidth":0,"initialClosedCaptions":"en,https://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/b6e85c22-bbd4-42c6-bb29-c51493b4ae04.vtt","videoUrl":"https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/06eee2ba-d951-4aa6-8f2e-c818595210a0/default.jobtemplate.hls.m3u8","metricsEmissionMethod":"sushi","awaConfig":{"useUpNextComponent":false,"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"initialVideo":"RL5C3V27NYVMF","shouldPreload":true,"enableClickBasedAttribution":false,"isChromelessPlayer":false,"closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"isVideoImmersivePlayer":false,"metricsEmissionMethod":"sushi","skipInitialFocus":false,"playerSkin":"none","disabledViewIds":["replayHint"],"customerId":"0","containerId":"vse_reviews_desktop_rl5c3v27nyvmf_1697146956878-player-c08b578d-2a59-483b-8d6c-6eea779a5d61","requestMetadata":{"marketplaceId":"A21TJRUUN4KGV","clientId":"VSE-IN","method":"cr_inline_review","requestId":"JN3TVDV9WZ7RNQG3F1NS","pageAsin":"","sessionId":"257-8604766-1498911"},"shouldLoop":false,"shouldDisableControls":false,"alwaysSetInitialVideo":true,"showPlayerCloseButton":false,"clientPrefix":"","useAutoplayFallback":false,"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"257-8604766-1498911","refMarkers":"vse_reviews_desktop_RL5C3V27NYVMF_1697146956878_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"JN3TVDV9WZ7RNQG3F1NS","customerId":"0","sessionType":1},"ospLinkCode":"","showPosterImage":true,"languageCode":"en","version":"","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"RL5C3V27NYVMF","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_RL5C3V27NYVMF_1697146956878_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"shouldStartMuted":false,"airyVersion":"VideoJS","languagePreferenceStrings":{},"enableInactiveFocus":true,"isReactFactory":false,"enableDelphiAttribution":false,"shouldAutoplay":false},"imageUrl":"https://m.media-amazon.com/images/I/51xFpyQFpOL._SY256._SY256.jpg","needPlayerFactory":false,"isMobile":false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live, currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off, selected Captions Captions off, selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media.'
'B07RF6YM9H','It is a good product, specifically for most of documents of A4 size','5.0 out of 5 stars','It is a good product, specifically for most of documents of A4 size'
'B07RF6YM9H','Good for keeping papers','4.0 out of 5 stars','It was purchased for gifting purpose and the person loved it. It can bd used for less items , durable for long time.'
'B07RF6YM9H','Poor quality inside','2.0 out of 5 stars','Not good quality inside file'
'B07RF6YM9H','Flimsy in quality','3.0 out of 5 stars','Product is not too bad, but the build quality is not upto mark. Product could be studier.'
'B07RF6YM9H','Wonderful','5.0 out of 5 stars','Wonderful'
'B07RF6YM9H','Amazing Hind Jute Folder.','4.0 out of 5 stars','Compact folder of good quality,holds a lot of documents,value for money. Attractive design.'
'B07RF6YM9H','Dirty','4.0 out of 5 stars','The item came extremely dirty with fingerprints all over. Disgusting. Can’t use it at all.'
'B07RF6YM9H','Nice product with little space','4.0 out of 5 stars','The product is of high quality. But the space for keeping documents is limited compared to some other case from same brand'
'B07RF6YM9H',"Product is not worth the price, don't buy waste of money",'1.0 out of 5 stars',"Absolutely waste of money, product is good but it's value is not more than Rs 100 and its sold for 399, my local vendor has far more great quality at Rs 180 that too branded which is very durable and sturdy."
'B07RF6YM9H','Good one','4.0 out of 5 stars','Good leather material and serves the purpose'
'B07RF6YM9H','Qulaity','5.0 out of 5 stars','ITs the best'
'B07RF6YM9H','Worthable','5.0 out of 5 stars','Flip button folding. Looking Awesome.'
'B07RF6YM9H','Gggg','1.0 out of 5 stars','Wastage of money'
'B07RF6YM9H','Eco friendly solution to storage.','5.0 out of 5 stars','Eco friendly. Classy to carry. Non see- through. Can close securely. Proper compartments inside to keep papers, pen and other stuff intact. Best to carry for an interview! I would definitely buy other jute products from them.'
'B07RF6YM9H','Good Quality','4.0 out of 5 stars','Good quality product'
'B07RF6YM9H','Value for money','4.0 out of 5 stars','I bought this to organise prescriptions. Very handy. Looks good. Please read the specification carefully before ordering coz pictures show variety of choices but there is only 1 style available'
'B07RF6YM9H','Not as expected','2.0 out of 5 stars',"Received different material and file's inside is totally different than the actual image it's worst. I'm going to return it"
