item,title,rating,body
'B07RLWMDX5',"Not good fragrance, don't buy,",'1.0 out of 5 stars','Fragrance'
'B07RLWMDX5','Good','5.0 out of 5 stars','Good'
'B07RLWMDX5','Received damaged packing have to check the product','3.0 out of 5 stars','Product package was damaged have to check the product inside soon by morning writing this review in night will update the review by morning; Product is not damaged good in quality'
'B07RLWMDX5','Worst Product on Earth !','1.0 out of 5 stars',"The essence of the soap is not attractive. It doesn't work on suntan skin."
'B07RLWMDX5','Quality','3.0 out of 5 stars','Smell not good'
'B07RLWMDX5','worst','1.0 out of 5 stars','smells like garlic'
'B07RLWMDX5','Worst','2.0 out of 5 stars','Quality is good and appearance is nice but not glowing and effective for skin.. and smells is worst 🤧 better to buy classic version of Pears ot smells good'
'B07RLWMDX5','Smell','1.0 out of 5 stars','No pleasing smell'
'B07RLWMDX5','Best soap','5.0 out of 5 stars','Fragrance.'
'B07RLWMDX5','Best soap','5.0 out of 5 stars','Nice and authentic'
'B07RLWMDX5','Okay product','2.0 out of 5 stars','I dint like the product personally, made my skin dry no change and dint suit me'
'B07RLWMDX5','Pears sabun 8 mangae the aur char hi nikale','2.0 out of 5 stars','पीयर्स कंपनी के 8साबुन की जगह चार साबुन ही निकले हैंहैं पैकेट में या अमेजॉन की तरफ से धोखा है ग्राहक के लिए'
'B07RLWMDX5','Good','5.0 out of 5 stars','Feel good'
'B07RLWMDX5','You may regret ordering this','2.0 out of 5 stars','First of all, I ordered this new soap keeping in mind the Pears Original Glycerine soap. If you like over powering scent of sweet roses, you may like it. Otherwise soap does the foaming and cleansing part fine. No dryness of skin. The fragrance is not as per my liking. Original Pears fans, better stay away. Press Helpful button as Like button.'
'B07RLWMDX5','Good','5.0 out of 5 stars','Good'
'B07RLWMDX5','Bad product','1.0 out of 5 stars','Time and money waste bad fragrance'
'B07RLWMDX5','Pears Pomegranate soap','1.0 out of 5 stars','The product not up to the standard'
'B07RLWMDX5','Good','5.0 out of 5 stars','Good'
'B07RLWMDX5','Good for dry skin','5.0 out of 5 stars','Super product for dry skin people'
'B07RLWMDX5','Not good small & easy breakable','1.0 out of 5 stars',"I don't like this small. Very irritating small. Half usage of the soap , it will break very early . I think the break was a accident. At last i realised that all soap are breakable very early"
'B07RLWMDX5','unique','5.0 out of 5 stars','A unique soap'
'B07RLWMDX5','excellent','5.0 out of 5 stars','excellent'
'B07RLWMDX5','Pomegranate soap.','5.0 out of 5 stars','Nice product and easy delivery 🚚.one of the best soaps available at reasonable prices at Amazon.Happy Bathing!!!'
'B07RLWMDX5','Inferior quality product','2.0 out of 5 stars',"It's just like an ordinary bathing soap. It does not have the true fragrance nor quality of the world famous brand Pears. It's not worth buying. Look for some genuine Pears soap having the right quality and appropriate fragrance."
'B07RLWMDX5','Very good','5.0 out of 5 stars','Value for money'
'B07RLWMDX5','Quality','5.0 out of 5 stars','Product is good'
'B07RLWMDX5','Soaps','5.0 out of 5 stars','Affordable product'
'B07RLWMDX5','Waste of money, worst fragrances and no freshness at all','1.0 out of 5 stars','I feel like this a mix of garbage and smells like some garbage worst no fome formation not at all worth to buy. Please stop this product'
'B07RLWMDX5','Loved it....','5.0 out of 5 stars','Very different kind of colour & perfume, liked it a lot'
'B07RLWMDX5','JUST RIGHT PRODUCT','5.0 out of 5 stars','GOOD PRODUCT'
'B07RLWMDX5','ये कूड़ा है शरीर में एलर्जी करता है और 8पीस दिखाता है भेजता चार पीस है','1.0 out of 5 stars','अमेजन के भारतीय अधिकारी बेईमानी करा रहे हैं इनके रिश्तेदार सप्लाई कर रहे हैं बेईमानी करा रहे हैं'
'B07RLWMDX5','Fantastic','5.0 out of 5 stars','Its very good smell'
'B07RLWMDX5','Pears Glyserine original soap is far better','1.0 out of 5 stars','Original Pears natural soap is far better'
'B07RLWMDX5','Nice product','5.0 out of 5 stars',"This soap was very nice... It's fragnent awesome"
'B07RLWMDX5','Extremely bad for skin my skin started to breakout','1.0 out of 5 stars',"This sope is very harsh on skin my started to break out and I'm facing body acne because of this sope DO NOT USE ON SIKN."
'B07RLWMDX5','Worst Soap','1.0 out of 5 stars',"I have been using Pears since childhood, so i thought of trying this new variant but it gave me extremely dry skin and when you use it over face it started giving me burning sensation. It's by far the worst Soap i have ever used. Don't recommend it"
'B07RLWMDX5','Gud','5.0 out of 5 stars','Super'
'B07RLWMDX5','Awesome scent','4.0 out of 5 stars',"The product doesn't last long ascompared to the pears glycerine one, but smells very good"
'B07RLWMDX5','Disgusting smell and Burning sensation on facial skin','2.0 out of 5 stars','Pears is supposed to be gentle soap due to its glycerine content however this version is sharp smelling chemical in odour and also leaves burning sensation on facial smooth skin. It also darkened my facial skin.'
'B07RLWMDX5','Please ask your people to ring the door bell.','1.0 out of 5 stars',"Please ask your people to ring the door bell as I'm in office and someone took the product."
'B07RLWMDX5','Old product delivered','3.0 out of 5 stars','Ordered a pack of 4 soaps on July-22. Got a pack of 3 soaps manufactured on Jan-21. The soap scent was nice but instead of being solid, the soap has become more like a jelly'
'B07RLWMDX5','Ok','4.0 out of 5 stars','Ok'
'B07RLWMDX5','Eye problem','1.0 out of 5 stars','Skin complaining. Eye burn'
'B07RLWMDX5','Pears','4.0 out of 5 stars','Good'
'B07RLWMDX5','Nice','4.0 out of 5 stars','Best soap'
'B07RLWMDX5','Always a pears fan','5.0 out of 5 stars','Loved the new fragrance'
'B07RLWMDX5','Disgusting smell','2.0 out of 5 stars','I regret ever buying this, I was waiting to go back to normal pears original.'
'B07RLWMDX5','Super','5.0 out of 5 stars','Fragrance nice'
'B07RLWMDX5','Okok','3.0 out of 5 stars','Ok'
