item,title,rating,body
'B07SSJ7J5K','Bad','1.0 out of 5 stars','Bad fragnance'
'B07SSJ7J5K','ENVY very nice perfume 😍','5.0 out of 5 stars','ENVY very nice perfume 😍😍'
'B07SSJ7J5K','Packaging very bad.scent','3.0 out of 5 stars','Today i recieved it...gooddragrancw but Packaging was not good...spray side out of the package .may be its used by someone.'
'B07SSJ7J5K','Value for Money n Good Product','5.0 out of 5 stars','Value for Money n Good Product'
'B07SSJ7J5K','Superb smell','5.0 out of 5 stars','Superb fragrance . Soo pleasant'
'B07SSJ7J5K','Average','3.0 out of 5 stars','Not good smell not as expected'
'B07SSJ7J5K','Bad','1.0 out of 5 stars','Bad quality'
'B07SSJ7J5K','Nice product','4.0 out of 5 stars','The fragrance is very good.'
'B07SSJ7J5K','Fuddu','1.0 out of 5 stars','Bilkul bakwass'
'B07SSJ7J5K','Nice product','3.0 out of 5 stars','Satisfied'
'B07SSJ7J5K','Nice smell','5.0 out of 5 stars','Ok 👌'
'B07SSJ7J5K','Half empty bottle received','1.0 out of 5 stars','Half empty bottle received'
'B07SSJ7J5K','Ok','4.0 out of 5 stars','Fine'
'B07SSJ7J5K','Nic productus..','4.0 out of 5 stars','Like a good scent.'
'B07SSJ7J5K','It is a fake product','1.0 out of 5 stars','Fake'
'B07SSJ7J5K','Average','3.0 out of 5 stars','Envy is very good perfume and i Like it It is different i think but ok ok ok ok ok'
'B07SSJ7J5K','Avg. Product','3.0 out of 5 stars','Really strong fregrance and stays a long'
'B07SSJ7J5K','Awesome','5.0 out of 5 stars','Awesome deo'
