item,title,rating,body
'B07VYZ6CWB','Too much good','5.0 out of 5 stars','Super'
'B07VYZ6CWB','Soft material','3.0 out of 5 stars','Fitting proper. Soft thread ball formation all over the material after wash'
'B07VYZ6CWB','Bad quality','1.0 out of 5 stars','{"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"clientPrefix":"vse_reviews_desktop_r2qa84vt0tqx6r_1697134420646","closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"257-0033867-3031203","refMarkers":"vse_reviews_desktop_R2QA84VT0TQX6R_1697134420646_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"M6DTNSK67FVAZSZPZV1S","customerId":"0","sessionType":1},"mimeType":"application/x-mpegURL","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R2QA84VT0TQX6R","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R2QA84VT0TQX6R_1697134420646_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"videoHeight":0,"videoWidth":0,"initialClosedCaptions":"en,https://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/04ec525e-4c65-42d9-b133-4368971789ab.vtt","videoUrl":"https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/bd7daf24-9aea-418f-a426-19d43b819ae3/default.jobtemplate.hls.m3u8","metricsEmissionMethod":"sushi","awaConfig":{"useUpNextComponent":false,"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"initialVideo":"R2QA84VT0TQX6R","shouldPreload":true,"enableClickBasedAttribution":false,"isChromelessPlayer":false,"closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"isVideoImmersivePlayer":false,"metricsEmissionMethod":"sushi","skipInitialFocus":false,"playerSkin":"none","disabledViewIds":["replayHint"],"customerId":"0","containerId":"vse_reviews_desktop_r2qa84vt0tqx6r_1697134420646-player-a34a7523-6baf-4996-b19b-1f414c43b6a4","requestMetadata":{"marketplaceId":"A21TJRUUN4KGV","clientId":"VSE-IN","method":"cr_inline_review","requestId":"M6DTNSK67FVAZSZPZV1S","pageAsin":"","sessionId":"257-0033867-3031203"},"shouldLoop":false,"shouldDisableControls":false,"alwaysSetInitialVideo":true,"showPlayerCloseButton":false,"clientPrefix":"","useAutoplayFallback":false,"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"257-0033867-3031203","refMarkers":"vse_reviews_desktop_R2QA84VT0TQX6R_1697134420646_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"M6DTNSK67FVAZSZPZV1S","customerId":"0","sessionType":1},"ospLinkCode":"","showPosterImage":true,"languageCode":"en","version":"","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R2QA84VT0TQX6R","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R2QA84VT0TQX6R_1697134420646_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"shouldStartMuted":false,"airyVersion":"VideoJS","languagePreferenceStrings":{},"enableInactiveFocus":true,"isReactFactory":false,"enableDelphiAttribution":false,"shouldAutoplay":false},"imageUrl":"https://m.media-amazon.com/images/I/51eLzn3BqwL._SY256._SY256.jpg","needPlayerFactory":false,"isMobile":false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live, currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off, selected Captions Captions off, selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. Bad quality. After two washes...'
'B07VYZ6CWB','Good','1.0 out of 5 stars','Quality not as expected'
'B07VYZ6CWB','Review','2.0 out of 5 stars','It’s ok type. Lyra is better than this'
'B07VYZ6CWB','Worest quality','1.0 out of 5 stars','Worst quality'
'B07VYZ6CWB','Good','5.0 out of 5 stars','Nice material Super'
'B07VYZ6CWB','Loved it.','5.0 out of 5 stars','Loved it. Good quality. Color same as shown in picture'
'B07VYZ6CWB','Super soft','5.0 out of 5 stars','Comfortable &elegant.'
'B07VYZ6CWB','Okay thank','4.0 out of 5 stars','This is a very good quality product but price is too high.'
'B07VYZ6CWB','Superb quality 👌','5.0 out of 5 stars','Very soft and comfortable fabric. Worth each penny. Thank you Amazon.'
'B07VYZ6CWB','Thin material... Not recommended','5.0 out of 5 stars','Thin material, peep through'
'B07VYZ6CWB','Not free size, it is loose','2.0 out of 5 stars','TODAY 17th Dec, 2022, This is pure white, feel is good and comfortable, full length but synthetic. Cloth is thin transparent, Bigs CON is it is loose on waist, but as I wanted a pure white I kept it. I had also ordered amazon brand pair of white and red leggings, but that amazon white is not white and creamish, so think before buying if you are 30 and below waist, it will not fit you. OVERALL GOOD. Only after few washes can give proper details.'
'B07VYZ6CWB','Nice','5.0 out of 5 stars','Flexible and durable'
'B07VYZ6CWB','Not bad','3.0 out of 5 stars','Okay material, soft and strechy but not cotton. Slightly longer than ankle length but does the job. No color bleeding'
'B07VYZ6CWB','Impressive','5.0 out of 5 stars','Quality of cloth and stitching is excellent. Seems free size would be appropriate only for size S and M women'
'B07VYZ6CWB','Tight','2.0 out of 5 stars','It is tight'
'B07VYZ6CWB',"Its equal to small size leggings is not free size it won't fit for large size ppl",'2.0 out of 5 stars','Fabric feels good but the fitting is too tight near waist good length but tight'
'B07VYZ6CWB','Good quality legging','5.0 out of 5 stars','Soft, comfortable and light in weight'
'B07VYZ6CWB','Beautiful ans super strechable leggings','4.0 out of 5 stars',"Pros: * just as shown in pic * Super strechable * Very comfortable on skin * Let's the skin breathe without making it too tight  Cons: * The material is a bit thin due to which it may not last long, especially in the seat zone"
'B07VYZ6CWB','Good product','4.0 out of 5 stars','Very good quality'
'B07VYZ6CWB','Nice','4.0 out of 5 stars','Product as expected'
'B07VYZ6CWB','Supperb.','5.0 out of 5 stars',"Reason that's makes it perfect: 1) 💯% soft and fine cotton material. 2) It's length is perfect for under 6ft height . 3) colour is bright and not fade after wash. 4) Front pocket given for occasionally uses. 5) Value for money.[259price with 20%coupon discount=207final price] for trusted brand RUPA."
