item,title,rating,body
'B07WJRY2QK','Original product','5.0 out of 5 stars','Product is good packaging and original product,affordable rate'
'B07WJRY2QK','Amazing product','5.0 out of 5 stars','It was very light weight and easy to carry and use. comfort level was very good and protection was very high'
'B07WJRY2QK','Very good','5.0 out of 5 stars','Liked'
'B07WJRY2QK','Value for money','2.0 out of 5 stars',"It's ok prices was little better without shipping charges.product is good."
'B07WJRY2QK','Laptop cover sleeve','4.0 out of 5 stars','Good material'
'B07WJRY2QK','Value for money','5.0 out of 5 stars','You can go for it ...... cheap n ok'
'B07WJRY2QK','Good quality 🤟','4.0 out of 5 stars','Nice 👌 one ☝️'
'B07WJRY2QK','Scratch free','5.0 out of 5 stars','Nice . Laptop scratch and other damage reduce.'
'B07WJRY2QK','Good Quality','5.0 out of 5 stars','Thank You Very Much !!!'
'B07WJRY2QK','Lovely product','5.0 out of 5 stars','I like the product. But its bit loose for my Hp 15.6 inch laptop. But still i ll manage. Good stuff'
'B07WJRY2QK','Nice product','5.0 out of 5 stars','Completely fits my laptop.Nice one.'
'B07WJRY2QK','Good one but Little bit space needed for 15.6 laptop','3.0 out of 5 stars',"It's fits for 15.6 display size laptop but harder to close the pouch since it's a ellastic able to manage or it would be worse good one!"
'B07WJRY2QK','Wow','5.0 out of 5 stars','Woowwwww'
'B07WJRY2QK','Good product','5.0 out of 5 stars','Good quality'
'B07WJRY2QK','This is waterfroof','5.0 out of 5 stars','100% a one quality'
'B07WJRY2QK','Quality is not so much, it is more thin.','2.0 out of 5 stars','Quality is not so much, it is more thin.'
'B07WJRY2QK','Money worth product','3.0 out of 5 stars','Good as expected comparing to money'
'B07WJRY2QK','Good one.','5.0 out of 5 stars','Worth the price'
'B07WJRY2QK','Best','5.0 out of 5 stars','Best he , ankh band karke lelo'
'B07WJRY2QK','Very nice dress for laptop','5.0 out of 5 stars','Quality of laptop dress is good U can go through it Very nice product'
'B07WJRY2QK','May damage laptop hinge','1.0 out of 5 stars','If the laptop is pushed in sideways, if the hinges jut out a little, then repeated friction can damage the laptop hinges, as happened with my Samsung laptop.'
'B07WJRY2QK','Genuinely nice..','5.0 out of 5 stars',"Its a solid product. Its slightly big for 15.6' laptop but that is ok. The cover is soft and well padded."
'B07WJRY2QK','Quality is very good','5.0 out of 5 stars','Value for money'
'B07WJRY2QK','Good product','5.0 out of 5 stars','Good product for this price range'
'B07WJRY2QK','It is a good product.','5.0 out of 5 stars','Correct fitting. Good looking and serves the purpose.'
'B07WJRY2QK','Laptop Cover','5.0 out of 5 stars','Good'
'B07WJRY2QK','It’s a good product','5.0 out of 5 stars','It’s worth the money'
'B07WJRY2QK','Good Material','5.0 out of 5 stars','Good material'
'B07WJRY2QK','Take it if you want but i would prefer air case','4.0 out of 5 stars','It is nice product'
'B07WJRY2QK','Smooth','5.0 out of 5 stars','Excellent'
'B07WJRY2QK','One time purchase product','2.0 out of 5 stars','Product is good'
'B07WJRY2QK','Good ....','3.0 out of 5 stars','Easy to use'
'B07WJRY2QK','Fantastic','5.0 out of 5 stars','Big Thumbs-up for the product !'
'B07WJRY2QK','Good product 👍 go for it','4.0 out of 5 stars','Quality'
'B07WJRY2QK','Cheap Quality','1.0 out of 5 stars',"Very bad quality product, it was extremely loose for the laptop, don't waste your money."
'B07WJRY2QK','Awesome product at low price','4.0 out of 5 stars','Ita value for money deal. Good grip and premium look.'
'B07WJRY2QK','Perfect for 15 or 15.5 inch laptop as well','5.0 out of 5 stars','Excellent fabric quality with great cushioning'
'B07WJRY2QK','Very Thick and safe','5.0 out of 5 stars','Cloth is very thick. Very much essential for Laptop safety'
'B07WJRY2QK','Best quality 👍','5.0 out of 5 stars','Product is good 😍'
'B07WJRY2QK','Useful product','5.0 out of 5 stars','Easy to carry, guards the laptop, I recommend to buy this.'
'B07WJRY2QK','Good quality','5.0 out of 5 stars','Good quality clothing used. Stitches are also sturdy. Good for long term use. Perfectly fits my asus M515DA-BQ312TS laptop, 15.6 inch. Go for it.'
'B07WJRY2QK','Value Product','5.0 out of 5 stars','Nice product'
'B07WJRY2QK','Good quality and perfect size','5.0 out of 5 stars','Holds my Dell 15.6 inch laptop perfectly. Quality is good and the stitching sppears to be strong. Good value for money.'
'B07WJRY2QK','Laptop cover','5.0 out of 5 stars','It’s a very nice product and very light and laptop got fit perfectly thank u Amazon for this laptop cover'
'B07WJRY2QK','very beautiful, sturdy, keep laptop scratch and dust proof','5.0 out of 5 stars','reversible, can be used both sides Black and red, its good laptop carry case, perfect fit, stretchable keep laptop new, sketch less for long time'
'B07WJRY2QK','Average quality','3.0 out of 5 stars','Not bad. Okay quality'
'B07WJRY2QK','Worth buying','4.0 out of 5 stars','Good quality and perfect size 15.6'
'B07WJRY2QK','👏','5.0 out of 5 stars','👏'
'B07WJRY2QK','Good Quality of material','5.0 out of 5 stars','Good material... not look like cheap.. value for money'
'B07WJRY2QK','Laptop sleeve','5.0 out of 5 stars',"It's soft and keeps the laptop safe. Great product at good price.."
