item,title,rating,body
'B07YT1PVNJ','Good quality','5.0 out of 5 stars','Good quality Good material 👌'
'B07YT1PVNJ','बेहतरीन','4.0 out of 5 stars','बेहतर'
'B07YT1PVNJ','The product is outdtanding','5.0 out of 5 stars','The product is out standing'
'B07YT1PVNJ','Size is not matching','1.0 out of 5 stars','Returned the material No good Size is too small'
'B07YT1PVNJ','Slimfit pant is too skinny','3.0 out of 5 stars','Though it is slimfit,it is too skinny type and so I returned.Those who are fond of this type may go ahead to buy.'
'B07YT1PVNJ','Nice formal pants','4.0 out of 5 stars','I like them. Good buy fro price.'
'B07YT1PVNJ','Bad Product','2.0 out of 5 stars','It is tight at the bottom of the legs, it feels like a churidar pajama after wearing, and the cloth has not been put in the sari at the bottom of the legs but has been left open, I am dissatisfied with this product at this price.'
'B07YT1PVNJ','Size is larger than the ordered size','1.0 out of 5 stars','I ordered two trousers with size 34. I have purchased many 34 size trousers before. But to my disappointment, one of the pants is too large for me. It feels like 36 to me. The other one with the same size fits very well.'
'B07YT1PVNJ','🥹','1.0 out of 5 stars','Money west'
'B07YT1PVNJ','Quality','4.0 out of 5 stars',"The quality is nice according to the price. The length is also long, longer than i expected. Not cuffed, idk if it's intentional or not. Button is kindaa small."
'B07YT1PVNJ','Good','5.0 out of 5 stars','Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good GoodGood Good Good Good Good Good Good Good'
'B07YT1PVNJ','Too smal','1.0 out of 5 stars','Too small. And was not able to return.'
'B07YT1PVNJ','Poor Quality','1.0 out of 5 stars','Not up to the mark'
'B07YT1PVNJ','Not Good','1.0 out of 5 stars','Dont buy products quality is not good'
'B07YT1PVNJ','too tight','1.0 out of 5 stars','its not a formal trouser, its track pant'
'B07YT1PVNJ','Bottom is tight','2.0 out of 5 stars','The media could not be loaded. Pant quality is good, stitching also good, but bottom is tight due to smaller size, bottom size should be increase by 1 inche.'
'B07YT1PVNJ','Not good','2.0 out of 5 stars','Ankle part of the pant is not stitched and the length is too long'
'B07YT1PVNJ','Ok','3.0 out of 5 stars','Ok'
'B07YT1PVNJ','Not fit','2.0 out of 5 stars','Fiber is good but not in fit size or'
'B07YT1PVNJ','Excellent','4.0 out of 5 stars','Nice product'
'B07YT1PVNJ','Bad','1.0 out of 5 stars','Hole near the jip'
'B07YT1PVNJ','Very poor and cheap fabric. Really disappointing.','1.0 out of 5 stars',''
'B07YT1PVNJ','Material is good but','2.0 out of 5 stars','Fitting is not good'
'B07YT1PVNJ','The Material is not comfortable to wear for long hours.','2.0 out of 5 stars','it should be fun to wear the whole day but it is not. it is slippery when you sit and itches a bit. you might sweat on hot days in these.'
'B07YT1PVNJ','Symbal men formal pant','2.0 out of 5 stars','Wast Quality'
'B07YT1PVNJ','This pant is very good 👍','4.0 out of 5 stars','I like this pant. Pant is very good 👍 Thank you'
'B07YT1PVNJ','Nice 👍','4.0 out of 5 stars','Nice prodect and good quality'
'B07YT1PVNJ','Large size','3.0 out of 5 stars','Anyone who is around 5,7 to 5,11 order size 30 not 32 , 32 is very large.'
'B07YT1PVNJ','सिलाई में आलस','3.0 out of 5 stars','The media could not be loaded. फिटिंग सही है मगर किनारो को मोड़ कर सिलाई नही की जिसकी वजह से इसकी उमर कम हो गई और दिखने में किसी नोसीखिए ने सिया हो ऐसा लगता है'
'B07YT1PVNJ','Quality','4.0 out of 5 stars','Good'
'B07YT1PVNJ','Worst experience ever','1.0 out of 5 stars','Bhai khrab quality ka kapda use kiya hai  Pure me roye nikl aaye hai  Ye 300 rs ki keemat me bhi mehga hai  Mt khreedna'
'B07YT1PVNJ','Tight from thigh till ankle','4.0 out of 5 stars',"The product looks too good and elegant for the price but except waist it's too tight for specified size as it looks like skin fit"
'B07YT1PVNJ','Wow','5.0 out of 5 stars','Great comfort'
'B07YT1PVNJ','Exllent','5.0 out of 5 stars','Good quality for the money I paid Good quality for the money I paid'
'B07YT1PVNJ','best','5.0 out of 5 stars','must buy'
'B07YT1PVNJ','Average quality','3.0 out of 5 stars','Average quality'
'B07YT1PVNJ','Good quality','5.0 out of 5 stars','Nice looking'
'B07YT1PVNJ','Nice','4.0 out of 5 stars','Nice product'
'B07YT1PVNJ','Over all good','4.0 out of 5 stars','Nice product'
'B07YT1PVNJ','Thank you','5.0 out of 5 stars','Great quality'
'B07YT1PVNJ','Amazon brand Symbol brand is really very good','5.0 out of 5 stars','Thankyou very much'
'B07YT1PVNJ','No packaging on the product.','3.0 out of 5 stars',"The product is good. I'm not sure why it was delivered without amazon packaging."
'B07YT1PVNJ','KMS','5.0 out of 5 stars','nice'
'B07YT1PVNJ','Very bad pant','1.0 out of 5 stars','Very bad product. Never buy this product'
'B07YT1PVNJ','Material is bad','2.0 out of 5 stars','Very comfortable nice stitching but the quality of cloth used is very bad.'
'B07YT1PVNJ','Nice','4.0 out of 5 stars','Perfect fitting'
'B07YT1PVNJ','Best','5.0 out of 5 stars','Exactly what I wanted thanks symbol'
'B07YT1PVNJ','Torned in 1st Day In Office. Pathetic Experience.','1.0 out of 5 stars','Torned in 1st Day In Office. Pathetic Experience. Never Buy.'
'B07YT1PVNJ','Not good fit in the waist','3.0 out of 5 stars','Although product is good but fit is not good , the waist is bigger than the size'
'B07YT1PVNJ','Pedicure fit❤️','5.0 out of 5 stars','Im 183 cm/ 6’0 ft , 36 waist and this is perfect fit for me with option to shorten or adjust the ankel trouser material. ✅ recommended'
