item,title,rating,body
'B07YWNB9T5','Good','4.0 out of 5 stars','Good better offer'
'B07YWNB9T5','Plzz exchange it. Thanku','3.0 out of 5 stars',''
'B07YWNB9T5','Hair fall','1.0 out of 5 stars','Hair fall'
'B07YWNB9T5','No hair fall','5.0 out of 5 stars','Useful'
'B07YWNB9T5','Shampoo is not good for curly hair','2.0 out of 5 stars','Not recommended, it increases the hair fall.'
'B07YWNB9T5','It is sad to see such tempred item was delivered','1.0 out of 5 stars','The media could not be loaded.'
'B07YWNB9T5','Does not stop hairfall and makes ur scalp too dry','1.0 out of 5 stars','Does not solve hairfall issue it has increased instead'
'B07YWNB9T5','Bad product','1.0 out of 5 stars',"Chi it's very bad My hair becomes rough Hair fall increasing  Don't buy it's 😞😞😞😞😞😞😞😞 bad"
'B07YWNB9T5','Good','3.0 out of 5 stars',"It's ok"
'B07YWNB9T5','not as what they said for product, total wastage of money','1.0 out of 5 stars','keep ur words'
'B07YWNB9T5','Excellent Color and Fragrance','5.0 out of 5 stars','It freshens up the head. After feel is good.'
'B07YWNB9T5','Achcha tha','5.0 out of 5 stars','👍 good'
'B07YWNB9T5','Product was broken……it was poor packaging','1.0 out of 5 stars',''
'B07YWNB9T5','Worst shampoo','5.0 out of 5 stars','I used this product for my hairfall.... Instead of improving it deteriorated my hair condition.....'
'B07YWNB9T5','Reduce of hair fall','5.0 out of 5 stars',"It's really work.. My hairfall reduced remarkbly within four wash.. It's really harbal product  One sugesstion pls use oil in hair after using it"
'B07YWNB9T5','Quality Not So Good','2.0 out of 5 stars','I would not recommend this product for regular usage because this product have quality issues and void purchasing it.  Better use Aloe Vera shampoo for smoothness and for healthy hair growth..'
'B07YWNB9T5',"This product isn't seems original",'1.0 out of 5 stars',"This product isn't seems original"
'B07YWNB9T5','Not recommended','5.0 out of 5 stars',"Doesn't work as expected."
'B07YWNB9T5','Purchased in good deal','4.0 out of 5 stars',''
'B07YWNB9T5','Super','5.0 out of 5 stars','Super, I tried many types of shampoos but no use . Biotique anti hair fall shampoo is working good, my hair fall reduced after two washes but Biotique oil not worked to me'
'B07YWNB9T5','solid choice','5.0 out of 5 stars','One of its unique features is the absence of harsh chemicals such as sulfates and parabens, making it gentle on hair and suitable for regular use The faint scent doesn’t overpower or detract from the overall experience greater than.  Using this shampoo consistently can make it seem easier and more manageable. However, it may not show immediate results in terms of hair loss, so patience is the key. The shopping feature makes it accessible to a wide range of customers. Overall, Biotic Ocean Kelp Anti Hairfall Shampoo is a promising option for those looking for a gentle natural solution to hair fall issues.'
'B07YWNB9T5','Not worth the price','2.0 out of 5 stars','Waste of money . Makes hair sooo rough'
'B07YWNB9T5','Makes my hair very dry','3.0 out of 5 stars','The media could not be loaded.'
'B07YWNB9T5','Not at all effective','1.0 out of 5 stars','I am reviewing this after using it for more than a month....forget about reducing hairfall....it makes my hair sticky and dry after every wash....not at all satisfied with the results..😔😔'
'B07YWNB9T5','This shampoo available in buy one get one offer at Reliance SMART Stores','4.0 out of 5 stars','The media could not be loaded.'
'B07YWNB9T5','Ingredients on label','1.0 out of 5 stars',"I can see product ingredients in the displayed image when I buy but in actual product doesn't have any that details. Not sure it is genuine product or not."
'B07YWNB9T5','Do not Buy this product','1.0 out of 5 stars','This is not good at all. I did not like. Do not go for this.'
'B07YWNB9T5','Hate the smell','3.0 out of 5 stars','I somehow don’t like the smell'
'B07YWNB9T5','Good...','4.0 out of 5 stars',"Was using Dove Daily Shine shampoo since 2013, but started losing hair in the last 2 years and i could feel it was shampoo-related... while exploring options on Amazon I read someone's positive review who was also using Dove and then switched to this one... tried and now I am sharing my positive experience... try it... 🙂"
'B07YWNB9T5','Hair falls not stop, infact increase too mu','1.0 out of 5 stars','Very useless product'
'B07YWNB9T5','Effective','5.0 out of 5 stars','Effective against hair loss and dandruff....used this shampoo for more than 6 months'
'B07YWNB9T5','Good for hair fall','4.0 out of 5 stars','It reduces hair fall and it is evident.. you can see the result after 2 or three wash.'
'B07YWNB9T5','Quality','1.0 out of 5 stars','The product quality is too bad ..and I think that the product is used already'
'B07YWNB9T5','Smooth and less fizzy hair','4.0 out of 5 stars','Biotique Ocean Kelp Shampoo is a popular hair care product that formulated to address the issue of hair fall. This shampoo is enriched with natural ingredients that help to strengthen hair follicles, promote hair growth, and reduce hair fall.  The key ingredient in this shampoo is Ocean Kelp, which is known for its high mineral content. It helps to nourish the scalp and hair follicles, promoting healthy hair growth. Other natural ingredients like Bhringraj, Tesu, and Neem also help to strengthen hair and reduce hair fall.  This shampoo is suitable for all hair types and can be used by both men and women. It is free from harmful chemicals like SLS, parabens, and synthetic fragrances, making it a safe and gentle option for those with sensitive skin.  smells so good,  Useing this shampoo for past few days and have seen significant reduction in hair fall and an improvement in hair texture and volume. I hope using this shampoo can also help to prevent dandruff and other scalp conditions.  Overall, it is a highly effective and affordable hair care product that can help to address the issue of hair fall and promote healthy hair growth.'
'B07YWNB9T5','Good','4.0 out of 5 stars','Good'
'B07YWNB9T5','Shampoo','3.0 out of 5 stars','Shampoo is partially damaged'
'B07YWNB9T5','Spoils hair texture !','1.0 out of 5 stars','This dried my hair out badly. Could be that it’s not suitable for fine straight hair. But it made my hair so rough n coarse that even using a leave in conditioner is not helping with all the frizz. Does nothing for hair fall. Plus such a huge bottle. Such a waste. It smells like detergent.'
'B07YWNB9T5','good .','4.0 out of 5 stars','ok good product.'
'B07YWNB9T5',"Not working it's job",'1.0 out of 5 stars','Too much watery foam.requires lots of shampoo to wash hairs'
'B07YWNB9T5','Good Product','4.0 out of 5 stars','Nice product'
'B07YWNB9T5','A nice product','4.0 out of 5 stars','I am using this shampoo and I can say you can go for it.'
'B07YWNB9T5','Good one','5.0 out of 5 stars','I used this shampoo a couple times. Really seems to reduce hair fall. It has no added chemicals. No strong smell. I like it'
'B07YWNB9T5','Value for money','5.0 out of 5 stars','Nice product'
'B07YWNB9T5','NICE','3.0 out of 5 stars','NICE'
'B07YWNB9T5','Original','4.0 out of 5 stars','Original product'
'B07YWNB9T5','Good product','4.0 out of 5 stars','Good product'
'B07YWNB9T5','Shampoo bahar nikal raha tha packaging bahut bekar hai','1.0 out of 5 stars','Product bahut achcha hai per packaging bahut bekar hai shampoo bahar nikala hua Mila'
'B07YWNB9T5','very useful for the hair','5.0 out of 5 stars',"The Biotique Bio Ocean Kelp Anti Hair Fall Shampoo is a true hair growth therapy in a bottle! I've been using it for a while now, and I'm thrilled with the results.  First and foremost, the shampoo's natural ingredients, especially the ocean kelp, make it stand out from other products in the market. It feels great to know that I'm using a chemical-free and eco-friendly product on my hair.  The anti-hair fall formula has worked wonders for me. After using this shampoo for a few weeks, I noticed a significant reduction in hair fall. It not only prevents hair breakage but also promotes new hair growth, which is fantastic!  The 650ml bottle provides excellent value for money. A little goes a long way, and the shampoo lathers up well, cleansing my scalp thoroughly without over-drying.  I must mention the pleasant herbal fragrance of the shampoo. It leaves my hair smelling fresh and rejuvenated after each wash.  The Biotique Bio Ocean Kelp Anti Hair Fall Shampoo has improved the overall texture and health of my hair. My locks feel softer, smoother, and more manageable.  The packaging is sturdy and leak-proof, ensuring the product arrives in perfect condition. Additionally, the delivery from Amazon was quick and hassle-free."
'B07YWNB9T5','Average','3.0 out of 5 stars','Product is average.'
'B07YWNB9T5','Reduce hairfall','5.0 out of 5 stars','Found it very beneficial'
