item,title,rating,body
'B08189Z5DX','Good one','4.0 out of 5 stars','I like this product'
'B08189Z5DX','Awesome👌','5.0 out of 5 stars','I like colour , fabric and fitting'
'B08189Z5DX','Very fine quality','5.0 out of 5 stars',"I like it's fabric quality 🙂"
'B08189Z5DX','Very good material','4.0 out of 5 stars','Bought for my kids and very suitable for them.'
'B08189Z5DX','What a good pant','4.0 out of 5 stars','Very comfortable and durable'
'B08189Z5DX','Best','4.0 out of 5 stars','Good 👍 quality 👌'
'B08189Z5DX','T2F for boys.','4.0 out of 5 stars','Like'
'B08189Z5DX','Comfortable','5.0 out of 5 stars','My son liked it.'
'B08189Z5DX','Liked so much','5.0 out of 5 stars','Worth for money...nice fit n fabric..'
'B08189Z5DX','Nise paint','5.0 out of 5 stars','Like is product'
'B08189Z5DX','Good quality at price.','5.0 out of 5 stars','Fabric is good. Thicker than other brands. Stitching quality & print is also good. Buy it'
'B08189Z5DX','Good product','5.0 out of 5 stars','Nice quality, good product.'
'B08189Z5DX','Worth for money','4.0 out of 5 stars','Thickness needs correction, quite thick'
'B08189Z5DX','😨👕','1.0 out of 5 stars','Kpada achha nhi tha'
'B08189Z5DX','Value for money','5.0 out of 5 stars','Best quality and fitting'
'B08189Z5DX','Excellent','5.0 out of 5 stars','Loved it | worth it 👍'
'B08189Z5DX','Fitting','5.0 out of 5 stars','Size is perfect'
'B08189Z5DX','Beast packing','3.0 out of 5 stars',''
'B08189Z5DX','Very happy to get this, like this product and price is also very good','5.0 out of 5 stars','Market se aacha product hai,my son happy to wear this, quality of product is also good,and colour is also very nice.'
'B08189Z5DX','Good Quality and Fitting at an affordable price','5.0 out of 5 stars','Very Good Casual wear for children'
'B08189Z5DX','good Comfort','5.0 out of 5 stars','Very good'
'B08189Z5DX','🤮','2.0 out of 5 stars','I dislike this product because it was not good quality that’s why I am returning this product to the store 🙏'
'B08189Z5DX','Very nice quality and true to size..very very nominal price.','5.0 out of 5 stars',''
'B08189Z5DX','Johgers','4.0 out of 5 stars','Nice product'
'B08189Z5DX','Size issue.','4.0 out of 5 stars','The product is nice but size is the problem.I ordered 5-6 yrs size and got a very small size then I exchanged it to 7-8 yrs old size and the size is good for my child.try to go for one bigger size'
'B08189Z5DX','Very nice','5.0 out of 5 stars','The material is nice n thick'
'B08189Z5DX','Huge disappointment','1.0 out of 5 stars','Received a used product with no tag. Just returned in the spot.'
'B08189Z5DX','Good quality product','5.0 out of 5 stars',"Quality is good only thing there's no brand name on the product"
'B08189Z5DX','Poor','1.0 out of 5 stars','Poor'
'B08189Z5DX','Scecond time buyed this stuff ,bcoz more trusted brand','5.0 out of 5 stars','Nice superb fabric quality accordingly to preice I hot this pair @370rs.'
'B08189Z5DX','Very good product 💯💯','5.0 out of 5 stars','Very good product 💯💯'
'B08189Z5DX','Quality of Material','5.0 out of 5 stars','Value for Money'
'B08189Z5DX','Good product','5.0 out of 5 stars','I like this product'
'B08189Z5DX',"It's fabric",'4.0 out of 5 stars','Nice and comfortable'
'B08189Z5DX','Good item','4.0 out of 5 stars','Good item at good price.'
'B08189Z5DX','Good','5.0 out of 5 stars','Nice track and comfortable worth the money spent'
'B08189Z5DX','Good quality','4.0 out of 5 stars','Good quality fabric lower'
'B08189Z5DX','Must buy','5.0 out of 5 stars','Good one...'
'B08189Z5DX','Ok','3.0 out of 5 stars','Ok for this price'
'B08189Z5DX','Quality','5.0 out of 5 stars',"Quality is awesome appropriate for age I'm happy"
'B08189Z5DX','Good','4.0 out of 5 stars','Good and quality is as expected'
'B08189Z5DX','Good quality','5.0 out of 5 stars','Super'
'B08189Z5DX','Very nice','5.0 out of 5 stars','Nice products'
'B08189Z5DX','Good','4.0 out of 5 stars','Good'
'B08189Z5DX','Average product','3.0 out of 5 stars','Average quality stuff. Nothing special to mention'
'B08189Z5DX','Ok','3.0 out of 5 stars','Ok kinda product'
'B08189Z5DX','Good','3.0 out of 5 stars','Average product at this price.'
'B08189Z5DX','Nice','5.0 out of 5 stars','Nice'
'B08189Z5DX','Very nice','5.0 out of 5 stars','Apne bache ke liye'
'B08189Z5DX','Sold very old stock','4.0 out of 5 stars','All 3 track pants i bought got holes aftwe few washes. The seller sent very old stock thats the reason why there were torn and got holes within 2-3 months.'
