item,title,rating,body
'B0822PXJ1N','Not Exepected: very poor adhesive quality','2.0 out of 5 stars',"Very disappointed with adhesive quality. It doesn't match this type of duct tape standards of adhesive....needs to improve ..."
'B0822PXJ1N','One of the worst product from amazon basics','1.0 out of 5 stars',"I have never expected that the amazon basics product can even fall in the range of below average. I believe this product is literally worse in it's category. The only good part is it's tearbility. You can easily tear it down, other than that not worthy."
'B0822PXJ1N','Very low quality','1.0 out of 5 stars','The media could not be loaded. Gum not working.no sticky.working like very old tape.'
'B0822PXJ1N','Does not stick properly','1.0 out of 5 stars','Keeps falling off. Not worth the money spent.'
'B0822PXJ1N','Complete waste of money!!','1.0 out of 5 stars',"This tape is so gooood that it won't stick on any damn surface. I have wasted my money on it..I know the top reviews are really great even I fell for them but this thing doesn't work at all."
'B0822PXJ1N','Best as per price, quantity & quality','5.0 out of 5 stars','The media could not be loaded. Very good purchase.'
'B0822PXJ1N','Adhesive very week','2.0 out of 5 stars','It does not stop water leakage came off easily on water pipe.'
'B0822PXJ1N','Not worth it','1.0 out of 5 stars','The tape is not good at all. No adhesive no strength'
'B0822PXJ1N','Overall Nice Product, but not effectively water resistant.','4.0 out of 5 stars','Overall Nice Product, but not effectively water resistant.'
'B0822PXJ1N','Adhesive is not good.','3.0 out of 5 stars','Adhesive is not that great, tends to peeloff after dat or 2.'
'B0822PXJ1N','Not duct tape','2.0 out of 5 stars',"This isn't duct tape, duct tape is supposed to tear apart when you try pulling it off very poor quality tape but still useful for regular stuff"
'B0822PXJ1N','Good','5.0 out of 5 stars','Very big rolls. Easy to apply and tear. Exact length as mentioned 60 yards I.e around 55 meters. Worth buying.'
'B0822PXJ1N','Worth the money','5.0 out of 5 stars','Nothing much to tell .. lives to the Amazon basics quality and value. Just buy it blindly'
'B0822PXJ1N',"It's not at all worth spending money on",'1.0 out of 5 stars',"Poor adhesion.. worthless.. don't be fooled by the quantity"
'B0822PXJ1N','Strong and durable','5.0 out of 5 stars','The tape quality is very good and so is the adhesive.'
'B0822PXJ1N','Good one','5.0 out of 5 stars','Very good product for pcking and insulation'
'B0822PXJ1N','Overpriced and not too good!! Waste of money!!','3.0 out of 5 stars','There are better products available at a cheaper price.'
'B0822PXJ1N','Poorest adhesive','1.0 out of 5 stars',"Normal ones are having better adhesive than this. It came out within a day of applying to the surface. They are looting on the name of the amazonbasics. Plus its size is too much, not even worth to waste storage space at home. Better place is in garbage bin. Don't buy. Yeah, I am venting coz I wasted money and now my wife keeps taunting me about this. So better not buy this."
'B0822PXJ1N','General Purpose Duct Tape','5.0 out of 5 stars','It was useful for holding a variety of things together.'
'B0822PXJ1N','Good','5.0 out of 5 stars','Very good tape. Value for money. Good adhesive.'
'B0822PXJ1N','Decent buy, Value for money','4.0 out of 5 stars',"Good product, value for money. Good adhesion. Though haven't checked yet its efficacy in water yet. So can't comment on that."
'B0822PXJ1N','good','5.0 out of 5 stars','good. Awesome material and adhesive. I repaired a discoloured bed table by wrapping the tape around and it looks like new now.'
'B0822PXJ1N','Product description needs to be reviewed','3.0 out of 5 stars',"Why is the product description absurd and totally inappropriate and it's a pity it hasn't been reported by anyone. ....."
'B0822PXJ1N','Good','5.0 out of 5 stars','Good to usage'
'B0822PXJ1N','good','5.0 out of 5 stars','ok'
'B0822PXJ1N','This is a BIG roll of tape..','4.0 out of 5 stars','Very large tape.. see my hand for comparison. So keep that on mind when ordering this as it is a pack of 2.. As a tape it is quite decent, not the best out there but should be OK for minor applications.'
'B0822PXJ1N','Ok ok product','3.0 out of 5 stars','Tape to achi hai but jo is mai gum use hueme hai vo aachi nhi jldi chipakti nhi'
'B0822PXJ1N','Best','5.0 out of 5 stars',"AmazonBasics don't need my review. Everything of amazon brand has always been better than expected. This duct tape is literally good enough to patch up the wagons of a train together 😂😂😂"
'B0822PXJ1N','ITS A BASIC JUST BUY IT','5.0 out of 5 stars',"It's a basic that I didn't knew I needed but now that I have it it will also be a must to keep in my house......its good for fixing anything and tears easily, which u consider a good bonus point"
'B0822PXJ1N','Must have!','5.0 out of 5 stars',"Strong adhesive tape. Multipurpose. Any handyman's must have!"
'B0822PXJ1N','N/A','N/A','ottimo prodotto ,resistente e di buona qualità'
'B0822PXJ1N','N/A','N/A','Das Tape ist von der Qualität so gut wie von  Markenanbietern. Kein Vergleich zu dem Billigband,aus dem Euroshop. Auf die Meter umgerechnet ist es sogar billiger.'
'B0822PXJ1N','N/A','N/A','Prezzo ok, ma non attacca come il 3M......evidentemente'
'B0822PXJ1N','N/A','N/A','Preis leistung unschlagbar'
'B0822PXJ1N','N/A','N/A','Ich wickele damit Pakete ein, eignet sich sehr gut. Preis-Leistung ist in Ordnung, der Kauf hat sich gelohnt(zum wiederholten Male).'
'B0822PXJ1N','N/A','N/A',"Je mets rarement 5 étoiles à un produit, mais là je suis scotchée (et sans jeu de mots !). Adhérence parfaite, ni trop fin ni trop épais, belle couleur (argent). Sceptique au départ, conquise à l'arrivée ! Utilisez surtout de bons ciseaux pour couper net (il ne laisse pas de traces de colle sur les lames des ciseaux), il se pose sans faire de plis ni de bulles (aidez avec le bout des doigts ou le plat de la main), et la solidité est au rendez-vous. Certains enlèveront une étoile pour le bruit au déroulage. Pour moi, cela n'enlève rien aux qualités de ce ruban adhésif. Donc oui 5 étoiles sans hésiter."
'B0822PXJ1N','N/A','N/A','Sehr gutes Tape-klebt, hält und lässt sich gut reißen. Klare Empfehlung!'
'B0822PXJ1N','N/A','N/A','Neben der guten Haftung können die benötigten Längen auch von Hand ohne Schere abgetrennt werden. Sehr vielseitig verwendbar.'
'B0822PXJ1N','N/A','N/A','Non è versatile come i nastri telati più blasonati (penso a Henkel e 3M o a quelli americani come Gorilla) perché non si stira molto quindi non aderisce con la stessa forza. Insomma, non consente riparazioni miracolose ma è comunque utile allo scopo e, a questo prezzo, non potrei chiedere di meglio.'
'B0822PXJ1N','N/A','N/A','accettabile qualità/prezzo non è adatto a tutto ciò che qui di seguito promette: Nastro adesivo per uso generico (2 rotoli), ideale per aggraffature, sigillature, rattoppature, cinturaggio, riparazioni, etichettatura, mascheratura, ecc.; adatto a uso in interni ed esterni Adesivo forte, per fissaggi ad ottima tenuta; aderisce a superfici ruvide, tra cui pietre, stucco, legno, mattoni e gesso'
'B0822PXJ1N','N/A','N/A',"It's very easy to shear, which is nice - I have used other brands and sometimes they are horrible. It also sticks quite alright, but don't expect something like 3M adhesion. Works and I would buy again."
'B0822PXJ1N','N/A','N/A','brico'
'B0822PXJ1N','N/A','N/A','Wegen seiner ausserordentlichen Haftkraft bei gleichzeitiger Fähigkeit zur einfachen und rückstandlosen Entfernung erarbeitet sich dieses Klebeband bei mir viele neue Anwendungen, z.B - Temporäres Festkleben von Teppichecken/-rändern von neu gelieferten, gerollten d.h. sich hochstellenden Teppichen, auf Laminat- und oder Parkettboden, bis nach ca. 1 Woche alles wieder glatt ist - Kleben von "Übergangsflicken" in der Innenseite von Schuhen, z.B. bei Nahtkreuzungen, die sonst zu Blasen/Druckstellen am Fuss führen würden. Insgesamt empfehlenswert, ein gutes Preis-Leistungsverhältnis - ein "wirkliches" Amazon-Basics Produkt!'
'B0822PXJ1N','N/A','N/A','Passt'
'B0822PXJ1N','N/A','N/A','Due rotoli al prezzo di uno e consistenza ottima, migliore di molti prodotti di marca.'
'B0822PXJ1N','N/A','N/A','Hält super und kann abgerissen werden. Also ohne Schere, schnell einen Karton zu kleben'
'B0822PXJ1N','N/A','N/A','Coller et jointer des plaques de polyester'
'B0822PXJ1N','N/A','N/A','.........ein band was klebt!!!!!!!!! super'
'B0822PXJ1N','N/A','N/A','Für den Preis ist die Qualität angemessen'
'B0822PXJ1N','N/A','N/A','Panzertape sollte man immer zu hause haben. Alles super.'
