item,title,rating,body
'B082MXPRC7','duplicate','1.0 out of 5 stars','is bar ka product duplicate hai . isse hair loss band nahi hua'
'B082MXPRC7','Good 👍','4.0 out of 5 stars',"I don't like the fragrance .but it make hair silky."
'B082MXPRC7','Good','5.0 out of 5 stars','Good'
'B082MXPRC7','Waste money','2.0 out of 5 stars','Bal Aur Bhi Jyada jhadane Lag gaye. 😒'
'B082MXPRC7','Best to buy for healthy hair','5.0 out of 5 stars','Best I have ever used good for strength and Hari fall'
'B082MXPRC7',"Don't buy please",'1.0 out of 5 stars',"Don't use please after using this my hair falls stats more than before"
'B082MXPRC7','Silky, shiny, and smooth hair','4.0 out of 5 stars','Kesh King Ayurvedic Anti Hairfall Shampoo is a true hair care gem. Infused with 21 natural ingredients including Aloe Vera, Bhringraja, and Amla, it not only reduces hair fall but also promotes silky, shiny, and smooth hair. The potent blend of herbs strengthens hair roots, leaving your locks visibly healthier. Experience the goodness of Ayurveda and say hello to gorgeous, luscious hair!'
'B082MXPRC7','Good','5.0 out of 5 stars','Good'
'B082MXPRC7','Worst','1.0 out of 5 stars','I always had hairfall bt when i used this like 3-4 times it made my hair dry and frizzy and i suffered excess hairfall than usual .. plus the smell it like nirma or some detergent'
'B082MXPRC7','Use hone k baad?','4.0 out of 5 stars','Use karne ke baad hairfall hone lga 😔😔'
'B082MXPRC7','Good Quality','3.0 out of 5 stars','Good Quality'
'B082MXPRC7','Received less items','1.0 out of 5 stars','It was a pathetic experience for me as I received less no of item with respective of ordered package/combo item'
'B082MXPRC7','Nice oil for hair fall','5.0 out of 5 stars','Nice oil for hair fall the best oil for women used of regular for best result 🙂😉😉😉😉 go for it No problem'
'B082MXPRC7','Very bad product','1.0 out of 5 stars','Soapy smell not for herbal shampoo'
'B082MXPRC7','Poor packaging 👎👎👎','1.0 out of 5 stars','Dislike ...Aise kaun order laata hai.... Disrespectful 👎👎👎👎'
'B082MXPRC7','Waste of money','1.0 out of 5 stars','Waste of money'
'B082MXPRC7','Bad qwalitiy','1.0 out of 5 stars','Bad qwality'
'B082MXPRC7','Much better than other chemical laced shampoos','5.0 out of 5 stars','Very good shampoo'
'B082MXPRC7','Nice product','4.0 out of 5 stars','Nice product'
'B082MXPRC7','I got my lifetime hair shampoo 🧴 forever','5.0 out of 5 stars','What a strength this shampoo giving to hair, after using this shampoo hair thickness increased 3 times, hair fall decreased, felt baldness decreased.'
'B082MXPRC7','Very nice product I like it 😊','5.0 out of 5 stars','Every thing is good 👍'
'B082MXPRC7','Good product','5.0 out of 5 stars','Good product'
'B082MXPRC7','Leaked product received','1.0 out of 5 stars','The media could not be loaded. Leaked product received'
'B082MXPRC7','Good','4.0 out of 5 stars','Value for money'
'B082MXPRC7','Worthy','5.0 out of 5 stars','Worthy♨️ buy this product and useful, for new growth of hair🌻 The product packing was good and quantity was good overall this was just wondering 🤠 And institutions was clear for beginners how to use the process of this product 🌈🙌'
'B082MXPRC7','Amazing','5.0 out of 5 stars',"You will see the desired changes for your hair atleast after three washes. Your hair looks very shiny and healthy it's pure ayurvedic so go for it. I got it at very cheaper price than MRP."
'B082MXPRC7','Very bad performance','2.0 out of 5 stars','Most of my hair fell out within a few days of using it'
'B082MXPRC7','Original and best quality product','5.0 out of 5 stars','Original and best quality product'
'B082MXPRC7','Good','4.0 out of 5 stars','I loved it! Its the best thing for my sensitive skin'
'B082MXPRC7','Better than others ayurvedic shampoos','5.0 out of 5 stars','It helps to reduce the hair fall. It makes to hair shiny and smooth. It’s fragrance can be improved.'
'B082MXPRC7','Must buy','5.0 out of 5 stars','Very good shampoo after one wash my hair is so soft n shines'
'B082MXPRC7','Ok ok','4.0 out of 5 stars','Nice'
'B082MXPRC7','Ok ok product','3.0 out of 5 stars',"It's very cheap and u get more quantity but you have to use double or triple quantity than u r using other shampoo.. little foam"
'B082MXPRC7','Nice','4.0 out of 5 stars','Nice'
'B082MXPRC7','Bahut acha h hairful cartol 🥰','5.0 out of 5 stars','Acha products h hairful cartol🥰'
'B082MXPRC7','Good pricing','5.0 out of 5 stars','Got it at a low price'
'B082MXPRC7','Good for regular use','3.0 out of 5 stars',"It good for regular use. But if you have something to cure or special need then go for other brands. But for daily and silky hair. It's okay."
'B082MXPRC7','Ok','4.0 out of 5 stars','Good according to price.'
'B082MXPRC7','Worstttt product','1.0 out of 5 stars','I don’t know about another people but this shampoo didn’t suit me and family. It caused a lot of hair fall more than actually it was. Think twice before purchasing it.'
'B082MXPRC7','Good product','4.0 out of 5 stars','Good product'
'B082MXPRC7','Worst','1.0 out of 5 stars','Bad experience'
