item,title,rating,body
'B082ZJPCC6','Good quality for the price','4.0 out of 5 stars','Need it to be little bit more smooth, relatively good product'
'B082ZJPCC6','Nice','5.0 out of 5 stars','{"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"clientPrefix":"vse_reviews_desktop_rkukakbh5mh1e_1697124960462","closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"260-5485814-9149716","refMarkers":"vse_reviews_desktop_RKUKAKBH5MH1E_1697124960462_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"NWTGC1CWM0T2DEFY9NEA","customerId":"0","sessionType":1},"mimeType":"application/x-mpegURL","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"RKUKAKBH5MH1E","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_RKUKAKBH5MH1E_1697124960462_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"videoHeight":0,"videoWidth":0,"initialClosedCaptions":"en,https://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/969219d4-8e0e-46f4-9312-170b37b1656f.vtt","videoUrl":"https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/83174aa5-e336-4424-8fa1-fb8f7570ef18/default.vertical.jobtemplate.hls.m3u8","metricsEmissionMethod":"sushi","awaConfig":{"useUpNextComponent":false,"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"initialVideo":"RKUKAKBH5MH1E","shouldPreload":true,"enableClickBasedAttribution":false,"isChromelessPlayer":false,"closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"isVideoImmersivePlayer":false,"metricsEmissionMethod":"sushi","skipInitialFocus":false,"playerSkin":"none","disabledViewIds":["replayHint"],"customerId":"0","containerId":"vse_reviews_desktop_rkukakbh5mh1e_1697124960462-player-73a0f294-efe7-4540-8b5f-5643c0201cfd","requestMetadata":{"marketplaceId":"A21TJRUUN4KGV","clientId":"VSE-IN","method":"cr_inline_review","requestId":"NWTGC1CWM0T2DEFY9NEA","pageAsin":"","sessionId":"260-5485814-9149716"},"shouldLoop":false,"shouldDisableControls":false,"alwaysSetInitialVideo":true,"showPlayerCloseButton":false,"clientPrefix":"","useAutoplayFallback":false,"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"260-5485814-9149716","refMarkers":"vse_reviews_desktop_RKUKAKBH5MH1E_1697124960462_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"NWTGC1CWM0T2DEFY9NEA","customerId":"0","sessionType":1},"ospLinkCode":"","showPosterImage":true,"languageCode":"en","version":"","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"RKUKAKBH5MH1E","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_RKUKAKBH5MH1E_1697124960462_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"shouldStartMuted":false,"airyVersion":"VideoJS","languagePreferenceStrings":{},"enableInactiveFocus":true,"isReactFactory":false,"enableDelphiAttribution":false,"shouldAutoplay":false},"imageUrl":"https://m.media-amazon.com/images/I/51eQV6P6EBL._SY256._SY256.jpg","needPlayerFactory":false,"isMobile":false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live, currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off, selected Captions Captions off, selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. Nice quality or product'
'B082ZJPCC6','Good Quality','5.0 out of 5 stars','Leather quality is good'
'B082ZJPCC6','Excellent Leather Belt','5.0 out of 5 stars','I liked this leather belt from hide & skin. The belt is every penny worth of money spend to purchase. Do not think twice if you are looking to purchase. Excellent hide & skin.  Deepak goyal'
'B082ZJPCC6','Like the material of belt','5.0 out of 5 stars',''
'B082ZJPCC6','Quality not good','1.0 out of 5 stars',''
'B082ZJPCC6','Leather','5.0 out of 5 stars','Quality is good'
'B082ZJPCC6','Good Product','3.0 out of 5 stars','Good Product'
'B082ZJPCC6','Good','5.0 out of 5 stars','Quality I like'
'B082ZJPCC6','Good quality','5.0 out of 5 stars','Looks good'
'B082ZJPCC6','brand name was not mentioned in the buckle so i returned it','2.0 out of 5 stars','jj'
'B082ZJPCC6','Hole punching','5.0 out of 5 stars','Good one. The extra hole punching tool is a great idea😊'
'B082ZJPCC6','Good product','4.0 out of 5 stars',"It's a good product and may be attempted for both side with Black too....then it will solve matching problem while wearing."
'B082ZJPCC6','Owsm','5.0 out of 5 stars','It is very much luxerious and easy to use'
'B082ZJPCC6','Good Quality','5.0 out of 5 stars','Good Quality product. Nice package. Re-Sizing tool provided with the product along with the instructions.'
'B082ZJPCC6','Poor quality','1.0 out of 5 stars','Poor quality very bady quality not satisfied bad comfort bad very bad poor quality with poor lether quality not recommended'
'B082ZJPCC6','Value for money','5.0 out of 5 stars','Excellent product'
'B082ZJPCC6','Nice','4.0 out of 5 stars','The media could not be loaded. Belt is good n packaging nice...just note little difficult to open..really appreciate the tool send to make extra holes if needed'
'B082ZJPCC6','Inferior quality','1.0 out of 5 stars',"It's a useless product not worth investing even 100 INR"
'B082ZJPCC6','It is very bad product ,My shirt and pants got stained.','1.0 out of 5 stars','My shirt and pants got stained.'
'B082ZJPCC6','Nice quality and finish','4.0 out of 5 stars','Good styling and material. Tool provided for punching hole comes handy. Worth the price'
'B082ZJPCC6','Perfect fit, good material','5.0 out of 5 stars','Value for money'
'B082ZJPCC6','Nice','5.0 out of 5 stars','Good'
'B082ZJPCC6','Hmm Ok','3.0 out of 5 stars','Not very good Ok product'
'B082ZJPCC6','Width','1.0 out of 5 stars','Width is more'
'B082ZJPCC6','Good','5.0 out of 5 stars','Good'
'B082ZJPCC6','Very nice product in reasonable price.','5.0 out of 5 stars','I like the genuine leathee quality and they also provide dye cut ti adjust as required size, very nice think to provide customer satisfaction.'
'B082ZJPCC6','Nice product','5.0 out of 5 stars','Good product'
'B082ZJPCC6','Not good quality','1.0 out of 5 stars','Not good quality'
'B082ZJPCC6','Nice..','5.0 out of 5 stars','It’s recommended. I have taken Good choice.. to select this. Good quality. Am using this last two months Am satisfied'
'B082ZJPCC6','More comfortable','5.0 out of 5 stars','I much like this product. I want to need to before coming they can call. At my number.'
'B082ZJPCC6','Do not buy','1.0 out of 5 stars','The lether is very hard and in mini broken condition,do not buy it'
'B082ZJPCC6','Good','5.0 out of 5 stars','Nice product.outer layer is soft and solid'
'B082ZJPCC6',"It's good quality",'3.0 out of 5 stars',"If you're looking for good belt then it can be a option . I have purchased it second time. But I can say quality has been lowered since my first buy. But still worth the money"
'B082ZJPCC6','Quality','5.0 out of 5 stars','For office use'
'B082ZJPCC6','Good quality belt','5.0 out of 5 stars','Genuine leather belt with good length. Quality is also nice'
'B082ZJPCC6','Good','5.0 out of 5 stars','Nice'
