item,title,rating,body
'B08498D67S','Bad quality','1.0 out of 5 stars',"Very bad quality. I have bought 3 or 4 pieces previously and were of good quality. Now, the standard has gone down the drain. Very hard keys, If you use it for 4-5 hours, your fingers will start screaming. springs used in the space bar are tension less and often the space bar jams in between. If you return the item, you will get same type of item in return. I have two brand new items with me, one has very dim background light and one with hard keys. If you go to a HP service point to get an exchange, It will take at least one month and at least 3 visits to get a replacement and as I said earlier, the replacements are also bad. My Rs 2300 gone down the drain. HP, I really didn't expect it from you."
'B08498D67S','Too bad after a few month the panel paint','1.0 out of 5 stars',"The key stop working sl no didn't show  on hp warrenty"
'B08498D67S','Amazing','5.0 out of 5 stars','Worth for money.'
'B08498D67S','Keys not working','3.0 out of 5 stars','Some keys of my keyboard are not working and I used in playing games and it is good gaming keyboard and it is made of solid material, size is very good I just want amazon to replace it under warranty I bought this on 28th April 2022 and received it on 30th April 2022 so I just want Amazon and HP to look into this matter and resolve it. Although it is a very good gaming keyboard and made of solid material.'
'B08498D67S','BAD QUALITY','1.0 out of 5 stars','Bad product and bad quality with out rgb light This products is broken and quality is not worth it at its price'
'B08498D67S','Great one go for it guys.','4.0 out of 5 stars','The media could not be loaded. Guys I literally impress with this product such a decent one.'
'B08498D67S','HP k500f','5.0 out of 5 stars','The media could not be loaded. The keyboard is very good,the light are very brigh so it is visible on in light also and the modes of light are awesome. Definitely recommended'
'B08498D67S','Nice keyboard','5.0 out of 5 stars','Nice keyboard and excellent performance.'
'B08498D67S','Good, but costly','4.0 out of 5 stars','Product is very good'
'B08498D67S','Nice','5.0 out of 5 stars','Nice 👌👌👌'
'B08498D67S','Some button are not working.','1.0 out of 5 stars','Some button are not working.'
'B08498D67S','Best best quality','5.0 out of 5 stars','Yes.... good performance'
'B08498D67S','Awesome product','4.0 out of 5 stars','Keyboard legs are broken, except that everything is awesome'
'B08498D67S','Poor Quality','1.0 out of 5 stars','Poor Quality after 7 month usage'
'B08498D67S','Budget friendly','4.0 out of 5 stars','I like it RGB is also good'
'B08498D67S','A great keyboard with nice soft buttons','5.0 out of 5 stars','Nicely illuminated keyboard of HP, super easy for typing and gaming . Keys are soft and yes gives a smooth experience. The lights are pretty cool. A great product for an affordable price.'
'B08498D67S','Very good','5.0 out of 5 stars','Good keyboard for typing and office work'
'B08498D67S','Good','5.0 out of 5 stars','Its heavier than usual keyboards, quality is good.'
'B08498D67S','Very bad experience please amazon replace the keyboard or find a solution.','1.0 out of 5 stars','The media could not be loaded.'
'B08498D67S','Best RGB Keyboard','5.0 out of 5 stars','Good Product. Perfect for gaming and multitasking. Creates a good ambiance and vibe for the gamers. Best Quality and Value for Money.'
'B08498D67S','Keyboard','1.0 out of 5 stars','Damage product'
'B08498D67S','Best keyboard in this price range','4.0 out of 5 stars','Typing experience 5 out of 5 Lighting 3 out of 5 (coz only 2 lighting mode) Performance 5 out of 5 Material 5 out of 5 Go for it..'
'B08498D67S','Looks amazing','5.0 out of 5 stars',"I bought a mechanical keyboard towards the beginning of this year. And I finally swallowed the bitter pill and admit that this membrane keyboard is 100 times better than a mechanical one. Mechanical keyboards are very high maintenance and a few keys had double and triple typing issues (even after rigorous cleaning). That's why I went back to a membrane keyboard."
'B08498D67S','Very good build Quality','5.0 out of 5 stars','1. Very good build quality 2. Color brightness is good. 3. ergonomic'
'B08498D67S','Perfect','5.0 out of 5 stars','Perfect'
'B08498D67S','Beautiful product','5.0 out of 5 stars','The media could not be loaded.'
'B08498D67S','Value for money 🤑','5.0 out of 5 stars',"The media could not be loaded. Good and value for money but hp can make it's brightness brighter but it's a good keyboard."
'B08498D67S','The keyboard is not connecting','1.0 out of 5 stars','The keyboard is not connecting but my old keyboard and mouse and all were connecting and working properly I need help while i connect other thing, it shows a pannel that "new driver has connected" and makes a beep sound but this keyboard doing nothing, Why??'
'B08498D67S','Good quality','5.0 out of 5 stars','This product is very soft and free to use....and having very good looking designs i will give this product 5 stars as it is very cheap and affordable for all and having a very excellent quality 👍'
'B08498D67S','Love it..','4.0 out of 5 stars','The media could not be loaded. It really great 👍'
'B08498D67S','Very good product','5.0 out of 5 stars','Rgb is beautiful with muktiple lighting options. Keys are very noce and responsive.'
'B08498D67S','Good keyboard','4.0 out of 5 stars','Product is good overall build quality is nice, the backlights in the keyboard could be a little brighter .'
'B08498D67S','Good.','5.0 out of 5 stars','Good.'
'B08498D67S','Very good quality keyboard','5.0 out of 5 stars','The media could not be loaded. Quality is good but there are some scratches on product other wise okay for gaming.'
'B08498D67S','Not bad','3.0 out of 5 stars','The back light during the day is very bad. It is good if there is no cut-off only at night. The keys have good feedback and the mouse controls are also good'
'B08498D67S','Value for money','5.0 out of 5 stars','Overall Nice Product, Build quality is 10/10'
'B08498D67S','Top row buttons are not lit','1.0 out of 5 stars','Top rows buttons looks too dim as there is no lights for top row'
'B08498D67S','Great product!','5.0 out of 5 stars',''
'B08498D67S','Anti-Ghost keys','5.0 out of 5 stars','Anti-Ghost keys works like charm. Must purchase keyboard for gamers.'
'B08498D67S','nice','4.0 out of 5 stars','very nice keyboard value of price'
'B08498D67S','Good','5.0 out of 5 stars','Good'
'B08498D67S','Perfect Product.','5.0 out of 5 stars','It is very convenient in night also. Very much visible in night.'
'B08498D67S','No outer packaging','1.0 out of 5 stars','There was no outer packaging when delivered, also some keys are not working, not satisfied with product received'
'B08498D67S','good','4.0 out of 5 stars',"after a year .. now it's rusty.. but works well.. everything is fine..  recommended.."
'B08498D67S','Build quality','5.0 out of 5 stars','Very good one , build quality is good and overall experience is great with it'
'B08498D67S','awesome keyboard. strong and sturdy','4.0 out of 5 stars',"I picked this up for the double injection mould, and not the fancy lighting. It's too gujju bling for me but it's a sturdy keyboard. Hasn't come with any warranty or bill invoice etc. Which is a bit worring. But I trust hp products and hope it'll bring me joy and comfort working."
'B08498D67S','MORE VALUE for MONEY','4.0 out of 5 stars',"It looks really good. Trust me , the looks n' in hand feel is way better than what it seems in the pictures. The aluminium top gives it a very premium looks. Key travel and the clicking sound it makes it really smooth, better than what other companies are offering at this price point.  On top of all that it has 3 year of warranty. What more can you ask from a rs.900 keyboard.  In Short, don't overthinking,go for it. ✨  Tl;dr : Buy a wrist rest if you guys can. It improves the ergonomics."
'B08498D67S','defective piece is delivered','1.0 out of 5 stars','defective piece is delivered and after 10 days no respond from amazon.'
'B08498D67S',"Keys are small and it's difficult to type faster it's not good for typing",'3.0 out of 5 stars',''
'B08498D67S','Awesomeness of the keyboard','5.0 out of 5 stars','In the KB, you can adjust the brightness of the light and can also change the effect. Sound of the keys is great.Really enjoyed it.Highly recommended'
