item,title,rating,body
'B084DRS5Q7','Good product','5.0 out of 5 stars','Soft and nice'
'B084DRS5Q7','Service','1.0 out of 5 stars','Dislike 👎'
'B084DRS5Q7','Completely different from display','1.0 out of 5 stars',"It's entirely different from display. Feels like a 2.5,feet teddy on diet. It's only height wise 2.5 feet. It's a thin teddy."
'B084DRS5Q7','Very Poor','1.0 out of 5 stars','Very Thin not filled By foam, The product received is not As per Shown Image.'
'B084DRS5Q7','Not as much expected and not as per display image','1.0 out of 5 stars','The product was not as per the image.The teddy bear is not filled with foam and it is very thin in size.'
'B084DRS5Q7','On','5.0 out of 5 stars','No 😔👎'
'B084DRS5Q7','Good product with value for money.','4.0 out of 5 stars',"Very sofe and light weight. Legs should me more strength however looking into the price it's overall very good product"
'B084DRS5Q7','Bad','3.0 out of 5 stars',"The teddy I received is nothing like it is shown in picture. I bought it for my dog so it's okay. But don't buy it a a gift for kids. They will be disappointed"
'B084DRS5Q7','worst product and quality, zip was not in shape, fur was not of good quality, never go for this','1.0 out of 5 stars','worst product and quality, zip was not in shape, fur was not of good quality, never go for this'
'B084DRS5Q7','Ok','3.0 out of 5 stars','Not bad'
'B084DRS5Q7','Good-quality','3.0 out of 5 stars','Good quality & reasonable price'
'B084DRS5Q7','Small baby size product','5.0 out of 5 stars','Product quality is good.'
'B084DRS5Q7','Not same as pic','1.0 out of 5 stars','Cheap product'
'B084DRS5Q7','Nice product','5.0 out of 5 stars',''
'B084DRS5Q7','Quality','1.0 out of 5 stars','Quality is very low the wool is coming out it is very danger for kids to play it may go into nose and mouth. I would not recommend this to any kids'
'B084DRS5Q7','Fantastic product','5.0 out of 5 stars',"It's a wonderful product."
'B084DRS5Q7','Bad experience with this product','1.0 out of 5 stars','Size is not as mentioned in produced details, received product is around 1ft and in product detail its mentioned more then 2ft'
'B084DRS5Q7','The stuff toy is torn from the arm','1.0 out of 5 stars','The stuff toy is damaged'
'B084DRS5Q7','Waste of money','1.0 out of 5 stars',"Didn't expected it to turn out this bad. The image shown for reference is totally different from what i got. Should not buy this product...."
'B084DRS5Q7','Worst product','1.0 out of 5 stars',''
'B084DRS5Q7','Good','5.0 out of 5 stars','Good'
'B084DRS5Q7','Quality','5.0 out of 5 stars','Quality is more good'
'B084DRS5Q7','Nice product','5.0 out of 5 stars',''
'B084DRS5Q7','Impressive TEDSTREE Giant Red Teddy Bear!','5.0 out of 5 stars',"I'm thrilled with my purchase of the TEDSTREE 2.5 Feet/76cm Giant Red Teddy Bear! It looks exactly like the picture and is incredibly soft and huggable. This adorable bear is perfect for gifting and is definitely value for money. Whether it's for girlfriends, wives, or kids, it's sure to bring smiles and joy. I couldn't be happier with this lovable, cuddly addition to my collection!"
'B084DRS5Q7','Product Quality issue','1.0 out of 5 stars','The media could not be loaded. Teddy clothes are very cheap quality and zip is also of very poor quality, not used even for 1 hour, stitch is gone and inner cotton is also less, it is of poor quality even on roadside'
'B084DRS5Q7','Actual size is delivered','5.0 out of 5 stars','My daughter use as her favourite doll'
'B084DRS5Q7','Best bear ever','4.0 out of 5 stars',"I liked how it was so attractive. My little brother ( who's 1year old) fell in love with it as soon as he got it . He has became like best friends with it."
