item,title,rating,body
'B0854RNKDK','TOP QUALITY PRODUCT','5.0 out of 5 stars','Brilliant quality product in its class'
'B0854RNKDK','Good','5.0 out of 5 stars','Good'
'B0854RNKDK','Super product.','5.0 out of 5 stars','Affordable and very soft. Super useful to wipe. Excellent quality.'
'B0854RNKDK','Good product','4.0 out of 5 stars','Must buy'
'B0854RNKDK','Not in different partision. connected role coming without peices','1.0 out of 5 stars','The media could not be loaded. Not in different partision. connected role coming'
'B0854RNKDK',"Doesn't match the photos at all",'1.0 out of 5 stars','Only flimsy plastic wrap. No boxes'
'B0854RNKDK','One of the best available!','5.0 out of 5 stars','These Presto tissues are one of the best available. They have a lovely texture. Soft, but will not tear off. Excellent absorption as well. Price should be a little lower, but very happy with the quality. Recommended!'
'B0854RNKDK','Value for money','5.0 out of 5 stars','Excellent'
'B0854RNKDK','Good product','4.0 out of 5 stars','Good product'
'B0854RNKDK','Average quality','4.0 out of 5 stars','Decent quality, but not when having guests over. About halfway the tissue drops down into the box and you need to fiddle with your fingers into the box to keep pulling out tissues. Not hygienic... so buy this for personal use only. I bought 2 of the 6 pack, which is packed inside a cardboard box.... but I received only one set of 6. Amazon customer service willingly despatched my another 6 pack as soon as I placed my complaint.... my point is... better buy a single set of these... don’t order multiples .'
'B0854RNKDK','Lovely product.','5.0 out of 5 stars','Best quality tissue , has great absorbency and softness . Overall great product .came in a nice card board box lovely packing and was delivered on time.'
'B0854RNKDK','Good','5.0 out of 5 stars',"It's a very useful product with good quality. A must buy for sure."
'B0854RNKDK','Nice 👍','5.0 out of 5 stars','Good'
'B0854RNKDK','Very soft','5.0 out of 5 stars','👌 value for money. Good product'
'B0854RNKDK','Good','5.0 out of 5 stars','Good'
'B0854RNKDK','Great Tissues!','5.0 out of 5 stars','Value for money! Softness and packaging is great!'
'B0854RNKDK','EXCELLENT PACKAGING','4.0 out of 5 stars','QUALITY IS GOOD. PACKED REALLY WELL. NO DAMAGE DURING TRANSIT.'
'B0854RNKDK','Worth it','5.0 out of 5 stars','Excellent one'
'B0854RNKDK','Pretty good packaging and quality for paper tissue','5.0 out of 5 stars','I would definitely recommend for the product itself. Unfortunately many are complaining about packaging and all but most importantly product quality is what should be criteria for review. Definitely recommend.'
'B0854RNKDK','Soft Facial Tissues','5.0 out of 5 stars','In UAE we were using a Japanese brand tissues Ellimoi which was very soft. I used several facial tissues in India and I found this brand as good as Japanese brand. I like it.'
'B0854RNKDK','A must buy','5.0 out of 5 stars','Good product and great price.'
'B0854RNKDK','Best buy','5.0 out of 5 stars','Good deal'
'B0854RNKDK','Excellent softness, very high quality of tissues','5.0 out of 5 stars','Totally impressed with quality. Used to buy Premier brand before, this is a notch above.'
