item,title,rating,body
'B085J79G8F','Value for Money','4.0 out of 5 stars','Good value for money product.'
'B085J79G8F','Size is weird, size 34 is actually size 40 and size 32 is actually 30','1.0 out of 5 stars','Cloth is good quality but size labeling is wrong'
'B085J79G8F','Good.','4.0 out of 5 stars','Worth for what you pay.'
'B085J79G8F','Best quality','4.0 out of 5 stars','Good material'
'B085J79G8F',"Everything's was good",'4.0 out of 5 stars','Nothing'
'B085J79G8F','Nice','5.0 out of 5 stars',"Very stretchable jeans, but material is not so smooth as that of Levi's. But serves the purpose for daily wear."
'B085J79G8F','Value for money','5.0 out of 5 stars','Good comfort fit jeans Regualar fit.'
'B085J79G8F','Amazing pair of jeans','5.0 out of 5 stars',"You realize you've bought a great pair of jeans when you slip into them and they fit perfectly! No struggling, relaxed style."
'B085J79G8F','I feel the size too big','4.0 out of 5 stars','My size is 38, I received 40. I could not return there is no option.'
'B085J79G8F','Not perfect size as I ordered.','2.0 out of 5 stars','Quality is good but getting too larger size as I ordered'
'B085J79G8F','Quality issues','3.0 out of 5 stars','Quality issues in this product.'
'B085J79G8F','Fitting is goos','4.0 out of 5 stars','Very gokd'
'B085J79G8F','Color fades at 01st wash..','1.0 out of 5 stars','Worst ever product'
'B085J79G8F','Quality is so good','5.0 out of 5 stars','Comfortable and Good fitting. The best thing about the product is quality.'
'B085J79G8F','Product','5.0 out of 5 stars','Very Nice Product'
'B085J79G8F','Nice','5.0 out of 5 stars','Nice'
'B085J79G8F','Amazing Denims! JUST GO FOR IT…..','5.0 out of 5 stars','Perfect fit, Perfect size and Perfect length. I loved it and I recommend it to everyone. Just buy one size smaller and if you want a loose fit then go for your size. I have used symbol denims even in the past and they are phenomenal. The quality is toooooo good. No problem after washing.'
'B085J79G8F',"Beat Levi's fit and style",'4.0 out of 5 stars','Great fabric and cool fit.'
'B085J79G8F','Quality of fabric','1.0 out of 5 stars','The quality and texture of fabric is not good very bad'
'B085J79G8F','Exchange not received.','4.0 out of 5 stars','The product is good but I exchanged the order due to size but I did not receive the exchange and the exchange is saying delivered'
'B085J79G8F','Excellent item by Amazon','5.0 out of 5 stars','Excellent item by Amazon'
'B085J79G8F','Colour fade','1.0 out of 5 stars',''
'B085J79G8F','Bad quality','1.0 out of 5 stars','Stay away from this. The quality of the fabric is terrible. Earlier I used to get made in Bangladesh jeans, which were very good. But this one is manufactured in Gujarat.'
'B085J79G8F','Great Fit ,Value for Money','5.0 out of 5 stars','Great fit Good fabric Value for money'
'B085J79G8F','Value for money','3.0 out of 5 stars','Value for money nice product'
'B085J79G8F','Quality is ok','4.0 out of 5 stars','Size is little loos.'
'B085J79G8F','Very good','4.0 out of 5 stars','Very good product, very comfortable and denim is also good'
'B085J79G8F','Comfortable and relaxed fit','5.0 out of 5 stars','This jeans 👖 nice looking and very comfortable, stretchable..my husband liked this cloth.'
'B085J79G8F','Worst to the core...','1.0 out of 5 stars',"Kindly don't purchase this product..it's been teared in few days and faded too faster..."
'B085J79G8F','Bad Quality','1.0 out of 5 stars','Stitching is very bad. Seems like a defect product. Colour is not fading(only one good thing I noticed).'
'B085J79G8F','Cheap quality','1.0 out of 5 stars','Returned it the day I purchased since these felt cheap and uneasy to wear, would not recommend any one this product'
'B085J79G8F','Certainly worth the Price','5.0 out of 5 stars','Certainly worth the Price, I got it for 699, material is good and the fitting is relaxed.'
'B085J79G8F','Okay at this price point but…..','3.0 out of 5 stars','Purchased for around ₹600 during the sale- the fit is baggy rather than relaxed. The garment also shrinks after wash. However, at this price point- I feel this is the best to second hand jeans.'
'B085J79G8F','Short length','3.0 out of 5 stars','Good material, nice fitting but short in length'
'B085J79G8F','Bahut hi achcha product hai','5.0 out of 5 stars','Bahut hi achcha product hai'
'B085J79G8F','Not a good quality','1.0 out of 5 stars',"I purchased it and immediately returned. Doesn't have good quality fabric, was okayish. Biggest issue was it's not actual black, was faded. I compared it with old jeans and looked same. What's the use then purchasing."
'B085J79G8F','Very good Pant','4.0 out of 5 stars','The fitting is perfect! The shape is also very good! Go for it'
'B085J79G8F','Product Quality is not Good','1.0 out of 5 stars','Product Quality is not Good. I have ordered 36 size, which fits me very well, but I didnt like the quality of the product and it is loose.'
'B085J79G8F','Ok ok product','3.0 out of 5 stars','Theaders niklae huae thae thodae ,, baki very comfortable in wearing.'
'B085J79G8F','Good','3.0 out of 5 stars','Good'
'B085J79G8F','Cheap Denims','1.0 out of 5 stars','I thought this was an Amazon product, so would match the picture. The product is thin and not the kind of denim I wanted.'
'B085J79G8F','Smoothness','1.0 out of 5 stars','Not a smooth clothe'
'B085J79G8F','Packing quality not good','2.0 out of 5 stars','Packing quality is not good however jeans quality is good in this price range.'
'B085J79G8F','Roomy and comfortable, decent colour and material','5.0 out of 5 stars',"At one third the price it is excellent! I got it for daily use, and a Levi's for social occasions. The Levi's is of course nicer but this one is great value for money. Comfortable, good material, fit, colour, etc. Definitely give it a try!"
'B085J79G8F','Good product','5.0 out of 5 stars','Branded and quality product fabric is also good fit is also perfect'
'B085J79G8F','Awesome quality and comfort !','5.0 out of 5 stars','Loved the comfort and quality of the product.'
'B085J79G8F','Fabric it too thin.','4.0 out of 5 stars',"I got a slightly bigger than usual size for 40 What I usually wear, but its comfortable and color did not fade even after 2-3 washes yet. The fabric is too thin though. For the price point and for long hours wear I'd recommend you go for it."
'B085J79G8F','The quality was worst','1.0 out of 5 stars','Quality does not match as shown in the picture'
'B085J79G8F','Awesome','5.0 out of 5 stars','Awesome quality, This is my Second Symbol Jean. First was good, this one was way better.'
'B085J79G8F','Good','4.0 out of 5 stars','Good'
