item,title,rating,body
'B086PXQJTR','Wow','5.0 out of 5 stars','Nice'
'B086PXQJTR','नोट गुड','1.0 out of 5 stars','महंगा है।'
'B086PXQJTR','Size is not up to the picture','1.0 out of 5 stars','They are showing big picture to misguide customer'
'B086PXQJTR','Good product','5.0 out of 5 stars','Good product at a good price'
'B086PXQJTR','good','4.0 out of 5 stars','good quality, thick pages'
'B086PXQJTR','Good Quality as described','5.0 out of 5 stars','Good Quality as described'
'B086PXQJTR','Nice','5.0 out of 5 stars','Its nice , good one'
'B086PXQJTR','Less than 120 pages 👎🏻','2.0 out of 5 stars',''
'B086PXQJTR','NICE','5.0 out of 5 stars','Nice'
'B086PXQJTR',"Don't be deceived by the picture, seller is putting the long notebook picture for short one",'1.0 out of 5 stars','I purchased by looking at the picture put for the item, when it arrived the notebook was small. A very unfair practice that beat the spirit of online buying.'
'B086PXQJTR','The copy is very short for my rough work','1.0 out of 5 stars','The copy was to short'
'B086PXQJTR','Good','4.0 out of 5 stars','Good'
'B086PXQJTR','Awesome!','5.0 out of 5 stars','Wow! Just wow!....go for it!'
'B086PXQJTR','Very cheap product','1.0 out of 5 stars','Very expensive'
'B086PXQJTR','Excellent paper quality','5.0 out of 5 stars','Excellent paper quality'
'B086PXQJTR','Small And thin copy.','3.0 out of 5 stars',"Small size copy's useful for primary level students."
'B086PXQJTR','Lovely','5.0 out of 5 stars','Classmate is classmate'
'B086PXQJTR','AE size','3.0 out of 5 stars',"Size and pages are minimum. Overall buying it from here gave me 30 RS discount from MRP. that's all nothing great."
'B086PXQJTR','A modicum of order','5.0 out of 5 stars','Excelliant presentation but cover could be sturdier.'
'B086PXQJTR','It','3.0 out of 5 stars',"It's price is so high"
'B086PXQJTR','Super','5.0 out of 5 stars','Super'
'B086PXQJTR','Good product','5.0 out of 5 stars','Good product'
'B086PXQJTR','Good quality','5.0 out of 5 stars','Good quality notebook'
'B086PXQJTR','Ok','5.0 out of 5 stars','Good'
'B086PXQJTR','Do not buy','1.0 out of 5 stars','I ordered for a pack of 4 and received just 2 notebooks. This was not expected from a brand like classmate.'
'B086PXQJTR','Value for money','4.0 out of 5 stars','Good brand at a reasonably good discount. A bit disappointed that the pack was slightly damaged in one corner (due to poor packaging and rough handling), however, kept it since the quality of paper is good.'
'B086PXQJTR','Fabulous 👌 notebook','4.0 out of 5 stars',''
'B086PXQJTR','Misleading. Not a full sized register','1.0 out of 5 stars','Misleading. Not a full sized register. This is just like normal notebook, slightly bigger but not a full sized register.'
'B086PXQJTR','Good','5.0 out of 5 stars','Good product'
'B086PXQJTR','Nice soft books','5.0 out of 5 stars','Soft nice 👍👏😊 cute 📒notebooks'
'B086PXQJTR','Very good','4.0 out of 5 stars','पैसा वसूल'
'B086PXQJTR','தவறானா நோட்','1.0 out of 5 stars','Mayasaimayasai Mayasai'
'B086PXQJTR','Pages are too low','3.0 out of 5 stars',"Pages mentioned as 120 pages, but it's only 80 pages notebook. But quality wise nice. Pages only too low."
'B086PXQJTR','Four books as mentioned','5.0 out of 5 stars','Four books as mentioned, medium sized and ruled.  Great purchase'
'B086PXQJTR','Could be better','4.0 out of 5 stars','Quality is really good. It could be better if they’ve given more pages for this price.  But you should try this.'
'B086PXQJTR','Kids love it','5.0 out of 5 stars','Good'
'B086PXQJTR','Too tiny','1.0 out of 5 stars','These were so small ....misleading images ..had to return.'
'B086PXQJTR','Nice quality','5.0 out of 5 stars','Value for money'
'B086PXQJTR','Ok','5.0 out of 5 stars','Good, just the covers are not intriguing'
'B086PXQJTR','Quality','5.0 out of 5 stars','Good quality'
'B086PXQJTR','Very good book. Nice pages.','5.0 out of 5 stars','Pages was bit low. Otherwise super.'
'B086PXQJTR','Good note book to be bought for online classes.','5.0 out of 5 stars','Quite reasonably priced. It is worthwhile to buy these notebooks online due to relentless scare from the pandemic. Paper is of qood quality'
'B086PXQJTR','Unhappy','1.0 out of 5 stars','Tooo small copies.. Do not buy..'
'B086PXQJTR','Genuine Quality','5.0 out of 5 stars','The books are of very good quality and they are genuine. Original classmate books. Description is true to the product received. Thanks Amazon'
'B086PXQJTR','Good product','5.0 out of 5 stars','I like this item'
'B086PXQJTR',"Don't be mingy",'3.0 out of 5 stars','I user this product for phone diary at 🏠 No options available for this size'
'B086PXQJTR','Product is nice but price is little high.','4.0 out of 5 stars','The quality of product is very good but the MRP printed is same as the price on amazon. No discount is given. Even we can easily buy the same product with less price from our local stationary shop.'
'B086PXQJTR','Classmate','5.0 out of 5 stars','Good quality'
'B086PXQJTR','Costly','1.0 out of 5 stars','Selling Price high Purchase from Local market and save more 20 % discount extra. Amazon selltoo high reta and min. Pages'
'B086PXQJTR','Not value for money','1.0 out of 5 stars','Bekar'
