item,title,rating,body
'B087QK1P79','Not worth single star','1.0 out of 5 stars','This is the worst sanitary pad. Doesnot absorb properly.'
'B087QK1P79',"Not good it's very irritating",'1.0 out of 5 stars','Not good irritating'
'B087QK1P79','Nice package','5.0 out of 5 stars','Too late delivery, product is awesome'
'B087QK1P79','must use','5.0 out of 5 stars','absorb power is very good, yadi aap log ko bhi bahar jaane ka kaam rehta he to Ap ko ue use karna chahiye'
'B087QK1P79','Unmatched Comfort and Hygiene: Whisper Ultra Clean Sanitary Pads - Your Perfect Companion!','5.0 out of 5 stars',"Whisper Ultra Clean Sanitary Pads have become an absolute essential in my life. These pads offer an unbeatable combination of comfort, hygiene, and reliability that has made my monthly routine so much more manageable.  The first thing that struck me about these pads is their incredible softness. The gentle touch and the soft wings ensure that I stay comfortable throughout the day, no matter how busy or active I am. They are thin yet absorbent, providing a feeling of dryness and freshness that is truly impressive.  One of the standout features for me is the XL+ size. It offers extra coverage and protection, providing me with peace of mind during those heavy flow days. These pads are incredibly effective at keeping leaks at bay, and I no longer worry about mishaps.  The hygiene aspect is equally important, and Whisper Ultra Clean does not disappoint. The pads are individually wrapped, making them easy to carry discreetly in my bag. The secure, leak-proof packaging ensures that they remain clean and sanitary until I'm ready to use them.  The 50-pad pack is convenient and long-lasting, saving me the hassle of frequent purchases. I appreciate that Whisper understands the needs of women and offers such a comprehensive solution.  In conclusion, Whisper Ultra Clean Sanitary Pads are a game-changer for any woman seeking comfort, hygiene, and peace of mind during her period. These pads have truly raised the bar, and I can't imagine using anything else. If you haven't tried them yet, do yourself a favor and make the switch. You won't regret it!"
'B087QK1P79','Cheap quality','1.0 out of 5 stars',"I'm sure it's a duplicate product because the adhesion is so poor. Wasted so many pads just because it won't stick to the cloth. Will not recommend"
'B087QK1P79','Good','5.0 out of 5 stars','Good'
'B087QK1P79','Quality is very low','1.0 out of 5 stars','3 class quality'
'B087QK1P79','Good product','5.0 out of 5 stars','Packing is good and nice product Thanks Amazon'
'B087QK1P79','Used products delivered','1.0 out of 5 stars',"The media could not be loaded. It's very disappointing that used, torn packet resealed with cello tape delivered"
'B087QK1P79','Size','1.0 out of 5 stars','I dislike the size of pad'
'B087QK1P79','Soft & Lengthy product','5.0 out of 5 stars','Good quality.'
'B087QK1P79','Good','5.0 out of 5 stars','Good product.'
'B087QK1P79','Favorite one','5.0 out of 5 stars',',👌👌👌👌👌'
'B087QK1P79','Comfortable','4.0 out of 5 stars','Comfortable'
'B087QK1P79','Wishpar','5.0 out of 5 stars','Product is good'
'B087QK1P79','Value for money!','5.0 out of 5 stars','Good size. Quite satisfied!'
'B087QK1P79','Not as much as expected','5.0 out of 5 stars','Not bad'
'B087QK1P79','Not good after whisper made changes','1.0 out of 5 stars','Whisper has made changes in this made. It is not at all good now. Leaks from the side wings.'
'B087QK1P79','Package opened','1.0 out of 5 stars','Package was ripped open when delivered. Very disappointed as it is a hygiene product.'
'B087QK1P79','Good product','4.0 out of 5 stars','Good product but the price is increasing gradually'
'B087QK1P79','Missing black 4 xl pads','1.0 out of 5 stars','Whisper bindaaz 2 pads are missing....'
'B087QK1P79','Good','5.0 out of 5 stars','Good'
'B087QK1P79','Damage packet','1.0 out of 5 stars','Product has hole Packet is already opened'
'B087QK1P79','Ok','3.0 out of 5 stars','Nice'
'B087QK1P79','Degraded quality','1.0 out of 5 stars',"I used this pad regularly since last few years, but now the quality has degraded beyond acceptable limit.. pad is almost useless, always leaks from wings and edges. Can't handle heavy flow at all. Can only be used for light flow. Other better and cheaper options are available in market. Never buying this again"
'B087QK1P79','Worst quality','1.0 out of 5 stars',"Quality of this product is very worst now a days. it explodes on the side within 6-7 hours. Previously the quality was very good and long lasting but now it's very poor. It's completely waste of money. Please look into this issue. It's not fulfilling product value."
'B087QK1P79','Nice','5.0 out of 5 stars','Pada'
'B087QK1P79','Good','4.0 out of 5 stars','Good'
'B087QK1P79','Not good at all','1.0 out of 5 stars','Not good at all, it spreads on the wings and then stains everywhere. Ok for ladies with very low flow but for normal or high flow it is a disaster.'
'B087QK1P79','Good','5.0 out of 5 stars','Exactly as expected.'
'B087QK1P79','Waste of money.','1.0 out of 5 stars','Waste of money, Wisper should atleast keep the dignity of its brand'
'B087QK1P79','not sticking.','1.0 out of 5 stars','Pad is not sticking due to which it is difficult to use and it is completely useless'
