item,title,rating,body
'B0883RPBN4','Very dissatisfied','1.0 out of 5 stars','Very short book and taken over price'
'B0883RPBN4','Size is very small','1.0 out of 5 stars',"Don't purchase without size verification....size is too small and non refundable.....without size verification I have ordered 20 note books but now it's useless for me...and also weast of money ..."
'B0883RPBN4','Bigger in the size that our kids can use for school writing work','3.0 out of 5 stars','The media could not be loaded. If it is big in the size, it will be useful for all class work'
'B0883RPBN4','Small size','3.0 out of 5 stars','The product is Good but size small  The product is good but size small'
'B0883RPBN4','Quality','5.0 out of 5 stars','Good quality'
'B0883RPBN4','Size small','2.0 out of 5 stars','Small size notebook'
'B0883RPBN4','Small and good for kids','5.0 out of 5 stars','Reasonable price and good for kids'
'B0883RPBN4','For Size Price Is Too Much','3.0 out of 5 stars','Quality wise it is good but price wise it is not at all a value for money. In local market, you can get bigger size for same price.'
'B0883RPBN4',"It's too small. Ok for 4-6 class kids.",'1.0 out of 5 stars','Disliked the marketing strategy wherein we feel the books are long and good for senior classes'
'B0883RPBN4','It is a small size rather than a standard size.','1.0 out of 5 stars','Instead of dimensions in mm, ITC should provide small, medium, and large.'
'B0883RPBN4','उच्च क्वॉलिटी का पेज','5.0 out of 5 stars','उच्च क्वॉलिटी का पेज लिखने में मजा आ गया'
'B0883RPBN4','Very short and thin copy.','2.0 out of 5 stars',"I didn't like it."
'B0883RPBN4','Writing never been better!','5.0 out of 5 stars',"Classmate notebook always has been great. Ink doesn't blot on these pages & notebook is sturdy. Lightweight & easy to carry. recommended product!"
'B0883RPBN4','Good','2.0 out of 5 stars','Good'
'B0883RPBN4','Very small in size','2.0 out of 5 stars',"Don't go by look by page count, these are very smallnsize books"
'B0883RPBN4','Good','5.0 out of 5 stars','Very good'
'B0883RPBN4','Bad choice','1.0 out of 5 stars','Not worth it'
'B0883RPBN4','Product not good','1.0 out of 5 stars','Never oder this product because very small and wrost page'
'B0883RPBN4','Overall the product is good, but the size is too small.','2.0 out of 5 stars','I agree that the size was already mentioned in the picture but the image which was shown in the picture was much bigger. So, I request you to show the original image of the item.'
'B0883RPBN4','Very bad','1.0 out of 5 stars','Very disappointed'
'B0883RPBN4',"Very bad, Size is too small..as compared to pics shown. Don't buy",'1.0 out of 5 stars',"Pics shown is wrong, they are not taking return or refund of this books. Don't buy waste of money. Size shown is too small, as compared to photos. Waste of money."
'B0883RPBN4','Disliked','1.0 out of 5 stars','Instead of actual size of notebook for school received small size book. ☹👎'
'B0883RPBN4','Ok','3.0 out of 5 stars','Ok'
'B0883RPBN4','Very poor..... bad','1.0 out of 5 stars','In a picture the size of notebook look like it large but I receive too small'
'B0883RPBN4','Lovely Notebooks reasonable price','4.0 out of 5 stars','Good quality notebooks with reasonable price'
'B0883RPBN4','Good but small books kids useful notebooks','4.0 out of 5 stars','Good'
