item,title,rating,body
'B08FXN3NV2','Worst product ever','1.0 out of 5 stars',"Amazon should sell genuine products under his label. We trust products by your name. Spending money for the name and the bottle is useless within 3 months. Don't sell only to earn."
'B08FXN3NV2','Nice product and quality is so good','5.0 out of 5 stars','{"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"clientPrefix":"vse_reviews_desktop_r3ifvpfh5rmigz_1697122335669","closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"260-6968588-3820806","refMarkers":"vse_reviews_desktop_R3IFVPFH5RMIGZ_1697122335669_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"NQVVKHH9M4Z5DC3CPMGH","customerId":"0","sessionType":1},"mimeType":"application/x-mpegURL","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R3IFVPFH5RMIGZ","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R3IFVPFH5RMIGZ_1697122335669_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"videoHeight":0,"videoWidth":0,"initialClosedCaptions":"en,https://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/ade638e8-6eb7-4d1f-b9e0-3a71ba5e1442.vtt","videoUrl":"https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/33db8b77-7d82-4508-a04d-173e300ac2ba/default.vertical.jobtemplate.hls.m3u8","metricsEmissionMethod":"sushi","awaConfig":{"useUpNextComponent":false,"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"initialVideo":"R3IFVPFH5RMIGZ","shouldPreload":true,"enableClickBasedAttribution":false,"isChromelessPlayer":false,"closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"isVideoImmersivePlayer":false,"metricsEmissionMethod":"sushi","skipInitialFocus":false,"playerSkin":"none","disabledViewIds":["replayHint"],"customerId":"0","containerId":"vse_reviews_desktop_r3ifvpfh5rmigz_1697122335669-player-c20fcfc9-58e3-4b67-8709-6584297f280b","requestMetadata":{"marketplaceId":"A21TJRUUN4KGV","clientId":"VSE-IN","method":"cr_inline_review","requestId":"NQVVKHH9M4Z5DC3CPMGH","pageAsin":"","sessionId":"260-6968588-3820806"},"shouldLoop":false,"shouldDisableControls":false,"alwaysSetInitialVideo":true,"showPlayerCloseButton":false,"clientPrefix":"","useAutoplayFallback":false,"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"260-6968588-3820806","refMarkers":"vse_reviews_desktop_R3IFVPFH5RMIGZ_1697122335669_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"NQVVKHH9M4Z5DC3CPMGH","customerId":"0","sessionType":1},"ospLinkCode":"","showPosterImage":true,"languageCode":"en","version":"","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R3IFVPFH5RMIGZ","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R3IFVPFH5RMIGZ_1697122335669_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"shouldStartMuted":false,"airyVersion":"VideoJS","languagePreferenceStrings":{},"enableInactiveFocus":true,"isReactFactory":false,"enableDelphiAttribution":false,"shouldAutoplay":false},"imageUrl":"https://m.media-amazon.com/images/I/515rwCjHKUL._SY256._SY256.jpg","needPlayerFactory":false,"isMobile":false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live, currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off, selected Captions Captions off, selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media.'
'B08FXN3NV2','Body heated after pouring hot water','1.0 out of 5 stars','Not a good product. After few days the outer body get heated when its full with hot tea/water. Within 2 hrs the inside fluid get cold.'
'B08FXN3NV2','Quality','5.0 out of 5 stars','Best quality and price low fully satisfied'
'B08FXN3NV2','Nice','5.0 out of 5 stars','Nice'
'B08FXN3NV2','Good one 👍','4.0 out of 5 stars','Does the work. I use it only in winters to keep the water hot.'
'B08FXN3NV2','Nice','5.0 out of 5 stars','Nice'
'B08FXN3NV2','Thik he','4.0 out of 5 stars','Thik he'
'B08FXN3NV2','Horrible quality','1.0 out of 5 stars','Beware don’t ever buy this flask . I bought one and within 15 days it lost its insulation properties. Reported this to Amazon and they tersely replied we have no warranty in the product , hence the flask was consigned to the dustbin . So please dont waste your money on buying this product .'
'B08FXN3NV2','Quality improvement needed','3.0 out of 5 stars','Very tall. It’s hard to clean 1 litter bottles'
'B08FXN3NV2','Worked properly until the warranty expired','1.0 out of 5 stars','The bottle was working just fine till it was coverd in warranty and just afyer 15 days of completing 1 year it started malfunctioning.. the vold water is gettingvhot as boiled water.'
'B08FXN3NV2','Very useful','5.0 out of 5 stars','Total satisfaction'
'B08FXN3NV2','Size','4.0 out of 5 stars','Very Huge to carry....except that its a good product. Bought it for ₹599 in big billion sale. Thanks a mill.'
'B08FXN3NV2','Good','4.0 out of 5 stars','Quality is good Go for this product'
'B08FXN3NV2','awesome bottle','5.0 out of 5 stars',''
