item,title,rating,body
'B08HTR6LSK','Good but can be better','4.0 out of 5 stars',"It's really difficult to look for things if the inside is black. Wished it was lighter colour. But overall, a good product at this price. Quite handy and good to look at"
'B08HTR6LSK','Stylish','4.0 out of 5 stars','Not bad'
'B08HTR6LSK','This bag is so nice 👍 n worth the money','5.0 out of 5 stars',''
'B08HTR6LSK','Size','4.0 out of 5 stars','Kinda too narrow'
'B08HTR6LSK','Good quality','5.0 out of 5 stars','Good quality of product but I ordered blue and they send me green'
'B08HTR6LSK','Super..','5.0 out of 5 stars','Good to carry. After using this bag , feel good and can carry also laptop. No division,only small pocket inside.'
'B08HTR6LSK','Worth buying','5.0 out of 5 stars','Very comfortable for use'
'B08HTR6LSK','Not upto the mark','2.0 out of 5 stars','Quality not as expected'
'B08HTR6LSK','Elegant, smart and superior quality i','5.0 out of 5 stars','Elegant, smart and superior quality'
'B08HTR6LSK','Superb bag... I gifted this to my friend n she liked it...','5.0 out of 5 stars','Superb buy... Go for it'
'B08HTR6LSK','Value for money','5.0 out of 5 stars',"Quality is good and it is value for money. It's a good purchase 🙂"
'B08HTR6LSK','Excellent!','5.0 out of 5 stars','Excellent'
'B08HTR6LSK','Very good bag','5.0 out of 5 stars','Definitely recommend. It is a good buy and very good packaging. There were no scratches or thread coming off handles. The stitching is of good quality. The overall finishing is nicely done.'
'B08HTR6LSK','Nice bag','5.0 out of 5 stars','I wanted a capacious bag which looks nice & is not too heavy, with a top zip. This fits well.'
'B08HTR6LSK','very good quality 👌🏻','5.0 out of 5 stars','Same as picture good quality 👌🏻'
'B08HTR6LSK','Simple bag','5.0 out of 5 stars','Simple look.easy to carry and durable material'
'B08HTR6LSK','This is cool and stylish','4.0 out of 5 stars','Nice to carry'
'B08HTR6LSK','SMART','5.0 out of 5 stars','Very smart bag'
'B08HTR6LSK','Happy','4.0 out of 5 stars','Good'
'B08HTR6LSK','Value for money','5.0 out of 5 stars','Value for money'
'B08HTR6LSK','Budget friendly but small in size','1.0 out of 5 stars','Very small.'
'B08HTR6LSK','Good product','5.0 out of 5 stars','Quality is good'
'B08HTR6LSK','Good quality and value for money 👍','5.0 out of 5 stars','Good quality and stylish bag. Good buy for the money paid 👍'
'B08HTR6LSK','Nice bag','5.0 out of 5 stars','Good quality and nice bag. Worth for money. Go for it.'
'B08HTR6LSK','Neat bag','5.0 out of 5 stars','Bag with single compartment and a small pocket inside. Looks simple and neat'
