item,title,rating,body
'B08K95SV28','Not worthy','1.0 out of 5 stars','Not good smells bad'
'B08K95SV28','Santoor is my all time favourite...','5.0 out of 5 stars','Quality of soap is excellent. Smell is also good. Effect is beautiful.'
'B08K95SV28','Good','4.0 out of 5 stars','Good'
'B08K95SV28','Most likely','4.0 out of 5 stars','Quality is good smell also good and fresh. Some costly'
'B08K95SV28','Valu for money','5.0 out of 5 stars','Value for money'
'B08K95SV28','Good','5.0 out of 5 stars','Good'
'B08K95SV28','good','4.0 out of 5 stars','good buy it'
'B08K95SV28','Product','5.0 out of 5 stars','Nice Product. And Nice Price'
'B08K95SV28','Good','4.0 out of 5 stars','Cleanses well'
'B08K95SV28','Soap life','5.0 out of 5 stars',"Soap was good it's smell is wonderful"
'B08K95SV28','Standard product','5.0 out of 5 stars','Happy with the product'
'B08K95SV28','Value of money','5.0 out of 5 stars','Soaps are of good quality & good smell. Not melts like other soaps. Overall value of money.'
'B08K95SV28','Very good👍👍','5.0 out of 5 stars','Very good👍👍👍👍'
'B08K95SV28','Value for money','4.0 out of 5 stars','Smell is good 😍'
'B08K95SV28','Best','5.0 out of 5 stars','Best'
'B08K95SV28','Good quality','5.0 out of 5 stars','Good fragrance. Value for money'
'B08K95SV28','Very good quality & amazing price','5.0 out of 5 stars','I have already used Santoor soaps and was impressed with their quality this new member of the family carries forward the tradition of quality .'
'B08K95SV28','Good','5.0 out of 5 stars','Good'
'B08K95SV28','indian brand soap 🧼','5.0 out of 5 stars','Best soap and also with low price, i used from very long time ago'
'B08K95SV28','Nice product','5.0 out of 5 stars','Nice product'
'B08K95SV28','Nice 🙂','5.0 out of 5 stars','🙂'
'B08K95SV28','Good price and worthy','5.0 out of 5 stars','Very nice soap in budget price'
'B08K95SV28','Ok','5.0 out of 5 stars','Ok'
'B08K95SV28','Supper collity','5.0 out of 5 stars','Best soap'
'B08K95SV28','Disgusting','1.0 out of 5 stars','Soap is of very bad quality.It takes too much time to apply it on body'
'B08K95SV28','Got it for 178!!','5.0 out of 5 stars','I got this for ₹178. This is a great deal and product is also good. No regrets!'
'B08K95SV28','Value for money','4.0 out of 5 stars','Nice'
'B08K95SV28','Good','4.0 out of 5 stars','Good product'
'B08K95SV28','Good','5.0 out of 5 stars','Nice'
'B08K95SV28','Best','5.0 out of 5 stars','Best product'
'B08K95SV28','Excellent','4.0 out of 5 stars','Nice for skin and fresh me for long time'
'B08K95SV28','Good','4.0 out of 5 stars','Good deal price. Liked it. Using regularly. Good 💯'
'B08K95SV28','Good','4.0 out of 5 stars','Nice Feeling to bath'
'B08K95SV28','Only 5 of them were there','1.0 out of 5 stars','When i received the pack there were only 5 of them instead of 6'
'B08K95SV28','Nice','5.0 out of 5 stars','Nice'
'B08K95SV28','Bad smell','1.0 out of 5 stars',"Smells like floor cleaner. Gives headaches. Don't buy."
'B08K95SV28','Nice product 👍','4.0 out of 5 stars','Nice product and super quality nice beauty nice packing nice delivery 🚚'
'B08K95SV28','Value for money','4.0 out of 5 stars','Good one , go for it without any doubts . Feels fresh.'
'B08K95SV28','Good','5.0 out of 5 stars','Good'
'B08K95SV28','Nice','4.0 out of 5 stars','Very Nice'
'B08K95SV28','Good product','5.0 out of 5 stars','Very good product in this price range. Thank you Amazon for good product in this price. Thank you again Amazon'
'B08K95SV28','Osm','5.0 out of 5 stars','Exactly osm'
'B08K95SV28','Quality','4.0 out of 5 stars','Good product worth its price'
'B08K95SV28','Got what we saw','4.0 out of 5 stars','Got exactly what we saw in pics and description, though deliver was late'
'B08K95SV28','Nice soap','4.0 out of 5 stars','Good'
'B08K95SV28','Only one pack send and charge for two','1.0 out of 5 stars','Se should order two set of soap but deliver only one and take full amount of it'
'B08K95SV28','Nice one','5.0 out of 5 stars','Nice one'
'B08K95SV28',"Don't buy this product",'1.0 out of 5 stars','Product quality is good i think this is expiring product and repacking'
'B08K95SV28','Good','4.0 out of 5 stars','Good'
'B08K95SV28','அதிக அளவில் காசு கொடுத்து விட்டேன் காசுக்கு ஏற்ற பொருள் அல்ல','2.0 out of 5 stars','அதிக அளவில் காசு கொடுத்துட்டேன்'
