item,title,rating,body
'B08L5663H7','Poor quality','1.0 out of 5 stars','Bilkul mat lena poor quality'
'B08L5663H7','Scissors','1.0 out of 5 stars','Waste product.after usage of 15 days this scissor was broken.'
'B08L5663H7','Horrible quality.rusting started in a month and handle came off...waste product','1.0 out of 5 stars','Horrible quality.rusting started in a month and handle came off...waste product'
'B08L5663H7','Very weak','1.0 out of 5 stars','Worst breaks in 10 days'
'B08L5663H7','Very poor quality product','1.0 out of 5 stars','Ver Poor quality product.'
'B08L5663H7','Worst product ever','1.0 out of 5 stars','The media could not be loaded. Within one week of use it broke into two pieces. Plastic quality is the worst. Please don’t waste your money on this product'
'B08L5663H7','Worst quality.','1.0 out of 5 stars','Handle came off very second day.'
'B08L5663H7','Good product','5.0 out of 5 stars','Good product'
'B08L5663H7','Dangerous to use','1.0 out of 5 stars',"No durability and dangerous to use. I cut my finger's portion using it. It did not even last for one week and handle broke. Nonetheless I would not recommend it to anyone based solely upon danger attached to this item"
'B08L5663H7',"Sharp enough to cut the vegetable rest other features i didn't try yest",'4.0 out of 5 stars',"I'm delighted with the kitchen scissors from Amazon! They cut smoothly and efficiently. Although they can be a bit hard to handle at times, their overall performance is excellent. They've become an essential tool in my kitchen, and I'm happy with my purchase."
'B08L5663H7','Good product','5.0 out of 5 stars','Satisfied'
'B08L5663H7','the finger insert plastic came off','3.0 out of 5 stars','For a couple of months it was sturdy. But later one day the plastic part came-off from the metal, and I had to use adhesive.  Makers should consider little more care on making this item, since only the look is sturdy.'
'B08L5663H7','Good','4.0 out of 5 stars','Good and strong'
'B08L5663H7','Damage','1.0 out of 5 stars',"It's broken"
'B08L5663H7','Poor quality!','1.0 out of 5 stars','The handle broke in a week. Not sturdy at all.'
'B08L5663H7','Poor finish.','3.0 out of 5 stars','Consumer goods must also appeal with their good looks apart from serving quality. These scissors were blemished with pockmark, slightly unaligned handle grips and dirty looking plastic or rubber material on the grip.'
'B08L5663H7','Cheap quality handle','3.0 out of 5 stars','Cheap quality handle'
'B08L5663H7','Disappointed!','2.0 out of 5 stars','Requires Herculean effort to use it and the hinge is riveted and non-adjustable. Used oil to ease but no improvement. Waste of money'
'B08L5663H7','Poor','2.0 out of 5 stars','Breaks after few weeks :('
'B08L5663H7','Good Product.','4.0 out of 5 stars','Good Product'
'B08L5663H7','Very good','4.0 out of 5 stars','It is useful to all types of cuttings'
'B08L5663H7','Great scissor for kitchen','5.0 out of 5 stars','Great scissor for kitchen'
'B08L5663H7','No good','1.0 out of 5 stars','The joint is too sturdy to cut anything with ease. I bought this for the convenience of not having to use the knife to cut certain things when cooking. But it is not helpful at all.'
'B08L5663H7','A good investment','3.0 out of 5 stars','Strong sturdy value fr money'
'B08L5663H7','Waste of time and money','2.0 out of 5 stars','Not good quality'
'B08L5663H7','Quality issue','3.0 out of 5 stars','Though it is well-rated, the product is not up to the expectation. The handles are brittle and the scissors are not sharp enough having loose contact points.'
'B08L5663H7','Plastic handles broken','1.0 out of 5 stars','Plastic handles have come off. Don’t buy as cannot take pressure and black handles break off. Plastic must be of poor quality'
'B08L5663H7','Waste of money','1.0 out of 5 stars','Useless as a scissors'
'B08L5663H7','Plastic handle','3.0 out of 5 stars','The plastic handle for holding the seizure breaks frequently. NOt durable'
'B08L5663H7','The handle broke in a month of use.','2.0 out of 5 stars','The handle quality was very bad'
'B08L5663H7','GOOD QUALITY','5.0 out of 5 stars','നല്ല മൂർച്ചയുള്ള കത്രിക . നല്ല ബലമുണ്ട്.'
'B08L5663H7','Not sturdy','2.0 out of 5 stars','Broke in 20 days of use ((('
'B08L5663H7','Received Opened package !!','1.0 out of 5 stars','Received the product that was opened earlier , had to return it immediately and I have scheduled the same asap'
'B08L5663H7','Very poor grip material','1.0 out of 5 stars',''
'B08L5663H7','Very much useful for sorting, preparing vegetables.','5.0 out of 5 stars','I have gifted to my daughter, my old age wife, old related grandmas. Hand pain is eliminated by using this scissors as they express.'
'B08L5663H7','Not very strong','5.0 out of 5 stars',"Ordered on 11th Sep'22 about 4 months of regular use in the kitchen and one of the sides cracked."
'B08L5663H7','Good finish','3.0 out of 5 stars','Ok from all aspects. Rivet seems to be not of best design. Should have better design and should be possible to tighten the joint. Plastic handles appears to be highly durable and may break after littler longer use'
'B08L5663H7','Handle is fragile','1.0 out of 5 stars',"The handle broke after a month of moderate use. The scissor's metal is good, and cutting is fine but without a handle it's useless."
'B08L5663H7','Poor built quality','2.0 out of 5 stars','The plastic handle broke within 2 month of usuage.'
'B08L5663H7',"Low quality Product Don't Buy",'1.0 out of 5 stars',"Bad product don't buy it. It gets broken in 15 days no exchange."
'B08L5663H7','Handle not durable.','1.0 out of 5 stars','Handle not durable it fell from 1m height and the handle got broken.'
'B08L5663H7','Worst quality product.','1.0 out of 5 stars','Handle gives away in one month.'
'B08L5663H7','Broken In just few days','1.0 out of 5 stars','It got broken in few days only..not a durable product,'
'B08L5663H7',"Worst product don't buy at all",'1.0 out of 5 stars','Poor quality product. Handle broken within 15 days without any heavy usage.'
'B08L5663H7','Go for it','5.0 out of 5 stars','Sturdy. Light Weight. Good Build Quality'
'B08L5663H7','Good👍','5.0 out of 5 stars',''
'B08L5663H7','pretty good for money','5.0 out of 5 stars','sturdy, does it job, value for money. cuts vegetables, herbs pretty easily'
'B08L5663H7','Not bad !','4.0 out of 5 stars','The media could not be loaded. Not great product but still good, works fine.'
'B08L5663H7','Cutting action not upto the mark.','1.0 out of 5 stars','The sharpness is not good compared to the earlier scissors I have used, the price is low but the cutting action is not satisfactory'
'B08L5663H7','Plastic grip is fragile and breaks on falling.','2.0 out of 5 stars','It was being used in the kitchen. Once it fell on the floor and both plastic grips broke and came apart.'
