item,title,rating,body
'B08LQNKJH9','charging power','4.0 out of 5 stars','very good product'
'B08LQNKJH9','Good charging.','5.0 out of 5 stars','Best product.'
'B08LQNKJH9','Value for money','3.0 out of 5 stars','ok'
'B08LQNKJH9','Good','4.0 out of 5 stars','Hdjenee'
'B08LQNKJH9','Good','4.0 out of 5 stars','Good product...thanks to Amazon...'
'B08LQNKJH9','Nice product','5.0 out of 5 stars','Good product for charging anything easy to use'
'B08LQNKJH9','Affordable at the given price.','5.0 out of 5 stars','Two output ports for two different devices. Also one cable is provided and one you have to use from your side. Overall price effective.'
'B08LQNKJH9','Good','5.0 out of 5 stars','The media could not be loaded. Works good as a slow charger which I wanted.'
'B08LQNKJH9','Bad quality','1.0 out of 5 stars','Stopped working after two months .... Pathetic quality'
'B08LQNKJH9','Adaptor stopped charging in 2 months','5.0 out of 5 stars',"This adaptor stopped working after 2 months, cord working perfectly with other adaptor on same point. I don't find where to go to replace or get refund?"
'B08LQNKJH9','Nice quality.','5.0 out of 5 stars','Nice quality.'
'B08LQNKJH9','Good product','4.0 out of 5 stars','useful for mobile and smart watch charging'
'B08LQNKJH9','Good choice','5.0 out of 5 stars',"Working very nice I'm using for my smart watch and it's doing great"
'B08LQNKJH9','good product','5.0 out of 5 stars','good product'
'B08LQNKJH9','ఛార్జింగ్ ఎక్కడం లేదు','2.0 out of 5 stars','మొబైల్ ఫోన్ ఛార్జింగ్ కొన్నాను అది ఒక్కసారి మాత్రమే ఛార్జ్ అయింది రెండవ సారీ పెడితే ఛార్జ్ అవ్వడం లేదు'
'B08LQNKJH9','Very Good','5.0 out of 5 stars','Very Good Charger. Micro USB Cable is thick and has good length. Charger looks sturdy and has good charging speed. Overall very nice..'
'B08LQNKJH9','Best charger','4.0 out of 5 stars','Good charger'
'B08LQNKJH9','after 30 days not working','1.0 out of 5 stars','waste dont buy it is gone in to not working condition'
'B08LQNKJH9',"It doesn't work",'1.0 out of 5 stars',"It's not working for a smartphone like Oppo It's not charging also Very bad product and doesn't work as per order placed"
'B08LQNKJH9','Faulty product','1.0 out of 5 stars',"Broke down in 8th day .. can't even replace now"
'B08LQNKJH9','Usefull Indeed','5.0 out of 5 stars','Very Useful Double Connection Adaptor'
'B08LQNKJH9','Not that great','1.0 out of 5 stars','Tried two mobiles for parallel charging, but only one works at a time. Defeats the purpose. Also not a fast charger.'
'B08LQNKJH9','Not Suitable For APPLE Prodoucts','1.0 out of 5 stars','I have Purchased it on 28/07/23 for my APPLE IPHONE , I Kept charging for 40 min and I came to know it charged hardly only 16% so Disappointment, Not a Fast Charger.'
'B08LQNKJH9','Usb charger','2.0 out of 5 stars','Not adaptable to charge new model of iphone11, Can charge only my iwatch'
'B08LQNKJH9','Good Product Priced Right, but plugs get loose','4.0 out of 5 stars','After nearly 8 months of daily use with 2 high demand devices it still works fine. Only issue is that the USB plugs have become loose causing the cables to fallout easily.'
'B08LQNKJH9','Don’t buy','1.0 out of 5 stars','It worked hardly for 2 days and it stopped charging. Waste of money.'
'B08LQNKJH9','Has stopped working after the 1month','1.0 out of 5 stars','Dont go with the low price. Product works good intially but after the one 1 month is over pdt would stop working.. not expected from the brand..'
'B08LQNKJH9','Trusted Brand','5.0 out of 5 stars','I am a long time user of Portronics products. I purchased this only because I wanted a single compact charger to charge both my smartphones. Works efficiently.'
'B08LQNKJH9','genuine review','4.0 out of 5 stars','good product with low price'
'B08LQNKJH9','Go for portronics','5.0 out of 5 stars','The charging adaptor is very good it has 2 output and you should believe it is a proper fast charging the usbcable is also very good and one should believe this the quality is mind blowing of the product so i would recommend you to buy the product.'
'B08LQNKJH9','Accha nahi hai','2.0 out of 5 stars','Deehre charge hota hai'
'B08LQNKJH9','Charger','5.0 out of 5 stars','Good one'
'B08LQNKJH9','USB PORT','5.0 out of 5 stars','USEFUL USB PORT'
'B08LQNKJH9','charger didnt work from second day','1.0 out of 5 stars','The charger didnt work from second day'
'B08LQNKJH9','Dont be fooled by made in India. This is very substanderd product. stopped working.','1.0 out of 5 stars','These days you can sell in the name of Made in India. For waranty claim Portronis is asking a full length form. Which I doubt can be misused in future. never run behind only prices.'
'B08LQNKJH9','Worst Product','1.0 out of 5 stars','I honestly bought this product because it was cheap and i only wanted it for connecting 1 device which had a usb cable but no adapter. When i connected my device with this adapter it did not work at all. I tried all possibilities but failed. Ultimately I had to hunt for an old adapter from junk and that worked even after 3 years.  Go for other brands like Boat instead of Chinese brands which dont work most of the time.'
'B08LQNKJH9','Pathetic','1.0 out of 5 stars','I would give it a 0 star if there was an option.Tge plug only worked for 2 days and then it has stopped working ..not a dependable product don’t waste your money'
'B08LQNKJH9','This adoptor is over hited.','1.0 out of 5 stars','This adoptor is over hited and mobile charging battery also hited.'
