item,title,rating,body
'B08LZCM4YB','Little expensive but usable thing','4.0 out of 5 stars','The item is little costly compared to market price'
'B08LZCM4YB','Not wide enough','2.0 out of 5 stars','They are just one inch wide. Not worth'
'B08LZCM4YB','Too short length.','1.0 out of 5 stars',"Too expensive as compared to length of tape. It should not be more than Rs.10. Don't impress with the picture, in actual it is totally different."
'B08LZCM4YB','Good item.','5.0 out of 5 stars','Very good item.cheap rate. Iam satishfied.'
'B08LZCM4YB','Cellotape -1"','4.0 out of 5 stars','Reasonably good quality'
'B08LZCM4YB','Cellophane tape for dispenser','1.0 out of 5 stars','This tape is NOT continuous. There are numerous cuts in the entire pack. Bad product.'
'B08LZCM4YB','Good deal','5.0 out of 5 stars','Great for my use'
'B08LZCM4YB','Adhesion is very poor','2.0 out of 5 stars','Adhesion is very poor'
'B08LZCM4YB','Nice','2.0 out of 5 stars','Nice'
'B08LZCM4YB','Do not buy','1.0 out of 5 stars',"It has no stickiness. May be it's too old or may be it's a third grade product but it's like a roll of used tape or just some poly strip...so it will not stick even paper..forget some more difficult surface.even if you get 6..no use..so don't fall for it"
'B08LZCM4YB','very local quality tape waste of money','1.0 out of 5 stars','very local quality not worthy deal'
'B08LZCM4YB','Good, considering the cost','4.0 out of 5 stars','These tapes are good in the price they come. Sticking power is not bad, but could be a little better. Still, works well.'
'B08LZCM4YB','Good','5.0 out of 5 stars','Value for money'
'B08LZCM4YB','Very good quality.','5.0 out of 5 stars','Good quality, specified 65 metres length. My projects came good with this tape. Hope they have 2" tapes, too. Thanks Amazon and seller - \'Shivam stationary & General stores\''
