item,title,rating,body
'B08M4FX7W2','Gud','4.0 out of 5 stars','Good packing'
'B08M4FX7W2','बेहतरीन','5.0 out of 5 stars','बेहतरीन'
'B08M4FX7W2','Jo soap is good Quality','4.0 out of 5 stars','Jo soap si good Quality Wonderful soap I like it'
'B08M4FX7W2','Quality','4.0 out of 5 stars','I really love it best quality on that price'
'B08M4FX7W2','Good','4.0 out of 5 stars','Smell and quality'
'B08M4FX7W2','Mast shop','4.0 out of 5 stars','Best shop and mast smell for best for market'
'B08M4FX7W2','Good value for money','4.0 out of 5 stars','Everything is ok'
'B08M4FX7W2','Ok product','5.0 out of 5 stars','Good'
'B08M4FX7W2','Bhut acha','5.0 out of 5 stars','मुझे पसंद आया'
'B08M4FX7W2','Excellent','5.0 out of 5 stars','Must buy'
'B08M4FX7W2','Good soap','5.0 out of 5 stars','It is better than Lux I have been using, It cleans skin well and feels fresh :)'
'B08M4FX7W2','Good','5.0 out of 5 stars','Good'
'B08M4FX7W2','I pic missing','1.0 out of 5 stars','The media could not be loaded. I piece missing this product'
'B08M4FX7W2','Very good','5.0 out of 5 stars','Happy to buy. Soft to skin. Thanku amazon'
'B08M4FX7W2','Nice','5.0 out of 5 stars','Good one with nice fragrance. Go for it.'
'B08M4FX7W2','good','5.0 out of 5 stars','I like it'
'B08M4FX7W2','Very good quality amazing thank','4.0 out of 5 stars','Good product amazing thank you'
'B08M4FX7W2','Excellent','5.0 out of 5 stars','Overall good'
'B08M4FX7W2',"Worest product don't buying",'1.0 out of 5 stars',"Worest product don't buying Worst spelling plastic smell"
'B08M4FX7W2','value for money','5.0 out of 5 stars','value for money'
'B08M4FX7W2','Good','5.0 out of 5 stars','Good Product at affordable price'
'B08M4FX7W2','Very sodt','5.0 out of 5 stars','Very soft and creamy soap , good for body'
'B08M4FX7W2','Quality of the Product not Genuine.','2.0 out of 5 stars','We use the same Jo soap from Local market are more good in terms of fragrance and smoothness. But the delivered soap just like local soap with low quality material use, fragrance are not good and texture are like original soap'
'B08M4FX7W2','Nice','4.0 out of 5 stars','Good one'
'B08M4FX7W2','Best rate','5.0 out of 5 stars','The media could not be loaded. Best rate'
'B08M4FX7W2','Best budget soap','4.0 out of 5 stars','Good smell and very nice product. I am using of 6 to 8 months and the very happy by this soap. This price product is very good 👍'
'B08M4FX7W2','Not Bad','4.0 out of 5 stars','Ordered for the very first time. Price wise okay but not really good.'
'B08M4FX7W2','Nice fragrance','5.0 out of 5 stars','I use it all the time.'
'B08M4FX7W2','So so quality.','2.0 out of 5 stars','For kitchen purposes I am using it.'
'B08M4FX7W2','melts too fast, fragrance good , ok ok products','3.0 out of 5 stars','It melts too fast, fragrance is good, weight almost 150 gm ....packing is not good...company has to work more on fragrance and melting feature...ok ok product...can buy at this price.'
'B08M4FX7W2','Kuchh bhi nahin','1.0 out of 5 stars','Yah galta bahut hai bekar hai'
'B08M4FX7W2','Value for money','4.0 out of 5 stars','These are the most reasonably priced bath soaps of a very decent quality. Totally satisfied. Highly recommended'
'B08M4FX7W2','Only toilet cleaner was in the packet .no soaps','1.0 out of 5 stars','Short supply'
'B08M4FX7W2','Value for money','5.0 out of 5 stars','Quality and quality is excellent for this price.'
'B08M4FX7W2','Good product','5.0 out of 5 stars','Reasonable price'
'B08M4FX7W2','Big sabun','2.0 out of 5 stars','Big size sabun but poor cawality item So low cawality product'
'B08M4FX7W2','Good','5.0 out of 5 stars','Good'
'B08M4FX7W2','Soap is good','4.0 out of 5 stars','But it makes your skin very dry'
'B08M4FX7W2','Good good good good','5.0 out of 5 stars','Good good good good good good very good good Good good good good good good very good good'
'B08M4FX7W2','After use the body is itching','2.0 out of 5 stars','I used it for a couple of days and I see the effect of that the skin is getting a little polity seems not up to the mark'
'B08M4FX7W2','Value for money','4.0 out of 5 stars','Totally satisfied'
'B08M4FX7W2','Packing is worst...','1.0 out of 5 stars','I ordered 8 soaps but received only 6 count..i received those without seals..not received as in the catalog...'
'B08M4FX7W2',"It's good",'4.0 out of 5 stars','Satisfied in this rate'
'B08M4FX7W2','Amazing','5.0 out of 5 stars','Best product velue for money'
'B08M4FX7W2','Good','4.0 out of 5 stars','Value For Money'
'B08M4FX7W2','Not great for Skin','3.0 out of 5 stars','Budget friendly soap but causes dryness an itchiness to the skin.'
'B08M4FX7W2','Superb','4.0 out of 5 stars','Overall all good'
'B08M4FX7W2','Bekaar hai.','1.0 out of 5 stars','Bhai koi mat lena, Jo wala yeh soap. Badi bekaar si smell aati hai. Is se achha to Boroplus wala le lena.'
'B08M4FX7W2','Bed soap','1.0 out of 5 stars','Ohh 😲'
'B08M4FX7W2','Very poor quality & bad fragrance. Unfit for use.','1.0 out of 5 stars','Soaps delivered of very poor quality and bad fragrance. Unfit to use and health hazard for skin problems. Amazon need to take strict action against vendor and refund the amount immediately. If no refund is given in 3 days matter will be reported to Govt. Health and Consumer authorities.'
