item,title,rating,body
'B08QFLGF1G','Useless','2.0 out of 5 stars','Useless.'
'B08QFLGF1G','Organiser','3.0 out of 5 stars','I really liked it... save so much of space...'
'B08QFLGF1G','Value for Money','5.0 out of 5 stars','Storage Space'
'B08QFLGF1G','Good product','5.0 out of 5 stars','Very good - quite sturdy Helpful in organisation of my jewellery'
'B08QFLGF1G','Strong','5.0 out of 5 stars','It can be used to store rubber bands, hair clips, and small products'
'B08QFLGF1G','Nice','5.0 out of 5 stars','Quality is good'
'B08QFLGF1G','Product quality','5.0 out of 5 stars','Appropriate for keeping bracelets and other accessories. Loved it. Good quality locks too.'
'B08QFLGF1G','Size','3.0 out of 5 stars','Product quality is good But size is so small than shown in pic'
'B08QFLGF1G','Good 👍','4.0 out of 5 stars','Great stuff the quality of the plastic is great 👍👍 just luv it . But if the one box is of 9 small corners then it would be great . Still best option for the hairstylist.'
'B08QFLGF1G','Too small','2.0 out of 5 stars','Thought it’s bigger but too small good store ear rings etc'
'B08QFLGF1G','Too highly priced','3.0 out of 5 stars','No way the boxes together should have been priced more than 250 rupees'
'B08QFLGF1G','Product was excellent','5.0 out of 5 stars','Product was excellent as shown in picture'
'B08QFLGF1G','Not worth it','1.0 out of 5 stars','Product very small in size. Though product quality is okay but not at all worth it for this much price'
'B08QFLGF1G','Well built','5.0 out of 5 stars','Sturdy and strong. Like them. Comes in three sizes as in photos. I night then for medicines when going on trip. It’s perfect. Been using as a medicine box ever since. Other two, I store my ear hangings and stuff. The quality is quite good. But they’re not big. Notice the sizes mentioned in the description.'
'B08QFLGF1G','Good Product','4.0 out of 5 stars','Good Product'
'B08QFLGF1G','Too expensive','2.0 out of 5 stars','Boxes are small, and so the items are more expensive than they should be.'
'B08QFLGF1G','Too Bad Quality','1.0 out of 5 stars','Too Bad Quality'
'B08QFLGF1G','Good','4.0 out of 5 stars','Product is good'
'B08QFLGF1G','good buy but not as promised','3.0 out of 5 stars','good quality but Compartments fixed'
'B08QFLGF1G','Very useful products, you can buy it','5.0 out of 5 stars','All three boxes are very nice and very good material, locks of boxes also good, I received same products same as shown in the picture superb👌but price little bit high but you can buy it guys, these boxes are useful for small things organize like, hair pin, rubber bands, button, safety pin exc.'
'B08QFLGF1G','Damage','3.0 out of 5 stars','Quality of the boxes are good, but the small box was cracked.'
'B08QFLGF1G','Quality is very good','5.0 out of 5 stars','Expensive..'
'B08QFLGF1G','Good','5.0 out of 5 stars','Good'
'B08QFLGF1G','Must buy product','5.0 out of 5 stars','Just go for it!'
'B08QFLGF1G','Very well','5.0 out of 5 stars','I liked it'
'B08QFLGF1G','As shown in photo and good quality','5.0 out of 5 stars','Product is as shown in photo and good quality.'
'B08QFLGF1G','Good quality but price way to high 400 for 3 boxes gave me goosebumps','3.0 out of 5 stars','Quality is good. And given sections is good to organise ur stuff however, price is too high. We can get it in low price if i buy offline'
'B08QFLGF1G','Good quality plastic box for jwellery','5.0 out of 5 stars','All 3 boxes are of very good quality.product was delivered in a cardboard box to avoid any damage👍🏾👍🏾👍🏾Loved this purchase 💜💜'
'B08QFLGF1G','Box size is very small','2.0 out of 5 stars','Box size are very small'
'B08QFLGF1G','Gud','5.0 out of 5 stars','Quality of the box is gud!'
'B08QFLGF1G','Very useful','4.0 out of 5 stars','Really helpful to organise your things.'
'B08QFLGF1G','Superb. Very useful and worth buying','5.0 out of 5 stars','Very good and useful product. Jewellery can be kept in this which makes them easily accessible and not waste time finding what to wear'
'B08QFLGF1G','Good quality organisers bt a bit high priced','4.0 out of 5 stars','Lock feature is fine, quality is good…. But way too expensive i feel fr the size of the boxes. Even more than IKEA ORGANISERS'
'B08QFLGF1G','Useful','5.0 out of 5 stars','I used it for my jewellery items.and ots value for money'
'B08QFLGF1G','Very very Small','2.0 out of 5 stars','Size of a school tiffin box'
'B08QFLGF1G','Very good product','4.0 out of 5 stars','Nice and hard enough'
'B08QFLGF1G','Thik thak','3.0 out of 5 stars','Quality is good but size is too small'
'B08QFLGF1G','Very useful','5.0 out of 5 stars','Helps organise jewellery Better to choose Very very useful Must buy'
'B08QFLGF1G','Worth it','5.0 out of 5 stars',''
'B08QFLGF1G','Amazing product','5.0 out of 5 stars','Amazing product. Quality is too good. Price is reasonable. Very happy with the boxes. Sizes are also just tight for me to organise my art work.'
'B08QFLGF1G','Awesome product','5.0 out of 5 stars','Worth buying......nice product'
'B08QFLGF1G','Just ok quality','2.0 out of 5 stars','Size smaller than expected. Quality also average'
'B08QFLGF1G','Size issue','2.0 out of 5 stars','Size is smaller'
'B08QFLGF1G','Great Jewellery boxes','5.0 out of 5 stars','Very good boxes for storing Jewellery'
'B08QFLGF1G','Value for money','5.0 out of 5 stars','Value for money'
'B08QFLGF1G','Very good quality..','5.0 out of 5 stars','These storage boxes are very sturdy, crystal clear in transparency and most appropriately shaped and sized. I bought it as jewellery storage box. Best feature is the partitions are permanently fixed. I am 100% satisfied by the quality.'
'B08QFLGF1G','Easy to use and organize stuff','5.0 out of 5 stars','These three boxes are good and sturdy. I organize small items and handy to pick when needed.'
'B08QFLGF1G','Excellent product','5.0 out of 5 stars','Excellent product....ordering one more set'
'B08QFLGF1G','NIce boxes for jewllery','5.0 out of 5 stars','RIngs, earrings, chain....good to organise things. Better than a pouch anyway.'
'B08QFLGF1G','Useful','5.0 out of 5 stars','Worth for'
