item,title,rating,body
'B08S58S29R','Good','2.0 out of 5 stars','Good'
'B08S58S29R','Good','5.0 out of 5 stars','स्मार्ट shoppin'
'B08S58S29R','Show pack of 8 but delivered 4','1.0 out of 5 stars','The media could not be loaded. I have bought 8 pack but delivered only 4'
'B08S58S29R','Good product','5.0 out of 5 stars','It’s good product'
'B08S58S29R','Good deal 3sixzero','5.0 out of 5 stars','Original , fast delivery thanks amazon'
'B08S58S29R','Good offer','5.0 out of 5 stars','Combo offer best quality 👌  Buy good product valuable for money buy at Amazon. Good delivered. Softness long lost ing'
'B08S58S29R','Good.. Liked','5.0 out of 5 stars','Good product'
'B08S58S29R','Good','5.0 out of 5 stars','Good'
'B08S58S29R','Bad product','1.0 out of 5 stars','Bad product and dove copy no original'
'B08S58S29R','Dont buy. Box opened, damaged item received','1.0 out of 5 stars','Damaged products received'
'B08S58S29R','Good','4.0 out of 5 stars','Good'
'B08S58S29R','Good 👍 for','5.0 out of 5 stars','Very good 😌'
'B08S58S29R','Always good in quality and price','5.0 out of 5 stars','Like'
'B08S58S29R','Original product','5.0 out of 5 stars','Product good'
'B08S58S29R','selling Price more than MRP','2.0 out of 5 stars',"It's a great product, but Amazon prices are more significant than the MRP itself for some reason!  Box MRP is 237 while Amazon is selling at 280."
'B08S58S29R','Good in this price but Packing and soap is yellow ness.','4.0 out of 5 stars','Good in this price but Packing and soap is yellow ness is it duplicate?'
'B08S58S29R','Great','5.0 out of 5 stars','Perfect product'
'B08S58S29R','Good','5.0 out of 5 stars',"Have a leakage, please you should care of your packaging systems. Otherwise it's very good."
'B08S58S29R','Awesome Deal','5.0 out of 5 stars','Nice Product With Low Price'
'B08S58S29R','Very nice 👍','5.0 out of 5 stars','Very nice 👍'
'B08S58S29R','Good','5.0 out of 5 stars','Nice soap'
'B08S58S29R','Bathing bar that loves me! :)','4.0 out of 5 stars',"My family has been using this product for 5-6 years. I Dove everyday!! :) It's nice and we are kind of addicted to it, so not even thinking of another brand. I have dry skin (likely hereditary) but haven't had any problems over the years, though my eczema hasn't entirely gone away, while I don't use any other moisturizers to note. Among the different colors/scents they are available, I like this Cream Beauty bar (the bar with dark blue label) better than the green tea or pink one."
'B08S58S29R','Good Product, Value for money.','5.0 out of 5 stars','Good Product, Value for money.'
'B08S58S29R','Very good 👍🏻','5.0 out of 5 stars','🥰'
'B08S58S29R','Excellent soap','5.0 out of 5 stars','As always the best soap one can trust, soft to skin, good foam, comes for many days unlike other soap that goes so soon. Mild odour as well'
'B08S58S29R','Very good soaps','5.0 out of 5 stars','The media could not be loaded. Excellent 👌👌👌👍👍👍'
'B08S58S29R','Best','5.0 out of 5 stars','Best'
'B08S58S29R','Poor packaging','4.0 out of 5 stars','Product is good. Delivered on time but packaging was poor.'
'B08S58S29R','Soap Review 😅','5.0 out of 5 stars','I got the soap in good condition and it’s dove so after using it your skin feels soft and silky. It smells good. I would say it’s a bit overpriced but it’s still cheaper than local shops or supermarkets.'
'B08S58S29R','Original','5.0 out of 5 stars','Price'
'B08S58S29R','GOOD','5.0 out of 5 stars','Good'
'B08S58S29R','Item is good but free item provided is already used','1.0 out of 5 stars',"There is one cream provided along soap package. But it is already used by someone and replaced. I have attached pictures. Amazon team , please take notice of this. This is cheap. You don't need allow free items if it delivered like this."
'B08S58S29R','Vfm','5.0 out of 5 stars','Its vfm product got in very good discounts'
'B08S58S29R','Good','5.0 out of 5 stars','Good product'
'B08S58S29R','One pice of Soap were missing from the packaging.','4.0 out of 5 stars','Product is really Good but the One peace were missing in the packet, which is really disappointing and i am expecting to be deliver at earliest.'
'B08S58S29R','Good 😊👍','4.0 out of 5 stars','Nice 👍'
'B08S58S29R','Good for skin','5.0 out of 5 stars','Best product ever also best for both body and face . I bought it best price 😸 tnx Amazon for best offer'
'B08S58S29R','Good as usual','5.0 out of 5 stars','Recieved product in good condition . The dove has always been good also got it in cheap rate and the item was well before expiry'
'B08S58S29R','Most affordable','5.0 out of 5 stars',"I got it only in 70rs worth penny of every angle that's good so please don't hesitate to buy it"
'B08S58S29R','Value for the money','4.0 out of 5 stars','Comparatively better than market price.'
'B08S58S29R','Dove moisturizing soap','4.0 out of 5 stars','Good cremy moisturizing soap.'
'B08S58S29R','Moisturises the skin','5.0 out of 5 stars','My mom has been using this since years due to her dry skin. Also i cannot find this pack of 8 anywhere neither locally nor online & got it here on amazon at quite discounted price.'
'B08S58S29R','Good soap','5.0 out of 5 stars','packaging is too good, I always recommend this soap to all . . . . . . . . . . . . .'
'B08S58S29R','Good product','4.0 out of 5 stars','Good product'
'B08S58S29R','Good quality','5.0 out of 5 stars','Good quality products from the seller and provide combo pack that satisfies the customer for their budget and provide in low cost'
'B08S58S29R','Good','5.0 out of 5 stars','Good'
'B08S58S29R','Dove soap is good','4.0 out of 5 stars',"It's a personal choice of yours. It's a soft and skin friendly as my wife say bcz i used only dettol soap but my wife used it since long time. It's a good for your skin. Only just a one problem that it's prices are too much heavy."
'B08S58S29R','Good 👍','5.0 out of 5 stars','Pasand hai'
'B08S58S29R','Dove is pretty good','5.0 out of 5 stars','Very nice moisturizing soap. Got best price on Amazon'
'B08S58S29R','So Soft......','5.0 out of 5 stars','I like Dove Bath soap, using since last 4 years in my Family. This seller is providing genuine products. Purchased 1st time online.'
